@skip: 4
@piece: bi.16_no.2
@key: Bb
@meter: 3/4
0	2.1/2	.Bb.@none
1	1	I
1	3	I(#2)
2	1	I64
2	2	V[V7/V
3	1	V
3	2	V7
4	1	I
4	2	I[V7\\
5	1	I
5	3	#viio43/ii
6	1	ii6
6	3	ii%65
7	1	V7
8	1	I
8	2	I[V7
8	3	I[V9
9	1	I
9	3	#viio43/ii
10	1	ii6
10	3	ii%65
11	1	V7
12	1	I\\
12	3	@none
13	1	.vi.i
13	3	i6
14	1	ii%65
15	1	V7
16	1	i
17	1	i6
18	1	ii%65
19	1	V7
20	1	i\\
20	3	VI6
21	1	.I.V65(7)
21	2.1/2	V65
21	3	V65
22	1	I
23	1	V7
24	1	I
25	1	V9
25	2.1/2	V7
25	3	V7
26	1	I
27	1	V65
28	1	I\\
28	3	I[V7
29	1	I
29	3	I(#2)
30	1	I64
30	2	V[V7/V
31	1	V
31	2	V7
32	1	I
32	2	I[V7\\
33	1	I
33	3	#viio43/ii
34	1	ii6
34	3	ii%65
35	1	V7
36	1	I
36	2	I[V7
36	3	I[V9
37	1	I
37	3	#viio43/ii
38	1	ii6
38	3	ii%65
39	1	V7
40	1	I\\
