@skip: 4
@piece: bi.16_no.1
@key: G
@meter: 3/4
0	3.1/2	.G.@none
1	1	I
2	1	V7
2	2	I64
3	1	V9
3	2	V7
4	1	I
4	2	#viio2/iii
4	3	I
5	1	I
6	1	V7
6	2	I64
7	1	V9
7	2	V7
8	1	I\\
8	3	@none
9	1	V/vi
10	1	#ivo2/vi
10	2	V64/vi
11	1	V/vi
12	1	#ivo2/vi
12	2	V64/vi
13	1	V/vi
14	1	#ivo2/vi
14	2	V64/vi
15	1	V/vi
16	1	#ivo2/vi
16	2	V64/vi\\
16	3	@none
17	1	I
18	1	V7
18	2	I64
19	1	V9
19	2	V7
20	1	I
20	2	#viio2/iii
20	3	I
21	1	I
22	1	V7
22	2	I64
23	1	V9
23	2	V7
24	1	I\\
24	3	@none
25	1	.IV.I
26	1	IV6
26	2	I64
27	1	V9
27	2.1/2	V7
27	3	V7
28	1	I
29	1	I
30	1	IV6
30	2	I64
31	1	V9
31	2.1/2	V7
31	3	V7
32	1	I\\
32	3	@none
33	1	I
34	1	IV6
34	2	I64
35	1	V9
35	2.1/2	V7
35	3	V7
36	1	I
37	1	I
38	1	IV6
38	2	I64
39	1	V9
39	2.1/2	V7
39	3	V7
40	1	I(9)
40	1.1/2	I\\
40	3	@none
41	1	.I.I
42	1	V7
42	2	I64
43	1	V9
43	2	V7
44	1	I
44	2	#viio2/iii
44	3	I
45	1	I
46	1	V7
46	2	I64
47	1	V9
47	2	V7
48	1	I\\
