@skip: 4
@piece: op.7_no.4
@key: Ab
@meter: 3/4
0	3.1/2	.Ab.I
1	2	iv6
1	3	ii%2
2	1	viio7
2	2	I
2	3	V6
3	1	IV6
3	2	I64
4	1	V7
4	3	I
5	2	iv6
5	3	ii%2
6	1	viio7
6	2	I
6	3	V6
7	1	IV6
7	2	I64
8	1	V7
8	3	I\\
9	1	V/vi
9	2	V7/vi
9	3	vi
10	1	V9/iii
10	3	V7/iii
11	1	I
11	2	V43/vi
11	3	vi
12	1	V9/iii
12	3	V7/iii
13	1	I
13	2	IV6
13	3	ii%43/iii
14	1	V7/iii
14	3	iii
15	1	I
15	2	IV6
15	3	ii%43/iii
16	1	vii(4)
16	2	V6
16	3	viio7(4)
16	3.1/2	viio7
17	1	I
17	2	iv6
17	3	ii%2
18	1	viio7
18	2	I
18	3	V6
19	1	IV6
19	2	I64
20	1	V7
20	3	I
21	2	iv6
21	3	ii%2
22	1	viio7
22	2	I
22	3	V6
23	1	IV6
23	2	I64
24	1	V7
24	3	I\\
25	1	.IV.I[V7
25	3	I
26	1	I[V/V
26	2	I[viio7/vi
26	3	I[V7
27	3	I
28	1	I[V/V
28	2	I[V7
28	3	I
29	1	I[V7
29	3	I
30	1	I[V/V
30	2	I[viio7/vi
30	3	I[V7
31	3	I
32	1	I[V/V
32	2	I[V7
32	3	I\\
33	1	.bVI
33	3	IV/bVI
34	1	.bVI
35	3	IV/bVI
36	1	.bVI
36	3	viio65/iii
37	1	.I.I
37	2	iv6
37	3	ii%2
38	1	viio7
38	2	I
38	3	V6
39	1	IV6
39	2	I64
40	1	V7
40	3	I
41	2	iv6
41	3	ii%2
42	1	viio7
42	2	I
42	3	V6
43	1	IV6
43	2	I64
44	1	V7
44	3	I\\
