mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	0.5	1	3/4	1/8	5/8			1			firstMeasure	2
2	1	1/2	1/2	3.0	1	3/4	3/4	0							3
3	2	7/2	7/2	3.0	1	3/4	3/4	0							4
4	3	13/2	13/2	3.0	1	3/4	3/4	0							5
5	4	19/2	19/2	3.0	1	3/4	3/4	0							6
6	5	25/2	25/2	3.0	1	3/4	3/4	0					line		7
7	6	31/2	31/2	3.0	1	3/4	3/4	0							8
8	7	37/2	37/2	3.0	1	3/4	3/4	0							9
9	8	43/2	43/2	2.5	1	3/4	5/8	0						end	1, 10
10	8	24	24	0.5	1	3/4	1/8	5/8			1				11
11	9	49/2	49/2	3.0	1	3/4	3/4	0							12
12	10	55/2	55/2	3.0	1	3/4	3/4	0							13
13	11	61/2	61/2	3.0	1	3/4	3/4	0					line		14
14	12	67/2	67/2	3.0	1	3/4	3/4	0							15
15	13	73/2	73/2	3.0	1	3/4	3/4	0							16
16	14	79/2	79/2	3.0	1	3/4	3/4	0							17
17	15	85/2	85/2	3.0	1	3/4	3/4	0							18
18	16	91/2	91/2	3.0	1	3/4	3/4	0					line		19
19	17	97/2	97/2	3.0	1	3/4	3/4	0							20
20	18	103/2	103/2	3.0	1	3/4	3/4	0							21
21	19	109/2	109/2	3.0	1	3/4	3/4	0							22
22	20	115/2	115/2	3.0	1	3/4	3/4	0							23
23	21	121/2	121/2	3.0	1	3/4	3/4	0							24
24	22	127/2	127/2	3.0	1	3/4	3/4	0							25
25	23	133/2	133/2	3.0	1	3/4	3/4	0							26
26	24	139/2	139/2	2.5	1	3/4	5/8	0				double	section		27
27	24	72	72	0.5	0	3/4	1/8	5/8			1				28
28	25	145/2	145/2	3.0	0	3/4	3/4	0						start	29
29	26	151/2	151/2	3.0	0	3/4	3/4	0							30
30	27	157/2	157/2	3.0	0	3/4	3/4	0							31
31	28	163/2	163/2	3.0	0	3/4	3/4	0							32
32	29	169/2	169/2	3.0	0	3/4	3/4	0							33
33	30	175/2	175/2	3.0	0	3/4	3/4	0							34
34	31	181/2	181/2	3.0	0	3/4	3/4	0							35, 36
35	32		187/2	3.0	0	3/4	3/4	0	1					end	28
36	32	187/2	193/2	2.5	0	3/4	5/8	0	2		1	end		lastMeasure	-1
