mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	0	1.0	-4	3/4	1/4	1/2			1			firstMeasure					2
2	1	1	1	3.0	-4	3/4	3/4	0				double							3
3	2	4	4	3.0	-4	3/4	3/4	0							segno				4
4	3	7	7	3.0	-4	3/4	3/4	0											5
5	4	10	10	3.0	-4	3/4	3/4	0											6
6	5	13	13	3.0	-4	3/4	3/4	0											7
7	6	16	16	3.0	-4	3/4	3/4	0											8
8	7	19	19	3.0	-4	3/4	3/4	0											9
9	8	22	22	3.0	-4	3/4	3/4	0											10
10	9	25	25	3.0	-4	3/4	3/4	0											11
11	10	28	28	3.0	-4	3/4	3/4	0											12
12	11	31	31	3.0	-4	3/4	3/4	0											13
13	12	34	34	3.0	-4	3/4	3/4	0											14
14	13	37	37	3.0	-4	3/4	3/4	0											15
15	14	40	40	3.0	-4	3/4	3/4	0											16
16	15	43	43	3.0	-4	3/4	3/4	0											17
17	16	46	46	2.0	-4	3/4	1/2	0											18
18	16	48	48	1.0	-4	3/4	1/4	1/2			1			start					19
19	17	49	49	3.0	-4	3/4	3/4	0											20
20	18	52	52	3.0	-4	3/4	3/4	0											21
21	19	55	55	3.0	-4	3/4	3/4	0											22
22	20	58	58	3.0	-4	3/4	3/4	0											23
23	21	61	61	3.0	-4	3/4	3/4	0											24
24	22	64	64	3.0	-4	3/4	3/4	0											25
25	23	67	67	3.0	-4	3/4	3/4	0											26
26	24	70	70	3.0	-4	3/4	3/4	0											27
27	25	73	73	3.0	-4	3/4	3/4	0											28
28	26	76	76	3.0	-4	3/4	3/4	0											29
29	27	79	79	3.0	-4	3/4	3/4	0											30
30	28	82	82	3.0	-4	3/4	3/4	0											31
31	29	85	85	3.0	-4	3/4	3/4	0											32
32	30	88	88	3.0	-4	3/4	3/4	0											33
33	31	91	91	3.0	-4	3/4	3/4	0											34
34	32	94	94	3.0	-4	3/4	3/4	0											35
35	33	97	97	3.0	-4	3/4	3/4	0											36
36	34	100	100	3.0	-4	3/4	3/4	0											37
37	35	103	103	3.0	-4	3/4	3/4	0											38
38	36	106	106	3.0	-4	3/4	3/4	0											39
39	37	109	109	3.0	-4	3/4	3/4	0											40
40	38	112	112	3.0	-4	3/4	3/4	0											41
41	39	115	115	3.0	-4	3/4	3/4	0											42, 43
42	40		118	2.0	-4	3/4	1/2	0	1					end	fine				18
43	40	118	120	3.0	-4	3/4	3/4	0	2		1								44
44	41	121	123	3.0	4	3/4	3/4	0											45
45	42	124	126	3.0	4	3/4	3/4	0											46
46	43	127	129	3.0	4	3/4	3/4	0											47
47	44	130	132	3.0	4	3/4	3/4	0											48
48	45	133	135	3.0	4	3/4	3/4	0											49
49	46	136	138	3.0	4	3/4	3/4	0											50
50	47	139	141	3.0	4	3/4	3/4	0											51
51	48	142	144	3.0	4	3/4	3/4	0											52
52	49	145	147	3.0	4	3/4	3/4	0											53
53	50	148	150	3.0	4	3/4	3/4	0											54
54	51	151	153	3.0	4	3/4	3/4	0											55
55	52	154	156	3.0	4	3/4	3/4	0											56
56	53	157	159	3.0	4	3/4	3/4	0											57
57	54	160	162	3.0	4	3/4	3/4	0											58
58	55	163	165	3.0	4	3/4	3/4	0											59
59	56	166	168	2.0	4	3/4	1/2	0											60
60	56	168	170	1.0	4	3/4	1/4	1/2			1			start					61
61	57	169	171	3.0	4	3/4	3/4	0											62
62	58	172	174	3.0	4	3/4	3/4	0											63
63	59	175	177	3.0	4	3/4	3/4	0											64
64	60	178	180	3.0	4	3/4	3/4	0											65
65	61	181	183	3.0	4	3/4	3/4	0											66
66	62	184	186	3.0	4	3/4	3/4	0											67
67	63	187	189	3.0	4	3/4	3/4	0											68
68	64	190	192	3.0	4	3/4	3/4	0											69
69	65	193	195	3.0	4	3/4	3/4	0											70
70	66	196	198	3.0	4	3/4	3/4	0											71
71	67	199	201	3.0	4	3/4	3/4	0											72
72	68	202	204	3.0	4	3/4	3/4	0											73
73	69	205	207	3.0	4	3/4	3/4	0											74
74	70	208	210	3.0	4	3/4	3/4	0											75
75	71	211	213	3.0	4	3/4	3/4	0											76
76	72	214	216	3.0	4	3/4	3/4	0											77
77	73	217	219	3.0	4	3/4	3/4	0											78
78	74	220	222	3.0	4	3/4	3/4	0											79
79	75	223	225	3.0	4	3/4	3/4	0											80
80	76	226	228	3.0	4	3/4	3/4	0											81
81	77	229	231	3.0	4	3/4	3/4	0											82
82	78	232	234	3.0	4	3/4	3/4	0											83
83	79	235	237	3.0	4	3/4	3/4	0											84, 85
84	80		240	2.0	4	3/4	1/2	0	1					end					60
85	80	238	242	3.0	4	3/4	3/4	0	2		1	double							86
86	81	241	245	3.0	-4	3/4	3/4	0						lastMeasure		segno		fine	3
