mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	-4	3/4	1/4	1/2			1			firstMeasure	2
2	1	-4	3/4	3/4	0						start	3
3	2	-4	3/4	3/4	0							4
4	3	-4	3/4	3/4	0							5
5	4	-4	3/4	3/4	0							6
6	5	-4	3/4	3/4	0							7
7	6	-4	3/4	3/4	0							8
8	7	-4	3/4	3/4	0							9
9	8	-4	3/4	3/4	0							10
10	9	-4	3/4	3/4	0							11
11	10	-4	3/4	3/4	0							12
12	11	-4	3/4	3/4	0							13, 14
13	12	-4	3/4	3/4	0	1					end	2
14	12	-4	3/4	3/4	0	2		1				15
15	13	-4	3/4	3/4	0						start	16
16	14	-4	3/4	3/4	0							17
17	15	-4	3/4	3/4	0							18
18	16	-4	3/4	3/4	0							19
19	17	-4	3/4	3/4	0							20
20	18	-4	3/4	3/4	0							21
21	19	-4	3/4	3/4	0							22
22	20	-4	3/4	3/4	0							23
23	21	-4	3/4	3/4	0							24
24	22	-4	3/4	3/4	0							25
25	23	-4	3/4	3/4	0							26
26	24	-4	3/4	3/4	0							27
27	25	-4	3/4	3/4	0							28
28	26	-4	3/4	3/4	0							29
29	27	-4	3/4	3/4	0							30
30	28	-4	3/4	3/4	0							31
31	29	-4	3/4	3/4	0							32
32	30	-4	3/4	3/4	0							33
33	31	-4	3/4	3/4	0							34
34	32	-4	3/4	3/4	0							35
35	33	-4	3/4	3/4	0							36
36	34	-4	3/4	3/4	0							37
37	35	-4	3/4	3/4	0							38, 39
38	36	-4	3/4	3/4	0	1					end	15
39	36	-4	3/4	3/4	0	2		1				40
40	37	-4	3/4	3/4	0							41
41	38	-4	3/4	3/4	0							42
42	39	-4	3/4	3/4	0							43
43	40	-4	3/4	3/4	0							44
44	41	-4	3/4	3/4	0							45
45	42	-4	3/4	3/4	0							46
46	43	-4	3/4	3/4	0				end		lastMeasure	-1
