mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	0	0	3/4	1/4	1/2	2	firstMeasure				1	2
2	1	0	3/4	3/4	0	2						3
3	2	0	3/4	3/4	0	2						4
4	3	0	3/4	3/4	0	2						5
5	4	0	3/4	3/4	0	2						6
6	5	0	3/4	3/4	0	2						7
7	6	0	3/4	3/4	0	2						8
8	7	0	3/4	3/4	0	2						9
9	8	0	3/4	3/4	0	2						10
10	9	0	3/4	3/4	0	2						11
11	10	0	3/4	3/4	0	2						12
12	11	0	3/4	3/4	0	2						13
13	12	0	3/4	3/4	0	2						14
14	13	0	3/4	3/4	0	2						15
15	14	0	3/4	3/4	0	3						16
16	15	0	3/4	3/4	0	3						17
17	16	0	3/4	1/2	0	3	endRepeat					18
18	16	0	3/4	1/4	1/2	2					1	19
19	17	0	3/4	3/4	0	2						20
20	18	0	3/4	3/4	0	2						21
21	19	0	3/4	3/4	0	2						22
22	20	0	3/4	3/4	0	2						23
23	21	0	3/4	3/4	0	2						24
24	22	0	3/4	3/4	0	2						25
25	23	0	3/4	3/4	0	2						26
26	24	0	3/4	3/4	0	2						27
27	25	0	3/4	3/4	0	2						28
28	26	0	3/4	3/4	0	2						29
29	27	0	3/4	3/4	0	2						30
30	28	0	3/4	3/4	0	2						31
31	29	0	3/4	3/4	0	2						32
32	30	0	3/4	3/4	0	3						33
33	31	0	3/4	3/4	0	3						34, 35
34	32	0	3/4	1/2	0	3	endRepeat	1				1
35	32	0	3/4	3/4	0	3		2	double		1	36
36	33	3	3/4	3/4	0	3						37
37	34	3	3/4	3/4	0	3						38
38	35	3	3/4	3/4	0	3						39
39	36	3	3/4	3/4	0	3						40
40	37	3	3/4	3/4	0	2						41
41	38	3	3/4	3/4	0	2						42
42	39	3	3/4	3/4	0	2						43
43	40	3	3/4	3/4	0	2						44
44	41	3	3/4	3/4	0	3	startRepeat					45
45	42	3	3/4	3/4	0	3						46
46	43	3	3/4	3/4	0	3						47
47	44	3	3/4	3/4	0	3						48
48	45	3	3/4	3/4	0	3						49
49	46	3	3/4	3/4	0	3						50
50	47	3	3/4	3/4	0	4						51
51	48	3	3/4	3/4	0	4						52
52	49	3	3/4	3/4	0	3						53
53	50	3	3/4	3/4	0	3						54
54	51	3	3/4	3/4	0	3						55
55	52	3	3/4	3/4	0	3						56
56	53	3	3/4	3/4	0	2						57
57	54	3	3/4	3/4	0	2						58
58	55	3	3/4	3/4	0	2						59, 60
59	56	3	3/4	3/4	0	2	endRepeat	1				44
60	56	3	3/4	1/2	0	2	lastMeasure	2	end		1	-1
