mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	1	0	0	3.0	-2	3/4	3/4	0						firstMeasure					2
2	2	3	3	3.0	-2	3/4	3/4	0											3
3	3	6	6	3.0	-2	3/4	3/4	0											4
4	4	9	9	3.0	-2	3/4	3/4	0											5
5	5	12	12	3.0	-2	3/4	3/4	0					line	start	segno				6
6	6	15	15	3.0	-2	3/4	3/4	0											7
7	7	18	18	3.0	-2	3/4	3/4	0											8
8	8	21	21	3.0	-2	3/4	3/4	0											9
9	9	24	24	3.0	-2	3/4	3/4	0					line						10
10	10	27	27	3.0	-2	3/4	3/4	0											11
11	11	30	30	3.0	-2	3/4	3/4	0											12, 14
12	12		33	2.0	-2	3/4	1/2	0	1			double			fine				-1
13	12		35	1.0	-2	3/4	1/4	0	1		1			end					5
14	12	33	36	3.0	-2	3/4	3/4	0	2		1	double	line						15
15	13	36	39	3.0	-2	3/4	3/4	0				start-repeat		start					16
16	14	39	42	3.0	-2	3/4	3/4	0											17
17	15	42	45	3.0	-2	3/4	3/4	0											18
18	16	45	48	3.0	-2	3/4	3/4	0					page	end					15, 19
19	17	48	51	3.0	-2	3/4	3/4	0											20
20	18	51	54	3.0	-2	3/4	3/4	0											21
21	19	54	57	3.0	-2	3/4	3/4	0											22
22	20	57	60	3.0	-2	3/4	3/4	0					line						23
23	21	60	63	3.0	-2	3/4	3/4	0											24
24	22	63	66	3.0	-2	3/4	3/4	0											25
25	23	66	69	3.0	-2	3/4	3/4	0											26, 27
26	24		72	3.0	-2	3/4	3/4	0	1					end					19
27	24	69	75	2.0	-2	3/4	1/2	0	2		1	double	line						28
28	24	71	77	1.0	-3	3/4	1/4	1/2			1								29
29	25	72	78	3.0	-3	3/4	3/4	0											30
30	26	75	81	3.0	-3	3/4	3/4	0											31
31	27	78	84	3.0	-3	3/4	3/4	0											32
32	28	81	87	3.0	-3	3/4	3/4	0					line						33
33	29	84	90	3.0	-3	3/4	3/4	0											34
34	30	87	93	3.0	-3	3/4	3/4	0											35
35	31	90	96	3.0	-3	3/4	3/4	0											36
36	32	93	99	3.0	-3	3/4	3/4	0				end		lastMeasure		segno		fine	5
