mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	0	-6	3/4	1/4	1/2	firstMeasure				1	2
2	1	-6	3/4	3/4	0						3
3	2	-6	3/4	3/4	0						4
4	3	-6	3/4	3/4	0						5
5	4	-6	3/4	3/4	0						6
6	5	-6	3/4	3/4	0						7
7	6	-6	3/4	3/4	0						8
8	7	-6	3/4	3/4	0						9
9	8	-6	3/4	3/4	0						10
10	9	-6	3/4	3/4	0						11
11	10	-6	3/4	3/4	0						12
12	11	-6	3/4	3/4	0						13
13	12	-6	3/4	3/4	0						14
14	13	-6	3/4	3/4	0						15
15	14	-6	3/4	3/4	0						16
16	15	-6	3/4	3/4	0						17
17	16	-6	3/4	3/4	0						18
18	17	-6	3/4	3/4	0						19
19	18	-6	3/4	3/4	0						20
20	19	-6	3/4	3/4	0						21
21	20	-6	3/4	3/4	0						22
22	21	-6	3/4	3/4	0	startRepeat					23
23	22	-6	3/4	3/4	0						24
24	23	-6	3/4	3/4	0						25
25	24	-6	3/4	3/4	0						26
26	25	-6	3/4	3/4	0						27
27	26	-6	3/4	3/4	0						28
28	27	-6	3/4	3/4	0						29
29	28	-6	3/4	3/4	0						30
30	29	-6	3/4	3/4	0						31
31	30	-6	3/4	3/4	0						32
32	31	-6	3/4	3/4	0						33
33	32	-6	3/4	3/4	0						34
34	33	-6	3/4	3/4	0						35
35	34	-6	3/4	3/4	0						36
36	35	-6	3/4	3/4	0						37
37	36	-6	3/4	3/4	0						38
38	37	-6	3/4	3/4	0						39
39	38	-6	3/4	3/4	0						40
40	39	-6	3/4	3/4	0						41
41	40	-6	3/4	3/4	0						42
42	41	-6	3/4	3/4	0						43
43	42	-6	3/4	3/4	0						44
44	43	-6	3/4	3/4	0						45
45	44	-6	3/4	3/4	0						46
46	45	-6	3/4	3/4	0						47
47	46	-6	3/4	3/4	0						48
48	47	-6	3/4	3/4	0						49
49	48	-6	3/4	3/4	0						50
50	49	-6	3/4	3/4	0						51
51	50	-6	3/4	3/4	0						52
52	51	-6	3/4	3/4	0						53, 54
53	52	-6	3/4	3/4	0	endRepeat	1				22
54	52	-6	3/4	3/4	0		2			1	55
55	53	-6	3/4	3/4	0	startRepeat		start-repeat			56
56	54	-6	3/4	3/4	0						57
57	55	-6	3/4	3/4	0						58
58	56	-6	3/4	3/4	0						59
59	57	-6	3/4	3/4	0						60
60	58	-6	3/4	3/4	0						61
61	59	-6	3/4	3/4	0						62, 63
62	60	-6	3/4	3/4	0	endRepeat	1				55
63	60	-6	3/4	3/4	0		2			1	64
64	61	-6	3/4	3/4	0						65
65	62	-6	3/4	3/4	0						66
66	63	-6	3/4	3/4	0						67
67	64	-6	3/4	3/4	0						68
68	65	-6	3/4	3/4	0						69
69	66	-6	3/4	3/4	0						70
70	67	-6	3/4	3/4	0						71
71	68	-6	3/4	3/4	0						72
72	69	-6	3/4	3/4	0						73
73	70	-6	3/4	3/4	0						74
74	71	-6	3/4	3/4	0						75
75	72	-6	3/4	3/4	0						76
76	73	-6	3/4	3/4	0						77
77	74	-6	3/4	3/4	0						78
78	75	-6	3/4	3/4	0						79
79	76	-6	3/4	3/4	0						80
80	77	-6	3/4	3/4	0						81
81	78	-6	3/4	3/4	0						82
82	79	-6	3/4	3/4	0						83
83	80	-6	3/4	3/4	0						84
84	81	-6	3/4	3/4	0						85
85	82	-6	3/4	3/4	0						86
86	83	-6	3/4	3/4	0						87
87	84	-6	3/4	3/4	0						88
88	85	-6	3/4	3/4	0						89
89	86	-6	3/4	3/4	0						90
90	87	-6	3/4	3/4	0						91
91	88	-6	3/4	3/4	0						92
92	89	-6	3/4	3/4	0						93
93	90	-6	3/4	3/4	0						94
94	91	-6	3/4	3/4	0						95
95	92	-6	3/4	3/4	0						96
96	93	-6	3/4	3/4	0						97
97	94	-6	3/4	3/4	0						98
98	95	-6	3/4	3/4	0						99
99	96	-6	3/4	3/4	0						100
100	97	-6	3/4	3/4	0						101
101	98	-6	3/4	3/4	0						102
102	99	-6	3/4	3/4	0						103
103	100	-6	3/4	3/4	0						104
104	101	-6	3/4	3/4	0						105
105	102	-6	3/4	3/4	0						106
106	103	-6	3/4	3/4	0						107
107	104	-6	3/4	3/4	0						108
108	105	-6	3/4	3/4	0						109
109	106	-6	3/4	3/4	0						110
110	107	-6	3/4	3/4	0						111
111	108	-6	3/4	3/4	0						112
112	109	-6	3/4	3/4	0						113
113	110	-6	3/4	3/4	0						114
114	111	-6	3/4	3/4	0						115
115	112	-6	3/4	3/4	0						116
116	113	-6	3/4	3/4	0						117
117	114	-6	3/4	3/4	0						118
118	115	-6	3/4	3/4	0						119
119	116	-6	3/4	3/4	0						120
120	117	-6	3/4	3/4	0						121
121	118	-6	3/4	3/4	0						122
122	119	-6	3/4	3/4	0						123
123	120	-6	3/4	3/4	0						124
124	121	-6	3/4	3/4	0						125
125	122	-6	3/4	3/4	0						126
126	123	-6	3/4	3/4	0						127
127	124	-6	3/4	3/4	0						128
128	125	-6	3/4	3/4	0						129
129	126	-6	3/4	3/4	0						130
130	127	-6	3/4	3/4	0						131
131	128	-6	3/4	3/4	0						132
132	129	-6	3/4	3/4	0						133
133	130	-6	3/4	3/4	0						134
134	131	-6	3/4	3/4	0						135
135	132	-6	3/4	3/4	0						136
136	133	-6	3/4	3/4	0						137
137	134	-6	3/4	3/4	0						138
138	135	-6	3/4	3/4	0						139
139	136	-6	3/4	3/4	0						140
140	137	-6	3/4	3/4	0						141
141	138	-6	3/4	3/4	0						142
142	139	-6	3/4	3/4	0						143
143	140	-6	3/4	3/4	0						144
144	141	-6	3/4	3/4	0						145
145	142	-6	3/4	3/4	0						146
146	143	-6	3/4	3/4	0						147
147	144	-6	3/4	3/4	0						148
148	145	-6	3/4	3/4	0						149
149	146	-6	3/4	3/4	0	lastMeasure		end			-1
