mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	3/4	1/4	1/2			1			firstMeasure	2
2	1	0	3/4	3/4	0							3
3	2	0	3/4	3/4	0							4
4	3	0	3/4	3/4	0							5
5	4	0	3/4	3/4	0							6
6	5	0	3/4	3/4	0							7
7	6	0	3/4	3/4	0							8
8	7	0	3/4	3/4	0							9
9	8	0	3/4	3/4	0							10
10	9	0	3/4	3/4	0							11
11	10	0	3/4	3/4	0							12
12	11	0	3/4	3/4	0							13
13	12	0	3/4	3/4	0							14
14	13	0	3/4	3/4	0							15
15	14	0	3/4	3/4	0							16
16	15	0	3/4	3/4	0							17
17	16	0	3/4	3/4	0							18
18	17	0	3/4	3/4	0							19
19	18	0	3/4	3/4	0							20
20	19	0	3/4	3/4	0							21
21	20	0	3/4	3/4	0							22
22	21	0	3/4	3/4	0							23
23	22	0	3/4	3/4	0							24
24	23	0	3/4	3/4	0							25
25	24	0	3/4	3/4	0							26
26	25	0	3/4	3/4	0							27
27	26	0	3/4	3/4	0							28
28	27	0	3/4	3/4	0							29
29	28	0	3/4	3/4	0							30
30	29	0	3/4	3/4	0							31
31	30	0	3/4	3/4	0							32
32	31	0	3/4	3/4	0							33
33	32	0	3/4	3/4	0				double	section		34
34	65	3	3/4	3/4	0		32					35
35	66	3	3/4	3/4	0							36
36	67	3	3/4	3/4	0							37
37	68	3	3/4	3/4	0							38
38	69	3	3/4	3/4	0							39
39	70	3	3/4	3/4	0							40
40	71	3	3/4	3/4	0							41
41	72	3	3/4	3/4	0							42
42	73	3	3/4	3/4	0							43
43	74	3	3/4	3/4	0							44
44	75	3	3/4	3/4	0							45
45	76	3	3/4	3/4	0							46
46	77	3	3/4	3/4	0							47
47	78	3	3/4	3/4	0							48
48	79	3	3/4	3/4	0							49
49	80	3	3/4	3/4	0							50
50	81	3	3/4	3/4	0							51
51	82	3	3/4	3/4	0							52
52	83	3	3/4	3/4	0							53
53	84	3	3/4	3/4	0							54
54	85	3	3/4	3/4	0							55
55	86	3	3/4	3/4	0							56
56	87	3	3/4	3/4	0							57
57	88	3	3/4	3/4	0							58
58	89	3	3/4	3/4	0							59
59	90	3	3/4	3/4	0							60
60	91	3	3/4	3/4	0							61
61	92	3	3/4	3/4	0							62
62	93	3	3/4	3/4	0							63
63	94	3	3/4	3/4	0							64
64	95	3	3/4	3/4	0							65
65	96	3	3/4	3/4	0							66
66	97	3	3/4	3/4	0							67
67	98	3	3/4	3/4	0							68
68	99	3	3/4	3/4	0							69
69	100	3	3/4	3/4	0							70
70	101	3	3/4	3/4	0							71
71	102	3	3/4	3/4	0							72
72	103	3	3/4	3/4	0							73
73	104	3	3/4	3/4	0							74
74	105	3	3/4	3/4	0							75
75	106	3	3/4	3/4	0							76
76	107	3	3/4	3/4	0							77
77	108	3	3/4	3/4	0							78
78	109	3	3/4	3/4	0							79
79	110	3	3/4	3/4	0							80
80	111	3	3/4	3/4	0							81
81	112	3	3/4	3/4	0				double	section		82
82	193	0	3/4	3/4	0		80					83
83	194	0	3/4	3/4	0							84
84	195	0	3/4	3/4	0							85
85	196	0	3/4	3/4	0							86
86	197	0	3/4	3/4	0							87
87	198	0	3/4	3/4	0							88
88	199	0	3/4	3/4	0							89
89	200	0	3/4	3/4	0							90
90	201	0	3/4	3/4	0							91
91	202	0	3/4	3/4	0							92
92	203	0	3/4	3/4	0							93
93	204	0	3/4	3/4	0							94
94	205	0	3/4	3/4	0							95
95	206	0	3/4	3/4	0							96
96	207	0	3/4	3/4	0							97
97	208	0	3/4	3/4	0							98
98	209	0	3/4	3/4	0							99
99	210	0	3/4	3/4	0							100
100	211	0	3/4	3/4	0							101
101	212	0	3/4	3/4	0							102
102	213	0	3/4	3/4	0							103
103	214	0	3/4	3/4	0							104
104	215	0	3/4	3/4	0							105
105	216	0	3/4	3/4	0							106
106	217	0	3/4	3/4	0							107
107	218	0	3/4	3/4	0							108
108	219	0	3/4	3/4	0							109
109	220	0	3/4	3/4	0							110
110	221	0	3/4	3/4	0							111
111	222	0	3/4	3/4	0							112
112	223	0	3/4	3/4	0							113
113	224	0	3/4	3/4	0						lastMeasure	-1
