mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	1.25	0	3/4	5/16	7/16			1			firstMeasure	2
2	1	5/4	5/4	3.0	0	3/4	3/4	0							3
3	2	17/4	17/4	3.0	0	3/4	3/4	0							4
4	3	29/4	29/4	3.0	0	3/4	3/4	0							5
5	4	41/4	41/4	3.0	0	3/4	3/4	0							6
6	5	53/4	53/4	3.0	0	3/4	3/4	0							7
7	6	65/4	65/4	3.0	0	3/4	3/4	0							8
8	7	77/4	77/4	3.0	0	3/4	3/4	0							9
9	8	89/4	89/4	3.0	0	3/4	3/4	0							10
10	9	101/4	101/4	3.0	0	3/4	3/4	0							11
11	10	113/4	113/4	3.0	0	3/4	3/4	0							12
12	11	125/4	125/4	3.0	0	3/4	3/4	0							13
13	12	137/4	137/4	3.0	0	3/4	3/4	0							14
14	13	149/4	149/4	3.0	0	3/4	3/4	0							15
15	14	161/4	161/4	3.0	0	3/4	3/4	0							16
16	15	173/4	173/4	3.0	0	3/4	3/4	0							17
17	16	185/4	185/4	3.0	0	3/4	3/4	0							18
18	17	197/4	197/4	3.0	0	3/4	3/4	0						start	19
19	18	209/4	209/4	3.0	0	3/4	3/4	0							20
20	19	221/4	221/4	3.0	0	3/4	3/4	0							21
21	20	233/4	233/4	3.0	0	3/4	3/4	0							22
22	21	245/4	245/4	3.0	0	3/4	3/4	0							23
23	22	257/4	257/4	3.0	0	3/4	3/4	0							24
24	23	269/4	269/4	3.0	0	3/4	3/4	0							25
25	24	281/4	281/4	3.0	0	3/4	3/4	0							26
26	25	293/4	293/4	3.0	0	3/4	3/4	0							27
27	26	305/4	305/4	3.0	0	3/4	3/4	0							28
28	27	317/4	317/4	3.0	0	3/4	3/4	0							29, 30
29	28		329/4	3.0	0	3/4	3/4	0	1					end	18
30	28	329/4	341/4	3.0	0	3/4	3/4	0	2		1				31
31	29	341/4	353/4	3.0	3	3/4	3/4	0						start	32
32	30	353/4	365/4	3.0	3	3/4	3/4	0							33
33	31	365/4	377/4	3.0	3	3/4	3/4	0							34
34	32	377/4	389/4	3.0	3	3/4	3/4	0							35
35	33	389/4	401/4	3.0	3	3/4	3/4	0							36
36	34	401/4	413/4	3.0	3	3/4	3/4	0							37
37	35	413/4	425/4	3.0	3	3/4	3/4	0							38
38	36	425/4	437/4	3.0	3	3/4	3/4	0						end	31, 39
39	37	437/4	449/4	3.0	3	3/4	3/4	0							40
40	38	449/4	461/4	3.0	3	3/4	3/4	0							41
41	39	461/4	473/4	3.0	3	3/4	3/4	0							42
42	40	473/4	485/4	3.0	3	3/4	3/4	0							43
43	41	485/4	497/4	3.0	3	3/4	3/4	0							44
44	42	497/4	509/4	3.0	3	3/4	3/4	0							45
45	43	509/4	521/4	3.0	3	3/4	3/4	0							46
46	44	521/4	533/4	3.0	3	3/4	3/4	0				double			47
47	45	533/4	545/4	3.0	0	3/4	3/4	0							48
48	46	545/4	557/4	3.0	0	3/4	3/4	0							49
49	47	557/4	569/4	3.0	0	3/4	3/4	0							50
50	48	569/4	581/4	3.0	0	3/4	3/4	0							51
51	49	581/4	593/4	3.0	0	3/4	3/4	0							52
52	50	593/4	605/4	3.0	0	3/4	3/4	0							53
53	51	605/4	617/4	3.0	0	3/4	3/4	0							54
54	52	617/4	629/4	3.0	0	3/4	3/4	0							55
55	53	629/4	641/4	3.0	0	3/4	3/4	0							56
56	54	641/4	653/4	3.0	0	3/4	3/4	0							57
57	55	653/4	665/4	3.0	0	3/4	3/4	0							58
58	56	665/4	677/4	3.0	0	3/4	3/4	0							59
59	57	677/4	689/4	3.0	0	3/4	3/4	0							60
60	58	689/4	701/4	3.0	0	3/4	3/4	0							61
61	59	701/4	713/4	3.0	0	3/4	3/4	0							62
62	60	713/4	725/4	3.0	0	3/4	3/4	0							63
63	61	725/4	737/4	3.0	0	3/4	3/4	0							64
64	62	737/4	749/4	3.0	0	3/4	3/4	0							65
65	63	749/4	761/4	3.0	0	3/4	3/4	0							66
66	64	761/4	773/4	3.0	0	3/4	3/4	0				end		lastMeasure	-1
