mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	0	1.0	0	3/4	1/4	1/2			1			firstMeasure					2
2	1	1	1	3.0	0	3/4	3/4	0											3
3	2	4	4	3.0	0	3/4	3/4	0											4
4	3	7	7	3.0	0	3/4	3/4	0											5
5	4	10	10	3.0	0	3/4	3/4	0											6
6	5	13	13	3.0	0	3/4	3/4	0											7
7	6	16	16	3.0	0	3/4	3/4	0											8
8	7	19	19	3.0	0	3/4	3/4	0											9
9	8	22	22	3.0	0	3/4	3/4	0											10
10	9	25	25	3.0	0	3/4	3/4	0											11
11	10	28	28	3.0	0	3/4	3/4	0											12
12	11	31	31	3.0	0	3/4	3/4	0											13
13	12	34	34	3.0	0	3/4	3/4	0											14
14	13	37	37	3.0	0	3/4	3/4	0											15
15	14	40	40	3.0	0	3/4	3/4	0											16
16	15	43	43	3.0	0	3/4	3/4	0											17
17	16	46	46	2.0	0	3/4	1/2	0						end	fine				1, 18, -1
18	16	48	48	1.0	0	3/4	1/4	1/2			1			start					19
19	17	49	49	3.0	0	3/4	3/4	0											20
20	18	52	52	3.0	0	3/4	3/4	0											21
21	19	55	55	3.0	0	3/4	3/4	0											22
22	20	58	58	3.0	0	3/4	3/4	0											23
23	21	61	61	3.0	0	3/4	3/4	0											24
24	22	64	64	3.0	0	3/4	3/4	0											25
25	23	67	67	3.0	0	3/4	3/4	0											26
26	24	70	70	3.0	0	3/4	3/4	0											27
27	25	73	73	3.0	0	3/4	3/4	0											28
28	26	76	76	3.0	0	3/4	3/4	0											29
29	27	79	79	3.0	0	3/4	3/4	0											30
30	28	82	82	3.0	0	3/4	3/4	0											31
31	29	85	85	3.0	0	3/4	3/4	0											32
32	30	88	88	3.0	0	3/4	3/4	0											33
33	31	91	91	3.0	0	3/4	3/4	0											34, 35
34	32		94	2.0	0	3/4	1/2	0	1					end					18
35	32	94	96	3.0	0	3/4	3/4	0	2		1	double							36
36	33	97	99	3.0	3	3/4	3/4	0											37
37	34	100	102	3.0	3	3/4	3/4	0											38
38	35	103	105	3.0	3	3/4	3/4	0											39
39	36	106	108	3.0	3	3/4	3/4	0											40
40	37	109	111	3.0	3	3/4	3/4	0											41
41	38	112	114	3.0	3	3/4	3/4	0											42
42	39	115	117	3.0	3	3/4	3/4	0											43
43	40	118	120	3.0	3	3/4	3/4	0											44
44	41	121	123	3.0	3	3/4	3/4	0						start					45
45	42	124	126	3.0	3	3/4	3/4	0											46
46	43	127	129	3.0	3	3/4	3/4	0											47
47	44	130	132	3.0	3	3/4	3/4	0											48
48	45	133	135	3.0	3	3/4	3/4	0											49
49	46	136	138	3.0	3	3/4	3/4	0											50
50	47	139	141	3.0	3	3/4	3/4	0											51
51	48	142	144	3.0	3	3/4	3/4	0											52
52	49	145	147	3.0	3	3/4	3/4	0											53
53	50	148	150	3.0	3	3/4	3/4	0											54
54	51	151	153	3.0	3	3/4	3/4	0											55
55	52	154	156	3.0	3	3/4	3/4	0											56
56	53	157	159	3.0	3	3/4	3/4	0											57
57	54	160	162	3.0	3	3/4	3/4	0											58
58	55	163	165	3.0	3	3/4	3/4	0											59, 60
59	56		168	3.0	3	3/4	3/4	0	1					end					44
60	56	166	171	2.0	3	3/4	1/2	0	2		1	end		lastMeasure		start		fine	1
