	composer	piece	title	annotator	meter	tempo	measure	beat	chord	altchord	cadence	pedal	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	global_key	local_key
0	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	0	3	.a.i6				i		6				False	a	i
1	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	1	1	i6				i		6				False	a	i
2	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	1	2	V				V						False	a	i
3	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	1	3.2	V(42)				V			42			False	a	i
4	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	2	1.1	V				V						False	a	i
5	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	2	1.2	i				i						False	a	i
6	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	2	2	III+6				III	+	6				False	a	i
7	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	3	1.1	V7				V		7				False	a	i
8	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	3	1.2	i				i						False	a	i
9	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	3	2	V				V						False	a	i
10	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	3	3	V(42)				V			42			False	a	i
11	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	4	1.1	V				V						False	a	i
12	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	4	1.2	V7				V		7				False	a	i
13	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	4	2	i64				i		64				False	a	i
14	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	4	3.2	i				i						False	a	i
15	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	5	1	III64				III		64				False	a	i
16	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	5	2	V/III				V				III		False	a	i
17	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	5	3.2	V(42)/III				V			42	III		False	a	i
18	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	6	1.1	V/III				V				III		False	a	i
19	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	6	1.2	III				III						False	a	i
20	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	6	2	v6				v		6				False	a	i
21	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	7	1.1	V7/III				V		7		III		False	a	i
22	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	7	1.2	III				III						False	a	i
23	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	7	2	V/III				V				III		False	a	i
24	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	7	3	V(42)/III				V			42	III		False	a	i
25	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	8	1.1	V/III				V				III		False	a	i
26	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	8	1.2	V7/III				V		7		III		False	a	i
27	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	8	2	III\\		PAC		III						True	a	i
28	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	8	3.1	ii2				ii		2				False	a	i
29	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	8	3.2	#ivo7				#iv	o	7				False	a	i
30	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	9	1	i64				i		64				False	a	i
31	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	9	2	V				V						False	a	i
32	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	9	3.2	V(42)				V			42			False	a	i
33	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	10	1.1	V				V						False	a	i
34	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	10	1.2	i				i						False	a	i
35	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	10	2	III+6				III	+	6				False	a	i
36	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	11	1.1	V7				V		7				False	a	i
37	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	11	1.2	i				i						False	a	i
38	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	11	2	V				V						False	a	i
39	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	11	3	V(42)				V			42			False	a	i
40	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	12	1.1	V				V						False	a	i
41	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	12	1.2	V7				V		7				False	a	i
42	Frédéric Chopin	bi.134	 Mazurka in A minor, BI 134 (1840)	Wendelin Bitzan	3/4	Allegretto	12	2	i64				i		64				False	a	i
