path	filename	extension	md5	label_count	KeySig	TimeSig	musescore	composed_start	composed_end	annotator	reviewer	key	mode
./BI105-2op30-2.mscx	BI105-2op30-2	.mscx	335c6d6f489b76da8038bc88f00aa98e	132	2	3/4	2.3.2	1836	1837	Wendelin Bitzan	Johannes Hentschel	B minor / F sharp	minor
./BI105-3op30-3.mscx	BI105-3op30-3	.mscx	2a2aaa1956975a211d20f844d76ac708	172	-5	3/4	2.3.2	1836	1837	Wendelin Bitzan	Johannes Hentschel (1-72)	D flat	major
./BI105-4op30-4.mscx	BI105-4op30-4	.mscx	7cc2d8c54f34dc4e8366de2e75d5ce18	241	4	3/4	2.3.2	1836	1837	Wendelin Bitzan	Johannes Hentschel	C sharp	minor
./BI115-1op33-1.mscx	BI115-1op33-1	.mscx	91f7f7d6a051e8e273cecf35bc293ebd	85	5	3/4	2.3.2	1837	1838	Wendelin Bitzan	Johannes Hentschel	G sharp	minor
./BI115-2op33-2.mscx	BI115-2op33-2	.mscx	360ac9de854850d54ecc52421a87aae3	200	2, -2, 2	3/4	2.3.2	1837	1838	Wendelin Bitzan	Johannes Hentschel	D	major
./BI115-3op33-3.mscx	BI115-3op33-3	.mscx	b9f7e3f259cc244a38cb09a913081636	120	-4, 0	3/4	2.3.2	1837	1838	Wendelin Bitzan	Johannes Hentschel	C	major
./BI115-4op33-4.mscx	BI115-4op33-4	.mscx	190c4a49bd1d9b50ddd61a5e67f90d7f	390	2, -2, 2, -2, 5, 2	3/4	2.3.2	1837	1838	Wendelin Bitzan	Johannes Hentschel	B	minor
./BI122op41-2.mscx	BI122op41-2	.mscx	c8131f14fdd6def1eacb97398f7f7b60	143	1	3/4	2.3.2	1837	1838	Wendelin Bitzan	Johannes Hentschel	E	minor
./BI126-1op41-4.mscx	BI126-1op41-4	.mscx	b5cffa62ede130e23cbee58fb604db52	152	-4	3/4	2.3.2	1838	1838	Wendelin Bitzan	Johannes Hentschel	C sharp	minor
./BI126-3op41-1.mscx	BI126-3op41-1	.mscx	d32334be254db20758f6558f9b96221e	252	4	3/4	2.3.2	1839	1839	Wendelin Bitzan	Johannes Hentschel	B	major
./BI126-4op41-3.mscx	BI126-4op41-3	.mscx	577cad057f4b0a283a78b1072381638d	132	5	3/4	2.3.2	1839	1839	Wendelin Bitzan	Johannes Hentschel	A flat	major
./BI134.mscx	BI134	.mscx	baa93cdfba37ab9f03429fbb9b67c127	328	3, 0	3/4	2.3.2	1839	1839	Wendelin Bitzan	Johannes Hentschel	A	minor
./BI140.mscx	BI140	.mscx	9532f3657e4fc64b44dd1f9b97dbab37	242	3, 0	3/4	2.3.2	1840	1840	Wendelin Bitzan	Johannes Hentschel	A	minor
./BI145-1op50-1.mscx	BI145-1op50-1	.mscx	e4cbde732594a0a91c43a99168ba71d8	225	1	3/4	2.3.2	1841	1841	Wendelin Bitzan	Johannes Hentschel	G	major
./BI145-2op50-2.mscx	BI145-2op50-2	.mscx	b6ca5a852dcb73a8701dd00f46fff843	163	-4, -5, -4	3/4	2.3.2	1841	1842	Wendelin Bitzan	Johannes Hentschel	A flat	major
./BI145-3op50-3.mscx	BI145-3op50-3	.mscx	04c6684dd2d61ddea70f27b454ca608a	383	4	3/4	2.3.2	1841	1842	Wendelin Bitzan	Johannes Hentschel	C sharp	minor
./BI153-1op56-1.mscx	BI153-1op56-1	.mscx	4e6019ee187793699a4ecdac134dfad4	478	5, -3, 5, 1, 5	3/4	2.3.2	1843	1843	Wendelin Bitzan	Johannes Hentschel	B	major
./BI153-2op56-2.mscx	BI153-2op56-2	.mscx	423ad9c5d300305f0f86a7c5fe747b9d	174		3/4	2.3.2	1843	1843	Wendelin Bitzan	Johannes Hentschel	C	major
./BI153-3op56-3.mscx	BI153-3op56-3	.mscx	967fda65c462b5d8a2c9f76ab5048b29	534	-3, 5, -2, -3	3/4	2.3.2	1843	1843	Wendelin Bitzan		C	minor
./BI157-1op59-1.mscx	BI157-1op59-1	.mscx	8496188023c1f9381238bc7df58cbeae	282	3, 5, 0	3/4	2.3.2	1845	1845	Wendelin Bitzan		A	minor
./BI157-2op59-2.mscx	BI157-2op59-2	.mscx	54b9d7ed360415759635a963e39efcf7	238	-4	3/4	2.3.2	1845	1845	Wendelin Bitzan		A flat	major
./BI157-3op59-3.mscx	BI157-3op59-3	.mscx	5d7de4a17cde25ebd755d2c7caa87d4a	390	3, 6, 3	3/4	2.3.2	1845	1845	Wendelin Bitzan		F sharp	minor
./BI162-1op63-1.mscx	BI162-1op63-1	.mscx	978a1f7d7460172c27c8921a98aa9709	207	5, 3, 5	3/4	2.3.2	1846	1846	Wendelin Bitzan		B	major
./BI162-2op63-2.mscx	BI162-2op63-2	.mscx	f92ca8cd91aeb42b61de8ad2b0e43e7e	92	-4	3/4	2.3.2	1846	1846	Wendelin Bitzan		F	minor
./BI162-3op63-3.mscx	BI162-3op63-3	.mscx	2f3ad3da723d4b47c49fdf0b43370daa	174	4, -6, 4	3/4	2.3.2	1846	1846	Wendelin Bitzan		C sharp	minor
./BI163op67-4.mscx	BI163op67-4	.mscx	cf76cde8ba0a1b3d4da6f8f254c1625d	148	3, 0	3/4	2.3.2	1846	1846	Wendelin Bitzan		A	minor
./BI167op67-2.mscx	BI167op67-2	.mscx	a36437dcd5a365f2531e3fcc40fdee2c	80	-2	3/4	2.3.2	1849	1849	Wendelin Bitzan		G	minor
./BI168op68-4.mscx	BI168op68-4	.mscx	48e3af59143c00f58410f44c5c133234	97	-4	3/4	2.3.2	1849	1849	Wendelin Bitzan		F	minor
./BI18op68-2.mscx	BI18op68-2	.mscx	de96fba2520da8d9696467e30f9cd8df	114	3, 0	3/4	2.3.2	1827	1827	Wendelin Bitzan	Johannes Hentschel	A	minor
./BI34op68-3.mscx	BI34op68-3	.mscx	ad7d6584dd76560dcd5881cd2aeb458b	99	-1, -2, -1	3/4	2.3.2	1829	1829	Wendelin Bitzan	Johannes Hentschel	F	major
./BI38op68-1.mscx	BI38op68-1	.mscx	b3ebaf67d052cf5c021ea2d96f592fda	140	-1, 0	3/4	2.3.2	1829	1829	Wendelin Bitzan	Johannes Hentschel	C	major
./BI60-1op06-1.mscx	BI60-1op06-1	.mscx	2d5efc6948e632c17abb82beb6b0ca5b	196	3	3/4	2.3.2	1830	1830	Wendelin Bitzan	Johannes Hentschel	F sharp	minor
./BI60-2op06-2.mscx	BI60-2op06-2	.mscx	8af2b4b53a9282d5820904b4741aebb2	85	4	3/4	2.3.2	1830	1830	Wendelin Bitzan	Johannes Hentschel	C sharp	minor
./BI60-3op06-3.mscx	BI60-3op06-3	.mscx	c7d687c75e93218264364ec119df0e1f	148	4	3/4	2.3.2	1830	1830	Wendelin Bitzan	Johannes Hentschel	E	major
./BI60-4op06-4.mscx	BI60-4op06-4	.mscx	4666a6a2bbb3e36acde0057fe736cf27	57	-5	3/4	2.3.2	1830	1830	Wendelin Bitzan	Johannes Hentschel	E flat	minor
./BI61-1op07-1.mscx	BI61-1op07-1	.mscx	d7fb6ae0cda7754e71b78696811154e5	96	-2	3/4	2.3.2	1830	1831	Wendelin Bitzan	Johannes Hentschel	B flat	major
./BI61-2op07-2.mscx	BI61-2op07-2	.mscx	17346f07788311b938b886d27ed93090	121	3	3/4	2.3.2	1830	1831	Wendelin Bitzan	Johannes Hentschel	A	minor
./BI61-3op07-3.mscx	BI61-3op07-3	.mscx	b343f8c5a777f786db24d29000d2c818	206	-4	3/4	2.3.2	1830	1831	Wendelin Bitzan	Johannes Hentschel	F	minor
./BI61-4op07-4.mscx	BI61-4op07-4	.mscx	82af67d524a5aad2a8bf386f0f45f62e	103	-4	3/4	2.3.2	1830	1831	Wendelin Bitzan	Johannes Hentschel	A flat	major
./BI61-5op07-5.mscx	BI61-5op07-5	.mscx	a822acf305adc4c5cf2d3d3558ba1553	38		3/4	2.3.2	1830	1831	Wendelin Bitzan	Johannes Hentschel	C	major
./BI77-1op17-1.mscx	BI77-1op17-1	.mscx	53727e252a58e872dcacca7e031d18bc	119	-2, -3	3/4	2.3.2	1832	1832	Wendelin Bitzan	Johannes Hentschel	B flat	major
./BI77-2op17-2.mscx	BI77-2op17-2	.mscx	a010824ea16ea002f551b44528b90c5b	178	1	3/4	2.3.2	1832	1832	Wendelin Bitzan	Johannes Hentschel	E	minor
./BI77-3op17-3.mscx	BI77-3op17-3	.mscx	1a83a8d23a393dce9fa9a649cba75bb0	217	-4, 4, -4	3/4	2.3.2	1832	1832	Wendelin Bitzan	Johannes Hentschel	A flat	major
./BI77-4op17-4.mscx	BI77-4op17-4	.mscx	2284784324807416d36cac78cbe97f81	223	3, 0	3/4	2.3.2	1832	1832	Wendelin Bitzan	Johannes Hentschel	A	minor
./BI89-1op24-1.mscx	BI89-1op24-1	.mscx	ddb220af0e0b33847469510cd7526f49	126	-2	3/4	2.3.2	1834	1835	Wendelin Bitzan	Johannes Hentschel	G	minor
./BI89-2op24-2.mscx	BI89-2op24-2	.mscx	da8127a8c44e775f710026bc2a6f6f28	226	-6, 0	3/4	2.3.2	1834	1835	Wendelin Bitzan	Johannes Hentschel	C	major
./BI89-3op24-3.mscx	BI89-3op24-3	.mscx	553bff0f6217e2395ba7be5c28751995	63	-4	3/4	2.3.2	1834	1835	Wendelin Bitzan	Johannes Hentschel	A flat	major
./BI89-4op24-4.mscx	BI89-4op24-4	.mscx	cf808eefa481ed80898a46b90ce4c115	282	-6	3/4	2.3.2	1834	1835	Wendelin Bitzan	Johannes Hentschel (1-34)	B flat	minor
./BI93-1op67-1.mscx	BI93-1op67-1	.mscx	bb7b278329d10000e9ab5885ef190c50	93	1, 0, 1	3/4	2.3.2	1835	1835	Wendelin Bitzan	Johannes Hentschel	G	major
./BI93-2op67-3.mscx	BI93-2op67-3	.mscx	8fbd32adb0bf4c5db4d49698cba4818f	97		3/4	2.3.2	1835	1835	Wendelin Bitzan	Johannes Hentschel	C	major
