mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	1/2	3/4	2	1	.b.V{		b	i		V		V						{	M	1	1	1, 5, 2		1	1
2	1	1	1.0	0	0	3/4	2	1	i[i		b	i	i	i		i							m	1	1	0, -3, 1		0	0
2	1	2	2.0	1/4	1/4	3/4	2	1	iv64		b	i	i	iv64		iv		64					m	1	1	0, -1, -4		-1	0
3	2	4	3.0	0	0	3/4	2	1	i		b	i	i	i		i							m	1	1	0, -3, 1		0	0
4	3	7	3.0	0	0	3/4	2	1	V7		b	i	i	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	4	10	3.0	0	0	3/4	2	1	i]		b	i	i	i		i							m	1	1	0, -3, 1		0	0
6	5	13	3.0	0	0	3/4	2	1	V7/v		b	i		V7/v		V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
7	6	16	3.0	0	0	3/4	2	1	v		b	i		v		v							m	1	1	1, -2, 2		1	1
8	7	19	3.0	0	0	3/4	2	1	V/v		b	i		V/v		V				v			M	1	1	2, 6, 3		2	2
9	8	22	3.0	0	0	3/4	2	1	v6		b	i		v6		v		6					m	1	1	-2, 2, 1		1	-2
10	9	25	1.0	0	0	3/4	2	1	V7/v		b	i		V7/v		V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
10	9	26	2.0	1/4	1/4	3/4	2	1	V(64)/v		b	i		V(64)/v		V			64	v			M	1	1	2, 1, -2		2	2
11	10	28	0.5	0	0	3/4	2	1	V7/v		b	i		V7/v		V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
11	10	57/2	2.5	1/8	1/8	3/4	2	1	V(64)/v		b	i		V(64)/v		V			64	v			M	1	1	2, 1, -2		2	2
12	11	31	1.0	0	0	3/4	2	1	V7/V		b	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
12	11	32	2.0	1/4	1/4	3/4	2	1	V(64)/V		b	i		V(64)/V		V			64	V			M	1	1	2, 1, 5		2	2
13	12	34	0.5	0	0	3/4	2	1	V/V		b	i		V/V		V				V			M	1	1	2, 6, 3		2	2
13	12	69/2	0.5	1/8	1/8	3/4	2	1	V(64)/V		b	i		V(64)/V		V			64	V			M	1	1	2, 1, 5		2	2
13	12	35	2.0	1/4	1/4	3/4	2	1	V|HC}		b	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
13	12	36	0.0	1/2	1/2	3/4	2	1	{		b	i										{		1	1				
14	13	37	1.0	0	0	3/4	2	1	i[i		b	i	i	i		i							m	1	1	0, -3, 1		0	0
14	13	38	2.0	1/4	1/4	3/4	2	1	iv64		b	i	i	iv64		iv		64					m	1	1	0, -1, -4		-1	0
15	14	40	3.0	0	0	3/4	2	1	i		b	i	i	i		i							m	1	1	0, -3, 1		0	0
16	15	43	3.0	0	0	3/4	2	1	V7		b	i	i	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
17	16	46	2.0	0	0	3/4	2	1	i]		b	i	i	i		i							m	1	1	0, -3, 1		0	0
17	16	48	2.0	1/2	1/2	3/4	2	1	V43/bII		b	i		V43/bII		V		43		bII			Mm7	1	1	-3, -6, -4, 0		-4	-3
18	17	50	1.0	1/4	1/4	3/4	2	1	.bII6		b	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
18	17	51	1.0	1/2	1/2	3/4	2	1	.bII		b	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
19	18	52	2.0	0	0	3/4	2	1	V43/bII		b	i		V43/bII		V		43		bII			Mm7	1	1	-3, -6, -4, 0		-4	-3
19	18	54	1.0	1/2	1/2	3/4	2	1	.bII		b	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
20	19	55	1.0	0	0	3/4	2	1	V43/bII		b	i		V43/bII		V		43		bII			Mm7	1	1	-3, -6, -4, 0		-4	-3
20	19	56	1.0	1/4	1/4	3/4	2	1	.bII6		b	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
20	19	57	1.0	1/2	1/2	3/4	2	1	.bII		b	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
21	20	58	2.0	0	0	3/4	2	1	V43/bII		b	i		V43/bII		V		43		bII			Mm7	1	1	-3, -6, -4, 0		-4	-3
21	20	60	1.0	1/2	1/2	3/4	2	1	.bII		b	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
22	21	61	1.0	0	0	3/4	2	1	V43/bII		b	i		V43/bII		V		43		bII			Mm7	1	1	-3, -6, -4, 0		-4	-3
22	21	62	1.0	1/4	1/4	3/4	2	1	.bII		b	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
22	21	63	1.0	1/2	1/2	3/4	2	1	V43/bII		b	i		V43/bII		V		43		bII			Mm7	1	1	-3, -6, -4, 0		-4	-3
23	22	64	1.0	0	0	3/4	2	1	.bII		b	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
23	22	65	1.0	1/4	1/4	3/4	2	1	V43/bII		b	i		V43/bII		V		43		bII			Mm7	1	1	-3, -6, -4, 0		-4	-3
23	22	66	1.0	1/2	1/2	3/4	2	1	.bII		b	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
24	23	67	3.0	0	0	3/4	2	1	V/bII	VI	b	i		V/bII		V				bII			M	1	1	-4, 0, -3		-4	-4
25	24	70	3.0	0	0	3/4	2	1	V}		b	i		V		V						}	M	1	1	1, 5, 2		1	1
26	25	73	1.0	0	0	3/4	2	1	i[i{		b	i	i	i		i						{	m	1	1	0, -3, 1		0	0
26	25	74	2.0	1/4	1/4	3/4	2	1	iv64		b	i	i	iv64		iv		64					m	1	1	0, -1, -4		-1	0
27	26	76	3.0	0	0	3/4	2	1	i		b	i	i	i		i							m	1	1	0, -3, 1		0	0
