mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	4.0	0	1/2	3/4	2	1		.g.V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
2	1	1	1	0.0	0	0	3/4	2	1		{	g	i										{		1	1				
3	2	4	4	3.0	0	0	3/4	2	1		i[i	g	i	i	i		i							m	1	1	0, -3, 1		0	0
4	3	7	7	2.0	0	0	3/4	2	1		iv64	g	i	i	iv64		iv		64					m	1	1	0, -1, -4		-1	0
4	3	9	9	1.0	1/2	1/2	3/4	2	1		#viio43	g	i	i	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
5	4	10	10	3.0	0	0	3/4	2	1		i]	g	i	i	i		i							m	1	1	0, -3, 1		0	0
6	5	13	13	3.0	0	0	3/4	2	1		V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	6	16	16	4.0	0	0	3/4	2	1		i	g	i		i		i							m	1	1	0, -3, 1		0	0
8	7	20	20	1.0	1/4	1/4	3/4	2	1		V[ii%65/V	g	i	V	ii%65/V		ii	%	65		V			%7	1	1	0, -3, 1, 3		3	0
8	7	21	21	1.0	1/2	1/2	3/4	2	1		V7(6)/V	g	i	V	V7(6)/V		V		7	6	V			Mm7	1	1	2, 6, 5, 0		2	2
9	8	22	22	4.0	0	0	3/4	2	1		V]|HC}	g	i	V	V		V					HC	}	M	1	1	1, 5, 2		1	1
9	8	24	24	0.0	1/2	1/2	3/4	2	1		{	g	i										{		1	1				
10	9	26	26	1.0	1/4	1/4	3/4	2	1		V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	9	27	27	0.75	1/2	1/2	3/4	2	1		V7(6)	g	i		V7(6)		V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
10	9	111/4	111/4	0.25	11/16	11/16	3/4	2	1		V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	10	28	28	3.0	0	0	3/4	2	1		i[i	g	i	i	i		i							m	1	1	0, -3, 1		0	0
12	11	31	31	2.0	0	0	3/4	2	1		iv64	g	i	i	iv64		iv		64					m	1	1	0, -1, -4		-1	0
12	11	33	33	1.0	1/2	1/2	3/4	2	1		#viio43	g	i	i	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
13	12	34	34	3.0	0	0	3/4	2	1		i]	g	i	i	i		i							m	1	1	0, -3, 1		0	0
14	13	37	37	3.0	0	0	3/4	2	1		V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	14	40	40	4.0	0	0	3/4	2	1		i	g	i		i		i							m	1	1	0, -3, 1		0	0
16	15	44	44	1.0	1/4	1/4	3/4	2	1		V[ii%65/V	g	i	V	ii%65/V		ii	%	65		V			%7	1	1	0, -3, 1, 3		3	0
16	15	45	45	1.0	1/2	1/2	3/4	2	1		V7(6)/V	g	i	V	V7(6)/V		V		7	6	V			Mm7	1	1	2, 6, 5, 0		2	2
17	16	46	46	3.0	0	0	3/4	2	1		V]|HC}	g	i	V	V		V					HC	}	M	1	1	1, 5, 2		1	1
18	17	49	49	1.0	0	0	3/4	2	1		III.V{	g	III		V		V						{	M	1	0	1, 5, 2		1	1
18	17	50	50	1.0	1/4	1/4	3/4	2	1		V7(94)	g	III		V7(94)		V		7	94				Mm7	1	0	1, 0, 2, -1	3	1	1
18	17	51	51	1.0	1/2	1/2	3/4	2	1		V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	18	52	52	1.0	0	0	3/4	2	1		V7(94)	g	III		V7(94)		V		7	94				Mm7	1	0	1, 0, 2, -1	3	1	1
19	18	53	53	1.0	1/4	1/4	3/4	2	1		V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	18	54	54	1.0	1/2	1/2	3/4	2	1		V7(9)	g	III		V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
20	19	55	55	3.0	0	0	3/4	2	1		V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
21	20	58	58	1.0	0	0	3/4	2	1		I(4)}	g	III		I(4)		I			4			}	M	1	0	0, -1, 1		0	0
21	20	59	59	2.0	1/4	1/4	3/4	2	1		I	g	III		I		I							M	1	0	0, 4, 1		0	0
22	21	61	61	1.0	0	0	3/4	2	1		V{	g	III		V		V						{	M	1	0	1, 5, 2		1	1
22	21	62	62	1.0	1/4	1/4	3/4	2	1		V7(94)	g	III		V7(94)		V		7	94				Mm7	1	0	1, 0, 2, -1	3	1	1
22	21	63	63	1.0	1/2	1/2	3/4	2	1		V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
23	22	64	64	1.0	0	0	3/4	2	1		V7(94)	g	III		V7(94)		V		7	94				Mm7	1	0	1, 0, 2, -1	3	1	1
23	22	65	65	1.0	1/4	1/4	3/4	2	1		V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
23	22	66	66	1.0	1/2	1/2	3/4	2	1		V7(9)	g	III		V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
24	23	67	67	1.0	0	0	3/4	2	1		V(6)	g	III		V(6)		V			6				M	1	0	1, 5, 4		1	1
24	23	68	68	1.0	1/4	1/4	3/4	2	1		VM7(b6)	g	III		VM7(b6)		V	M	7	b6				MM7	1	0	1, 5, -3, 6		1	1
24	23	69	69	1.0	1/2	1/2	3/4	2	1		V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
25	24	70	70	1.0	0	0	3/4	2	1		I(9)}	g	III		I(9)		I			9			}	M	1	0	0, 4, 1	2	0	0
25	24	71	71	2.0	1/4	1/4	3/4	2	1		I|PAC	g	III		I		I					PAC		M	1	0	0, 4, 1		0	0
26	25	73	73	1.0	0	0	3/4	2	1		V{	g	III		V		V						{	M	1	0	1, 5, 2		1	1
26	25	74	74	1.0	1/4	1/4	3/4	2	1		V7(94)	g	III		V7(94)		V		7	94				Mm7	1	0	1, 0, 2, -1	3	1	1
26	25	75	75	1.0	1/2	1/2	3/4	2	1		V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
27	26	76	76	1.0	0	0	3/4	2	1		V7(94)	g	III		V7(94)		V		7	94				Mm7	1	0	1, 0, 2, -1	3	1	1
27	26	77	77	1.0	1/4	1/4	3/4	2	1		V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
