mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	3/4	2	1	B.I{	B	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	3	2.0	0	0	3/4	2	1	#viio2/iii	B	I		#viio2/iii		#vii	o	2		iii			o7	0	0	0, 9, 6, 3		9	0
2	2	5	1.0	1/2	1/2	3/4	2	1	I	B	I		I		I							M	0	0	0, 4, 1		0	0
3	3	6	3.0	0	0	3/4	2	1	IV	B	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	4	9	2.0	0	0	3/4	2	1	#viio2/iii	B	I		#viio2/iii		#vii	o	2		iii			o7	0	0	0, 9, 6, 3		9	0
4	4	11	1.0	1/2	1/2	3/4	2	1	I	B	I		I		I							M	0	0	0, 4, 1		0	0
5	5	12	2.0	0	0	3/4	2	1	V7(9)	B	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
5	5	14	0.5	1/2	1/2	3/4	2	1	V(6)	B	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
5	5	29/2	0.5	5/8	5/8	3/4	2	1	V7	B	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	15	2.0	0	0	3/4	2	1	vi(9#4)	B	I		vi(9#4)		vi			9#4				m	0	0	3, 0, 9	5	3	3
6	6	17	1.0	1/2	1/2	3/4	2	1	vi7	B	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
7	7	18	3.0	0	0	3/4	2	1	V7(9)/V	B	I		V7(9)/V		V		7	9	V			Mm7	0	0	2, 6, 3, 0	4	2	2
8	8	21	1.0	0	0	3/4	2	1	V7(9)	B	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
8	8	22	1.0	1/4	1/4	3/4	2	1	V	B	I		V		V							M	0	0	1, 5, 2		1	1
