mc	mn	onset	label
1	1	0	.Db.I
3	3	0	I
8	8	1/4	V7
9	9	0	I
10	10	0	I(64)
10	10	1/8	I
11	11	0	IV(64)
11	11	1/8	IV
12	12	0	I
12	12	1/8	IV64
12	12	1/4	I
13	13	0	iv(64)
13	13	1/8	iv
14	14	0	I
14	14	1/8	iv64
14	14	1/4	I\\
15	15	0	I
15	15	1/8	IV64
15	15	1/4	I
16	16	1/8	iv64
16	16	1/4	I
17	17	0	V9
18	18	0	I
18	18	1/4	I(#2#4)
18	18	1/2	I
19	19	0	V
19	19	1/4	V7(6)
19	19	1/2	V7
20	20	0	I
21	21	0	V9/i
22	22	0	i
22	22	1/2	V9/i
23	23	0	V
23	23	1/4	V7(b6)
23	23	1/2	V7
24	24	0	i\\
25	25	0	V7/bVII
26	26	0	.bVII64
27	27	0	V9/bVII
27	27	3/8	V7/bVII
28	28	0	.bVII(9)
28	28	1/4	.bVII\\
29	29	0	V7/VI
30	30	0	VI64
31	31	0	V9/VI
31	31	3/8	V7/VI
32	32	0	VI(9)
32	32	1/4	VI\\
33	33	0	#ivo7
33	33	1/2	V7/bVII
34	34	0	.bVII64
35	35	0	V9/bVII
35	35	3/8	V7/bVII
36	36	0	.bVII(9)
36	36	1/4	.bVII\\
37	37	0	V7/VI
38	38	0	VI64
39	39	0	V9/VI
39	39	3/8	V7/VI
40	40	0	#viio65/ii
40	40	1/4	#viio7/iii
41	41	0	.iii.#viio2
42	42	0	#viio2
42	42	1/4	iv6
43	43	0	#viio2
44	44	0	iv6
44	44	1/4	.Ger6
44	44	1/2	V[V(64)
45	45	0	viio43/V
45	45	1/2	V(+4)
46	46	0	V(4#2)
46	46	1/4	V
47	47	1/4	V7]
48	48	0	i(9)
48	48	1/2	i\\
49	49	0	V
49	49	1/4	V9
50	50	0	i(974)
50	50	1/4	i\\
51	51	0	V/III
51	51	1/4	V9/III
52	52	0	III(974)
52	52	1/4	III
53	53	0	V/v
53	53	1/4	V9/v
54	54	0	V(#9#74)
54	54	1/4	V
55	55	0	V
55	55	1/4	V9
56	56	0	i(9#74)
56	56	1/2	i\\
57	57	0	.I.ii6(42)
57	57	1/8	ii6
58	58	0	I64(72)
58	58	1/4	I64
59	59	0	V7(6)
59	59	1/4	V7
59	59	1/2	#viio7/vi
60	60	0	vi(64)
60	60	1/4	vi
61	61	0	iio6(72)
61	61	1/8	iio6
62	62	0	vi64(72)
62	62	1/4	vi64
63	63	0	V7(6)/vi
63	63	1/4	V/vi
64	64	0	vi(42)
64	64	1/4	vi\\
65	65	0	V7
66	66	0	I(64)
66	66	1/4	I
67	67	0	V7(6)
67	67	1/4	V7
67	67	1/2	#viio7/vi
68	68	0	vi(64)
68	68	1/4	vi
69	69	0	iio6(72)
69	69	1/8	iio6
70	70	0	vi64(72)
70	70	1/4	vi64
71	71	0	V7(6)/vi
71	71	1/4	V7/vi
72	72	0	V7(6)/vi
72	72	1/4	V7/vi
73	73	0	V/vi
74	74	0	@none
75	75	0	V7(6)/vi
75	75	1/4	V/vi
75	75	1/2	V7/vi
76	76	0	V7(6)/vi
76	76	1/4	V/vi
76	76	1/2	V7/vi
77	77	0	V2/vi
78	78	0	@none
79	79	0	I
80	80	0	I(64)
80	80	1/8	I
81	81	0	IV(64)
81	81	1/8	IV
82	82	0	I
82	82	1/8	IV64
82	82	1/4	I
83	83	0	iv(64)
83	83	1/8	iv
84	84	0	I
84	84	1/8	iv64
84	84	1/4	I\\
85	85	0	I
85	85	1/8	IV64
85	85	1/4	I
86	86	1/8	iv64
86	86	1/4	I
87	87	0	V[V9
87	87	1/4	IV
87	87	1/2	V]
88	88	0	I
88	88	1/4	I(#2#4)
88	88	1/2	I
89	89	0	V
89	89	1/4	V7(6)
89	89	1/2	V7
90	90	0	I
91	91	0	V[V7(b9)
91	91	1/4	IV
91	91	1/2	V]
92	92	0	i
92	92	1/2	V7(b9)
93	93	0	V
93	93	1/4	V7(b6)
93	93	1/2	V7
94	94	0	i\\
95	95	0	I
