mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	1	1	.a.i	a	i		i		i						m	1	1	0, -3, 1		0	0
3	2	0	0	3/4	1	1	@none	a	i		@none		@none						m	1	1				
3	2	1/4	1/4	3/4	1	1	V7(6)	a	i		V7(6)		V		7	6			Mm7	1	1	1, 5, -3, -1		1	1
3	2	1/2	1/2	3/4	1	1	V7	a	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
4	3	0	0	3/4	1	1	i	a	i		i		i						m	1	1	0, -3, 1		0	0
5	4	0	0	3/4	1	1	@none	a	i		@none		@none						m	1	1				
5	4	1/4	1/4	3/4	1	1	V2/bII	a	i		V2/bII		V		2		bII		Mm7	1	1	-6, -4, 0, -3		-4	-6
5	4	1/2	1/2	3/4	1	1	.Ger43	a	i		Ger43	Ger	vii	o	43	b3	V		Ger	1	1	0, -3, 6, -4		6	0
6	5	0	0	3/4	1	1	i	a	i		i		i						m	1	1	0, -3, 1		0	0
6	5	1/2	1/2	3/4	1	1	@none	a	i		@none		@none						m	1	1				
8	7	0	0	3/4	1	1	V7	a	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
8	7	1/2	1/2	3/4	1	1	V7(6)	a	i		V7(6)		V		7	6			Mm7	1	1	1, 5, -3, -1		1	1
9	8	0	0	3/4	1	1	i\\	a	i		i		i					\\	m	1	1	0, -3, 1		0	0
10	9	0	0	3/4	1	1	i	a	i		i		i						m	1	1	0, -3, 1		0	0
11	10	0	0	3/4	1	1	@none	a	i		@none		@none						m	1	1				
11	10	1/4	1/4	3/4	1	1	V7(6)	a	i		V7(6)		V		7	6			Mm7	1	1	1, 5, -3, -1		1	1
11	10	1/2	1/2	3/4	1	1	V7	a	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
12	11	0	0	3/4	1	1	i	a	i		i		i						m	1	1	0, -3, 1		0	0
13	12	0	0	3/4	1	1	@none	a	i		@none		@none						m	1	1				
13	12	1/4	1/4	3/4	1	1	V2/bII	a	i		V2/bII		V		2		bII		Mm7	1	1	-6, -4, 0, -3		-4	-6
13	12	1/2	1/2	3/4	1	1	.Ger43	a	i		Ger43	Ger	vii	o	43	b3	V		Ger	1	1	0, -3, 6, -4		6	0
14	13	0	0	3/4	1	1	i	a	i		i		i						m	1	1	0, -3, 1		0	0
14	13	1/2	1/2	3/4	1	1	@none	a	i		@none		@none						m	1	1				
16	15	0	0	3/4	1	1	V7	a	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
17	16	0	0	3/4	1	1	i\\	a	i		i		i					\\	m	1	1	0, -3, 1		0	0
18	17	0	0	3/4	1	1	V2/v	a	i		V2/v		V		2		v		Mm7	1	1	0, 2, 6, 3		2	0
19	18	0	0	3/4	1	1	@none	a	i		@none		@none						m	1	1				
19	18	1/4	1/4	3/4	1	1	ii%43	a	i		ii%43		ii	%	43				%7	1	1	-4, 0, 2, -1		2	-4
19	18	1/2	1/2	3/4	1	1	V7	a	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
20	19	0	0	3/4	1	1	i[V7	a	i	i	V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
21	20	0	0	3/4	1	1	i(6)	a	i	i	i(6)		i			6			m	1	1	0, -3, -4		0	0
21	20	1/4	1/4	3/4	1	1	i]	a	i	i	i		i						m	1	1	0, -3, 1		0	0
22	21	0	0	3/4	1	1	V65(9)/III	a	i		V65(9)/III		V		65	9	III		Mm7	1	1	2, -1, -4, -2	0	-2	2
22	21	3/8	3/8	3/4	1	1	V65/III	a	i		V65/III		V		65		III		Mm7	1	1	2, -1, -4, -2		-2	2
23	22	0	0	3/4	1	1	III(4)	a	i		III(4)		III			4			M	1	1	-3, -4, -2		-3	-3
23	22	1/8	1/8	3/4	1	1	III	a	i		III		III						M	1	1	-3, 1, -2		-3	-3
24	23	0	0	3/4	1	1	VIM7(9)	a	i		VIM7(9)		VI	M	7	9			MM7	1	1	-4, 0, -3, 1	-2	-4	-4
24	23	3/8	3/8	3/4	1	1	VIM7	a	i		VIM7		VI	M	7				MM7	1	1	-4, 0, -3, 1		-4	-4
25	24	0	0	3/4	1	1	ii%7(4)	a	i		ii%7(4)		ii	%	7	4			%7	1	1	2, 1, -4, 0		2	2
25	24	1/8	1/8	3/4	1	1	ii%7	a	i		ii%7		ii	%	7				%7	1	1	2, -1, -4, 0		2	2
25	24	1/2	1/2	3/4	1	1	@none	a	i		@none		@none						m	1	1				
26	25	0	0	3/4	1	1	V7/v	a	i		V7/v		V		7		v		Mm7	1	1	2, 6, 3, 0		2	2
27	26	0	0	3/4	1	1	V(6)	a	i		V(6)		V			6			M	1	1	1, 5, -3		1	1
