mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1		E.I	E	I		I		I							M	0	0	0, 4, 1		0	0
2	2	0	0	3/4	2	1		I	E	I		I		I							M	0	0	0, 4, 1		0	0
5	5	0	0	3/4	2	1		I64	E	I		I64		I		64					M	0	0	1, 0, 4		0	1
5	5	1/4	1/4	3/4	2	1		I6(9)	E	I		I6(9)		I		6	9				M	0	0	4, 1, 0	2	0	4
5	5	1/2	1/2	3/4	2	1		I6	E	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	0	0	3/4	2	1		I	E	I		I		I							M	0	0	0, 4, 1		0	0
7	7	0	0	3/4	2	1		I64	E	I		I64		I		64					M	0	0	1, 0, 4		0	1
7	7	1/4	1/4	3/4	2	1		I6(9)	E	I		I6(9)		I		6	9				M	0	0	4, 1, 0	2	0	4
7	7	1/2	1/2	3/4	2	1		I6	E	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	8	0	0	3/4	2	1		I[I	E	I	I	I		I							M	0	0	0, 4, 1		0	0
11	11	0	0	3/4	2	1		V7	E	I	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	0	0	3/4	2	1		I(64)	E	I	I	I(64)		I			64				M	0	0	0, -1, 3		0	0
12	12	3/16	3/16	3/4	2	1		I	E	I	I	I		I							M	0	0	0, 4, 1		0	0
13	13	0	0	3/4	2	1		V7	E	I	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	0	0	3/4	2	1		I(64)	E	I	I	I(64)		I			64				M	0	0	0, -1, 3		0	0
14	14	3/16	3/16	3/4	2	1		I]	E	I	I	I		I							M	0	0	0, 4, 1		0	0
15	15	0	0	3/4	2	1		V(6)/V	E	I		V(6)/V		V			6	V			M	0	0	2, 6, 5		2	2
15	15	1/8	1/8	3/4	2	1		V7/V	E	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
16	16	0	0	3/4	2	1		V\\	E	I		V		V						\\	M	0	0	1, 5, 2		1	1
17	17	0	0	3/4	2	1		V64	E	I		V64		V		64					M	0	0	2, 1, 5		1	2
17	17	1/4	1/4	3/4	2	1		V6(9)	E	I		V6(9)		V		6	9				M	0	0	5, 2, 1	3	1	5
17	17	1/2	1/2	3/4	2	1		V6	E	I		V6		V		6					M	0	0	5, 2, 1		1	5
18	18	0	0	3/4	2	1		V	E	I		V		V							M	0	0	1, 5, 2		1	1
19	19	0	0	3/4	2	1		V64	E	I		V64		V		64					M	0	0	2, 1, 5		1	2
19	19	1/4	1/4	3/4	2	1		V6(9)	E	I		V6(9)		V		6	9				M	0	0	5, 2, 1	3	1	5
19	19	1/2	1/2	3/4	2	1		V6	E	I		V6		V		6					M	0	0	5, 2, 1		1	5
20	20	0	0	3/4	2	1		V	E	I		V		V							M	0	0	1, 5, 2		1	1
21	21	0	0	3/4	2	1		I[I	E	I	I	I		I							M	0	0	0, 4, 1		0	0
23	23	0	0	3/4	2	1		V7	E	I	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	24	0	0	3/4	2	1		I(64)	E	I	I	I(64)		I			64				M	0	0	0, -1, 3		0	0
24	24	3/16	3/16	3/4	2	1		I	E	I	I	I		I							M	0	0	0, 4, 1		0	0
25	25	0	0	3/4	2	1		V7	E	I	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
26	26	0	0	3/4	2	1		I(64)	E	I	I	I(64)		I			64				M	0	0	0, -1, 3		0	0
26	26	3/16	3/16	3/4	2	1		I]	E	I	I	I		I							M	0	0	0, 4, 1		0	0
27	27	0	0	3/4	2	1		V(6)/V	E	I		V(6)/V		V			6	V			M	0	0	2, 6, 5		2	2
27	27	1/8	1/8	3/4	2	1		V7/V	E	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
28	28	0	0	3/4	2	1		V\\	E	I		V		V						\\	M	0	0	1, 5, 2		1	1
29	29	0	0	3/4	2	1		V64	E	I		V64		V		64					M	0	0	2, 1, 5		1	2
29	29	1/4	1/4	3/4	2	1		V6(9)	E	I		V6(9)		V		6	9				M	0	0	5, 2, 1	3	1	5
29	29	1/2	1/2	3/4	2	1		V6	E	I		V6		V		6					M	0	0	5, 2, 1		1	5
30	30	0	0	3/4	2	1		V	E	I		V		V							M	0	0	1, 5, 2		1	1
31	31	0	0	3/4	2	1		V64	E	I		V64		V		64					M	0	0	2, 1, 5		1	2
31	31	1/4	1/4	3/4	2	1		V6(9)	E	I		V6(9)		V		6	9				M	0	0	5, 2, 1	3	1	5
31	31	1/2	1/2	3/4	2	1		V6	E	I		V6		V		6					M	0	0	5, 2, 1		1	5
32	32	0	0	3/4	2	1		V	E	I		V		V							M	0	0	1, 5, 2		1	1
