mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	1	1	.c#.i	c#	i		i		i						m	1	1	0, -3, 1		0	0
3	2	0	0	3/4	1	1	V43(4)	c#	i		V43(4)		V		43	4			Mm7	1	1	2, -1, 1, 0		1	2
3	2	1/8	1/8	3/4	1	1	V43	c#	i		V43		V		43				Mm7	1	1	2, -1, 1, 5		1	2
4	3	0	0	3/4	1	1	V65	c#	i		V65		V		65				Mm7	1	1	5, 2, -1, 1		1	5
5	4	0	0	3/4	1	1	i(9)	c#	i		i(9)		i			9			m	1	1	0, -3, 1	2	0	0
5	4	1/8	1/8	3/4	1	1	i	c#	i		i		i						m	1	1	0, -3, 1		0	0
6	5	0	0	3/4	1	1	i6	c#	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
7	6	0	0	3/4	1	1	V7(4)/V	c#	i		V7(4)/V		V		7	4	V		Mm7	1	1	2, 1, 3, 0		2	2
7	6	1/8	1/8	3/4	1	1	V7/V	c#	i		V7/V		V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
8	7	0	0	3/4	1	1	V7	c#	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
9	8	0	0	3/4	1	1	i	c#	i		i		i						m	1	1	0, -3, 1		0	0
9	8	1/2	1/2	3/4	1	1	.Ger6(9)	c#	i		Ger6(9)	Ger	vii	o	65	9b3	V		Ger	1	1	-4, 0, -3, 6	1	6	-4
9	8	5/8	5/8	3/4	1	1	.Ger6	c#	i		Ger6	Ger	vii	o	65	b3	V		Ger	1	1	-4, 0, -3, 6		6	-4
10	9	0	0	3/4	1	1	i	c#	i		i		i						m	1	1	0, -3, 1		0	0
11	10	0	0	3/4	1	1	V43(4)	c#	i		V43(4)		V		43	4			Mm7	1	1	2, -1, 1, 0		1	2
11	10	1/8	1/8	3/4	1	1	V43	c#	i		V43		V		43				Mm7	1	1	2, -1, 1, 5		1	2
12	11	0	0	3/4	1	1	V65	c#	i		V65		V		65				Mm7	1	1	5, 2, -1, 1		1	5
13	12	0	0	3/4	1	1	i6	c#	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
13	12	1/8	1/8	3/4	1	1	i	c#	i		i		i						m	1	1	0, -3, 1		0	0
13	12	1/2	1/2	3/4	1	1	V43/VII	c#	i		V43/VII		V		43		VII		Mm7	1	1	0, -3, -1, 3		-1	0
14	13	0	0	3/4	1	1	III64	c#	i		III64		III		64				M	1	1	-2, -3, 1		-3	-2
15	14	0	0	3/4	1	1	V7/VII	c#	i		V7/VII		V		7		VII		Mm7	1	1	-1, 3, 0, -3		-1	-1
