mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.Ab.I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
2	2	0	0	3/4	1	1	V7/IV	Ab	I		V7/IV		V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
3	3	0	0	3/4	1	1	IV	Ab	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
4	4	0	0	3/4	1	1	I(#4)	Ab	I		I(#4)		I			#4			M	0	0	0, 4, 6		0	0
4	4	1/4	1/4	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	3/4	1	1	I+	Ab	I		I+		I	+					+	0	0	0, 4, 8		0	0
6	6	0	0	3/4	1	1	vi6	Ab	I		vi6		vi		6				m	0	0	0, 4, 3		3	0
6	6	1/4	1/4	3/4	1	1	vi7	Ab	I		vi7		vi		7				mm7	0	0	3, 0, 4, 1		3	3
7	7	0	0	3/4	1	1	V7/V	Ab	I		V7/V		V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
8	8	0	0	3/4	1	1	V(#4)	Ab	I		V(#4)		V			#4			M	0	0	1, 5, 7		1	1
8	8	1/4	1/4	3/4	1	1	V7(4)	Ab	I		V7(4)		V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
8	8	1/2	1/2	3/4	1	1	V7(9)	Ab	I		V7(9)		V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
9	9	0	0	3/4	1	1	I\\	Ab	I		I		I					\\	M	0	0	0, 4, 1		0	0
10	10	0	0	3/4	1	1	vi6	Ab	I		vi6		vi		6				m	0	0	0, 4, 3		3	0
10	10	1/2	1/2	3/4	1	1	V7/IV	Ab	I		V7/IV		V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
11	11	0	0	3/4	1	1	IV	Ab	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
12	12	0	0	3/4	1	1	I(#4)	Ab	I		I(#4)		I			#4			M	0	0	0, 4, 6		0	0
12	12	1/4	1/4	3/4	1	1	IV	Ab	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
13	13	0	0	3/4	1	1	V43/vi	Ab	I		V43/vi		V		43		vi		Mm7	0	0	5, 2, 4, 8		4	5
14	14	0	0	3/4	1	1	vi	Ab	I		vi		vi						m	0	0	3, 0, 4		3	3
14	14	1/2	1/2	3/4	1	1	#iv%65	Ab	I		#iv%65		#iv	%	65				%7	0	0	3, 0, 4, 6		6	3
15	15	0	0	3/4	1	1	iii64	Ab	I		iii64		iii		64				m	0	0	5, 4, 1		4	5
15	15	1/2	1/2	3/4	1	1	V7(6)/iii	Ab	I		V7(6)/iii		V		7	6	iii		Mm7	0	0	5, 9, 1, 3		5	5
15	15	5/8	5/8	3/4	1	1	V7/iii	Ab	I		V7/iii		V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
16	16	0	0	3/4	1	1	iii	Ab	I		iii		iii						m	0	0	4, 1, 5		4	4
16	16	1/2	1/2	3/4	1	1	iv7/iii	Ab	I		iv7/iii		iv		7		iii		mm7	0	0	3, 0, 4, 1		3	3
17	17	0	0	3/4	1	1	iii64	Ab	I		iii64		iii		64				m	0	0	5, 4, 1		4	5
17	17	1/2	1/2	3/4	1	1	V7(6)/iii	Ab	I		V7(6)/iii		V		7	6	iii		Mm7	0	0	5, 9, 1, 3		5	5
17	17	5/8	5/8	3/4	1	1	V7/iii	Ab	I		V7/iii		V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
18	18	0	0	3/4	1	1	iii	Ab	I		iii		iii						m	0	0	4, 1, 5		4	4
18	18	1/2	1/2	3/4	1	1	iv7/iii	Ab	I		iv7/iii		iv		7		iii		mm7	0	0	3, 0, 4, 1		3	3
19	19	0	0	3/4	1	1	iii64	Ab	I		iii64		iii		64				m	0	0	5, 4, 1		4	5
19	19	1/2	1/2	3/4	1	1	V7(6)/iii	Ab	I		V7(6)/iii		V		7	6	iii		Mm7	0	0	5, 9, 1, 3		5	5
19	19	5/8	5/8	3/4	1	1	V7/iii	Ab	I		V7/iii		V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
20	20	0	0	3/4	1	1	iii(9)	Ab	I		iii(9)		iii			9			m	0	0	4, 1, 5	-1	4	4
20	20	1/8	1/8	3/4	1	1	iii\\	Ab	I		iii		iii					\\	m	0	0	4, 1, 5		4	4
20	20	1/2	1/2	3/4	1	1	@none	Ab	I		@none		@none						m	0	0				
21	21	0	0	3/4	1	1	iii	Ab	I		iii		iii						m	0	0	4, 1, 5		4	4
22	22	0	0	3/4	1	1	@none	Ab	I		@none		@none						m	0	0				
23	23	0	0	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
24	24	1/2	1/2	3/4	1	1	V7/IV	Ab	I		V7/IV		V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
25	25	0	0	3/4	1	1	IV	Ab	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
26	26	0	0	3/4	1	1	I(#42)	Ab	I		I(#42)		I			#42			M	0	0	2, 4, 6		0	2
26	26	1/4	1/4	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
27	27	1/2	1/2	3/4	1	1	V64/vi	Ab	I		V64/vi		V		64		vi		M	0	0	5, 4, 8		4	5
27	27	5/8	5/8	3/4	1	1	viio	Ab	I		viio		vii	o					o	0	0	5, 2, -1		5	5
28	28	0	0	3/4	1	1	V7/vi	Ab	I		V7/vi		V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
28	28	1/4	1/4	3/4	1	1	vi	Ab	I		vi		vi						m	0	0	3, 0, 4		3	3
28	28	1/2	1/2	3/4	1	1	vi7	Ab	I		vi7		vi		7				mm7	0	0	3, 0, 4, 1		3	3
