mc	mn	onset	label
1	1	0	.a.i
2	2	0	V
2	2	1/2	V[V7
3	3	1/4	IV6
3	3	1/2	V7]
4	4	0	i
4	4	1/2	.bI+
5	5	0	III64
5	5	1/2	i2
6	6	0	V/III
6	6	1/4	V7/III
7	7	0	@none
7	7	1/4	V7(49)/III
7	7	1/2	V7/III
8	8	0	III
8	8	1/4	.Fr6/v
9	9	0	V64/v
9	9	1/2	V7/v
10	10	0	V
10	10	1/2	V7/iv
11	11	0	iv
11	11	1/2	V7
12	12	0	i\\
13	13	0	V7/V
14	14	0	V
15	15	0	V7/bV
16	16	0	.bV
17	17	0	V7/IV
18	18	0	IV64
18	18	1/2	#viio2
19	19	0	V7/IV
19	19	1/4	V7(#6)/IV
19	19	3/8	V7/IV
20	20	0	IV64
21	21	0	V7/IV
22	22	0	V7/VII
22	22	1/2	V7(#4)/VII
23	23	0	V7/VII
23	23	1/4	#ivo7
23	23	1/2	#ivo7(#4)
24	24	0	#ivo7
24	24	1/2	@none
25	25	0	v(4)
25	25	1/8	v
25	25	1/4	III6
25	25	1/2	V2/V
26	26	1/8	V6
26	26	1/4	V
26	26	1/2	V7
27	27	1/4	@none
27	27	1/2	V7
28	28	0	i
28	28	1/2	.bI+
29	29	0	III64
29	29	1/2	i2
30	30	0	V/III
30	30	1/4	V7/III
31	31	0	@none
31	31	1/4	V7(49)/III
31	31	1/2	V7/III
32	32	0	III
32	32	1/4	.Fr6/v
33	33	0	V64/v
33	33	1/2	V7/v
34	34	0	V
34	34	1/2	V7/iv
35	35	0	iv
35	35	1/2	V7
36	36	0	i\\
37	37	0	.I.I
37	37	1/2	IV(9)
37	37	5/8	IV
38	38	0	I
38	38	1/2	IV
39	39	0	I
39	39	1/4	V43/vi
39	39	1/2	IV6(7)
39	39	5/8	IV6
40	40	0	V6/vi
40	40	1/4	vi
40	40	1/2	V65/V
41	41	0	I64
41	41	1/2	V7(6)
41	41	5/8	V9
42	42	0	I[V7
42	42	1/4	I
42	42	1/2	I+
43	43	0	vi(9)
43	43	1/4	IV6(7)
43	43	1/2	IM7
43	43	5/8	IV64
44	44	0	I
44	44	1/8	V7/IV]
44	44	1/4	V65/ii
44	44	1/2	V7/ii
45	45	0	ii
45	45	1/4	viio6
45	45	3/8	viio6(7)
45	45	1/2	V65
46	46	0	V7/vi
46	46	1/4	V7(6)/ii
46	46	5/8	V7/ii
47	47	0	V43/V
47	47	1/4	V7/V
47	47	1/2	V9/V
47	47	5/8	V7/V
48	48	0	@none
48	48	1/4	V7\\
49	49	0	I[I(6)
49	49	1/4	I
49	49	5/8	V9
50	50	0	I(9)
50	50	1/8	I
50	50	1/2	I+
51	51	0	vi(9)
51	51	1/4	IV6
51	51	1/2	viio
52	52	0	I(6)]
52	52	1/8	I
52	52	1/4	#viio7(4)/vii
52	52	3/8	#viio7/vii
53	53	0	V6(7)/V
53	53	1/4	vii6
53	53	1/2	V2/V
54	54	0	V6
54	54	1/4	V64/V
55	55	0	V9/V
55	55	1/2	V7/V
56	56	0	V\\
56	56	1/2	@none
57	57	0	.v.i
57	57	1/4	VI
58	58	0	v64
58	58	1/2	v
58	58	5/8	III6
59	59	0	V7/v
59	59	1/4	V9/v
59	59	1/2	V7/v
60	60	0	v\\
60	60	1/2	@none
61	61	0	i
61	61	1/4	VI
62	62	0	III64
62	62	1/2	III6
62	62	5/8	III
63	63	0	V7/III
63	63	1/4	V(9)/III
63	63	1/2	V7/III
64	64	0	III(4)
64	64	1/8	III\\
64	64	1/2	@none
65	65	0	i
65	65	1/4	VI
66	66	0	v64
66	66	1/2	v
66	66	5/8	III6
67	67	0	V7/v
67	67	1/4	V9/v
67	67	1/2	V7/v
68	68	0	v\\
68	68	1/2	@none
69	69	0	i
69	69	1/4	VI
70	70	0	V64
70	70	1/2	#iii6
71	71	0	V7/V
71	71	1/4	V7(#6)/V
71	71	5/8	V7/V
72	72	0	V64/V
72	72	1/4	V6/V
72	72	1/2	V
73	73	0	V7/V
73	73	1/4	V7(#6)/V
73	73	5/8	V7/V
74	74	0	V64/V
74	74	1/4	V6/V
74	74	1/2	V\\
75	75	0	V
76	76	0	V+
78	78	0	V/#iii
79	79	0	#vii.i
79	79	1/2	It6
80	80	0	V
80	80	1/4	V[V7
81	81	1/4	IV6
81	81	1/2	V7]
82	82	0	i
82	82	1/2	.bI+
83	83	0	III64
83	83	1/2	i2
84	84	0	V/III
84	84	1/4	V7/III
85	85	0	@none
85	85	1/4	V7(49)/III
85	85	1/2	V7/III
86	86	0	III
86	86	1/4	.Fr6/v
87	87	0	V64/v
87	87	1/2	V7/v
88	88	0	V
88	88	1/2	V7/iv
89	89	0	iv
89	89	1/4	ii%65
89	89	1/2	V7
90	90	0	i\\
91	91	0	V7/V
92	92	0	V
92	92	1/2	V(6)
92	92	5/8	V
93	93	0	.i.V7/bV
94	94	0	.bV
95	95	0	V7/IV
96	96	0	IV64
96	96	1/2	#viio2
97	97	0	V7/IV
97	97	1/4	V7(#6)/IV
97	97	3/8	V7/IV
98	98	0	IV64
99	99	0	V7/IV
100	100	0	V7/VII
100	100	1/2	V7(#4)/VII
101	101	0	V7/VII
101	101	1/4	#ivo7
101	101	1/2	#ivo7(#4)
102	102	0	#ivo7
102	102	1/2	@none
103	103	0	v(4)
103	103	1/8	v
103	103	1/4	III
103	103	1/2	VI
104	104	0	V/v
104	104	1/8	V6
104	104	1/4	V
104	104	1/2	V7
105	105	1/4	@none
105	105	1/2	V7
106	106	0	i
106	106	1/2	.bI+
107	107	0	III64
107	107	1/2	i2
108	108	0	V/III
108	108	1/4	V7/III
109	109	0	@none
109	109	1/4	V7(49)/III
109	109	1/2	V7/III
110	110	0	III
110	110	1/4	.Fr6/v
111	111	0	V64/v
111	111	1/2	V7/v
112	112	0	V
112	112	1/2	V7/iv
113	113	0	iv
113	113	1/4	ii%65
113	113	1/2	V7
114	114	0	#ivo7\\
115	115	0	#ivo7
118	118	0	V6/v
118	118	1/4	#vio7
119	119	0	.Ger6
122	122	0	It6
122	122	1/4	.Ger6
123	123	0	V
123	123	1/4	III
123	123	1/2	VI
124	124	0	V/v
124	124	1/8	V6
124	124	1/4	V
124	124	1/2	V7
126	126	0	VM43
126	126	1/8	V6
126	126	1/4	V
126	126	1/2	V7
127	127	0	VM43
127	127	1/8	V6
127	127	1/4	V
127	127	1/2	V7
129	129	0	V9
129	129	1/4	@none
129	129	1/2	V9
130	130	0	i(9)
130	130	1/8	i
130	130	1/4	i\\
