mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	1	1	.c#.v{	c#	i		v		v						{	m	1	1	1, -2, 2		1	1
3	2	0	0	3/4	1	1	V/V	c#	i		V/V		V				V			M	1	1	2, 6, 3		2	2
3	2	1/4	1/4	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
3	2	5/8	5/8	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	3	0	0	3/4	1	1	V(64)	c#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
5	4	0	0	3/4	1	1	V7/V	c#	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
5	4	1/4	1/4	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
5	4	5/8	5/8	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	5	0	0	3/4	1	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
6	5	1/4	1/4	3/4	1	1	iio	c#	i		iio		ii	o						o	1	1	2, -1, -4		2	2
7	6	0	0	3/4	1	1	iio/v	c#	i		iio/v		ii	o			v			o	1	1	3, 0, -3		3	3
7	6	1/4	1/4	3/4	1	1	V/v	c#	i		V/v		V				v			M	1	1	2, 6, 3		2	2
7	6	5/8	5/8	3/4	1	1	V7/v	c#	i		V7/v		V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
8	7	0	0	3/4	1	1	V(64)/v	c#	i		V(64)/v		V			64	v			M	1	1	2, 1, -2		2	2
9	8	0	0	3/4	1	1	ii%7/v	c#	i		ii%7/v		ii	%	7		v			%7	1	1	3, 0, -3, 1		3	3
9	8	1/4	1/4	3/4	1	1	V/v	c#	i		V/v		V				v			M	1	1	2, 6, 3		2	2
9	8	5/8	5/8	3/4	1	1	V7/v	c#	i		V7/v		V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
10	9	0	0	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	10	1/2	1/2	3/4	1	1	iv6	c#	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
12	11	0	0	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	12	1/2	1/2	3/4	1	1	iv6	c#	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
14	13	0	0	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
17	16	0	0	3/4	1	1	i(9)}	c#	i		i(9)		i			9			}	m	1	1	0, -3, 1	2	0	0
17	16	1/4	1/4	3/4	1	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
19	17	0	0	3/4	1	1	VI{	c#	i		VI		VI						{	M	1	1	-4, 0, -3		-4	-4
22	20	0	0	3/4	1	1	III	c#	i		III		III							M	1	1	-3, 1, -2		-3	-3
23	21	0	0	3/4	1	1	iv	c#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
26	24	0	0	3/4	1	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
27	25	0	0	3/4	1	1	V7(6)/V	c#	i		V7(6)/V		V		7	6	V			Mm7	1	1	2, 6, 5, 0		2	2
27	25	1/2	1/2	3/4	1	1	V7/V	c#	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
28	26	0	0	3/4	1	1	V(64)/V	c#	i		V(64)/V		V			64	V			M	1	1	2, 1, 5		2	2
29	27	0	0	3/4	1	1	V7(6)/V	c#	i		V7(6)/V		V		7	6	V			Mm7	1	1	2, 6, 5, 0		2	2
29	27	1/2	1/2	3/4	1	1	V7/V	c#	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
30	28	0	0	3/4	1	1	V(64)/V	c#	i		V(64)/V		V			64	V			M	1	1	2, 1, 5		2	2
30	28	1/2	1/2	3/4	1	1	V7(94)	c#	i		V7(94)		V		7	94				Mm7	1	1	1, 0, 2, -1	-4	1	1
31	29	0	0	3/4	1	1	V(6)/V	c#	i		V(6)/V		V			6	V			M	1	1	2, 6, 5		2	2
31	29	1/2	1/2	3/4	1	1	V7(9)/V	c#	i		V7(9)/V		V		7	9	V			Mm7	1	1	2, 6, 3, 0	4	2	2
32	30	0	0	3/4	1	1	V(64)	c#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
32	30	1/2	1/2	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
33	31	0	0	3/4	1	1	V65/V	c#	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
33	31	1/4	1/4	3/4	1	1	V7/V	c#	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
33	31	1/2	1/2	3/4	1	1	V/V	c#	i		V/V		V				V			M	1	1	2, 6, 3		2	2
34	32	0	0	3/4	1	1	V6	c#	i		V6		V		6					M	1	1	5, 2, 1		1	5
34	32	1/4	1/4	3/4	1	1	V}	c#	i		V		V						}	M	1	1	1, 5, 2		1	1
35	33	0	0	3/4	1	1	V(64){	c#	i		V(64)		V			64			{	M	1	1	1, 0, -3		1	1
36	34	0	0	3/4	1	1	V7/V	c#	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
36	34	1/4	1/4	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
36	34	5/8	5/8	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
37	35	0	0	3/4	1	1	V(64)	c#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
37	35	1/4	1/4	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
37	35	1/2	1/2	3/4	1	1	V(64)	c#	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
37	35	5/8	5/8	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
38	36	0	0	3/4	1	1	ii%2/V	c#	i		ii%2/V		ii	%	2		V			%7	1	1	1, 3, 0, -3		3	1
38	36	1/4	1/4	3/4	1	1	V/V	c#	i		V/V		V				V			M	1	1	2, 6, 3		2	2
38	36	1/2	1/2	3/4	1	1	V7(6)/V	c#	i		V7(6)/V		V		7	6	V			Mm7	1	1	2, 6, 5, 0		2	2
39	37	0	0	3/4	1	1	V}	c#	i		V		V						}	M	1	1	1, 5, 2		1	1
39	37	1/4	1/4	3/4	1	1	v{	c#	i		v		v						{	m	1	1	1, -2, 2		1	1
40	38	0	0	3/4	1	1	V7/V	c#	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
40	38	1/4	1/4	3/4	1	1	V(4#2)	c#	i		V(4#2)		V			4#2				M	1	1	1, 3, 0, 2		1	1
