mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	2	1		.e.V{	e	i		V	V						{	M	1	1	1, 5, 2		1	1
2	1	0	0	3/4	2	1		i(4)	e	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
2	1	3/16	3/16	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
2	1	1/4	1/4	3/4	2	1		i(9)	e	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
2	1	1/2	1/2	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
3	2	0	0	3/4	2	1		iv(11)	e	i		iv(11)	iv			11				m	1	1	-1, -4, 0	-2	-1	-1
3	2	1/2	1/2	3/4	2	1		iv	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	3	0	0	3/4	2	1		V7(96)/III	e	i		V7(96)/III	V		7	96	III			Mm7	1	1	-2, 2, 1, -4	0	-2	-2
4	3	3/16	3/16	3/4	2	1		V7(9)/III	e	i		V7(9)/III	V		7	9	III			Mm7	1	1	-2, 2, -1, -4	0	-2	-2
4	3	1/4	1/4	3/4	2	1		V(6)/III	e	i		V(6)/III	V			6	III			M	1	1	-2, 2, 1		-2	-2
4	3	1/2	1/2	3/4	2	1		V7/III	e	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
5	4	0	0	3/4	2	1		III(4)	e	i		III(4)	III			4				M	1	1	-3, -4, -2		-3	-3
5	4	1/2	1/2	3/4	2	1		III	e	i		III	III							M	1	1	-3, 1, -2		-3	-3
6	5	0	0	3/4	2	1		V	e	i		V	V							M	1	1	1, 5, 2		1	1
6	5	1/4	1/4	3/4	2	1		V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	6	0	0	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
8	7	0	0	3/4	2	1		i[V2/V	e	i	i	V2/V	V		2		V			Mm7	1	1	0, 2, 6, 3		2	0
8	7	1/2	1/2	3/4	2	1		ii%2	e	i	i	ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
9	8	0	0	3/4	2	1		#viio64	e	i	i	#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
9	8	1/2	1/2	3/4	2	1		i]}	e	i	i	i	i						}	m	1	1	0, -3, 1		0	0
10	9	0	0	3/4	2	1		V{	e	i		V	V						{	M	1	1	1, 5, 2		1	1
10	9	1/4	1/4	3/4	2	1		V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	10	0	0	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
12	11	0	0	3/4	2	1		V/V	e	i		V/V	V				V			M	1	1	2, 6, 3		2	2
12	11	1/4	1/4	3/4	2	1		V7(1394)/V	e	i		V7(1394)/V	V		7	1394	V			Mm7	1	1	2, 1, 3, 0	5, 4	2	2
12	11	1/2	1/2	3/4	2	1		V7/V	e	i		V7/V	V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
13	12	0	0	3/4	2	1		V}	e	i		V	V						}	M	1	1	1, 5, 2		1	1
13	12	1/2	1/2	3/4	2	1		{	e	i									{		1	1				
14	13	0	0	3/4	2	1		i(4)	e	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
14	13	3/16	3/16	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
14	13	1/4	1/4	3/4	2	1		i(9)	e	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
14	13	1/2	1/2	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
15	14	0	0	3/4	2	1		iv(11)	e	i		iv(11)	iv			11				m	1	1	-1, -4, 0	-2	-1	-1
