mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	3/4	2	1		Bb.V7{	Bb	I		V7		V		7				{	Mm7	0	0	1, 5, 2, -1		1	1
2	2	3	3.0	0	0	3/4	2	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	3	6	3.0	0	0	3/4	2	1		IV	Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	4	9	3.0	0	0	3/4	2	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
5	5	12	1.0	0	0	3/4	2	1		V7(9)	Bb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
5	5	13	2.0	1/4	1/4	3/4	2	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	15	1.0	0	0	3/4	2	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	16	2.0	1/4	1/4	3/4	2	1		I(#11)	Bb	I		I(#11)		I			#11				M	0	0	0, 4, 1	6	0	0
7	7	18	2.0	0	0	3/4	2	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	20	1.0	1/2	1/2	3/4	2	1		V7(9)	Bb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
8	8	21	4.0	0	0	3/4	2	1		I[I	Bb	I	I	I		I							M	0	0	0, 4, 1		0	0
9	9	25	2.0	1/4	1/4	3/4	2	1		V7	Bb	I	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	27	1.0	0	0	3/4	2	1		I	Bb	I	I	I		I							M	0	0	0, 4, 1		0	0
10	10	28	2.0	1/4	1/4	3/4	2	1		I(#11)]	Bb	I	I	I(#11)		I			#11				M	0	0	0, 4, 1	6	0	0
11	11	30	3.0	0	0	3/4	2	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	33	1.0	0	0	3/4	2	1		I}	Bb	I		I		I						}	M	0	0	0, 4, 1		0	0
12	12	34	2.0	1/4	1/4	3/4	2	1		I|PAC	Bb	I		I		I					PAC		M	0	0	0, 4, 1		0	0
13	13	36	3.0	0	0	3/4	2	1		V7{	Bb	I		V7		V		7				{	Mm7	0	0	1, 5, 2, -1		1	1
14	14	39	3.0	0	0	3/4	2	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
15	15	42	3.0	0	0	3/4	2	1		IV	Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	16	45	3.0	0	0	3/4	2	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
17	17	48	1.0	0	0	3/4	2	1		V7(9)	Bb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
17	17	49	2.0	1/4	1/4	3/4	2	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	51	1.0	0	0	3/4	2	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
18	18	52	2.0	1/4	1/4	3/4	2	1		I(#11)	Bb	I		I(#11)		I			#11				M	0	0	0, 4, 1	6	0	0
19	19	54	2.0	0	0	3/4	2	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	56	1.0	1/2	1/2	3/4	2	1		V7(9)	Bb	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
20	20	57	4.0	0	0	3/4	2	1		I[I	Bb	I	I	I		I							M	0	0	0, 4, 1		0	0
21	21	61	2.0	1/4	1/4	3/4	2	1		V7	Bb	I	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	22	63	1.0	0	0	3/4	2	1		I	Bb	I	I	I		I							M	0	0	0, 4, 1		0	0
22	22	64	2.0	1/4	1/4	3/4	2	1		I(#11)]	Bb	I	I	I(#11)		I			#11				M	0	0	0, 4, 1	6	0	0
23	23	66	3.0	0	0	3/4	2	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	24	69	1.0	0	0	3/4	2	1		I}	Bb	I		I		I						}	M	0	0	0, 4, 1		0	0
24	24	70	2.0	1/4	1/4	3/4	2	1		I|PAC	Bb	I		I		I					PAC		M	0	0	0, 4, 1		0	0
25	24	71	0.0	0	1/2	3/4	2	1		{	Bb	I										{		0	0				
26	25	72	3.0	0	0	3/4	2	1		I/V	Bb	I		I/V		I				V			M	0	0	1, 5, 2		1	1
27	26	75	2.0	0	0	3/4	2	1		I(964)/V	Bb	I		I(964)/V		I			964	V			M	0	0	1, 0, 4	3	1	1
