mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.C.I[I	C	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
5	5	1/2	vi7	C	I	I	vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
6	6	0	V/V	C	I	I	V/V	V				V		M	0	0	2, 6, 3		2.0	2.0
6	6	1/4	V7	C	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
6	6	1/2	I	C	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
7	7	1/2	vi7	C	I	I	vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
8	8	0	V/V	C	I	I	V/V	V				V		M	0	0	2, 6, 3		2.0	2.0
8	8	1/4	V7	C	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
8	8	1/2	I	C	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
9	9	1/2	vi7	C	I	I	vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
10	10	0	V/V	C	I	I	V/V	V				V		M	0	0	2, 6, 3		2.0	2.0
10	10	1/4	V7	C	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
10	10	1/2	I	C	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
11	11	1/2	vi7	C	I	I	vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
12	12	0	V/V	C	I	I	V/V	V				V		M	0	0	2, 6, 3		2.0	2.0
12	12	1/4	V7	C	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
12	12	1/2	I	C	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
13	13	0	V7	C	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
13	13	1/2	V7(6)	C	I	I	V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
14	14	0	I	C	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
14	14	1/2	vi7	C	I	I	vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
15	15	0	V7(4)/V	C	I	I	V7(4)/V	V		7	4	V		Mm7	0	0	2, 1, 3, 0		2.0	2.0
15	15	1/8	V7/V	C	I	I	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
15	15	1/4	ii	C	I	I	ii	ii						m	0	0	2, -1, 3		2.0	2.0
15	15	1/2	V7	C	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
16	16	0	I\\	C	I	I	I	I					\\	M	0	0	0, 4, 1		0.0	0.0
17	17	0	V7	C	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
17	17	1/2	V7(6)	C	I	I	V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
18	18	0	I	C	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
18	18	1/2	vi7	C	I	I	vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
19	19	0	V7(4)/V	C	I	I	V7(4)/V	V		7	4	V		Mm7	0	0	2, 1, 3, 0		2.0	2.0
19	19	1/8	V7/V	C	I	I	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
19	19	1/4	ii	C	I	I	ii	ii						m	0	0	2, -1, 3		2.0	2.0
19	19	1/2	V(6)	C	I	I	V(6)	V			6			M	0	0	1, 5, 4		1.0	1.0
20	20	0	I\\	C	I	I	I	I					\\	M	0	0	0, 4, 1		0.0	0.0
21	21	0	V7	C	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
21	21	1/2	V7(6)	C	I	I	V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
22	22	0	I	C	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
22	22	1/2	vi7	C	I	I	vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
23	23	0	V7(4)/V	C	I	I	V7(4)/V	V		7	4	V		Mm7	0	0	2, 1, 3, 0		2.0	2.0
