mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/2	.D.I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
3	2	0	V7(6)		D	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
3	2	1/4	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
4	3	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
5	4	0	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
5	4	1/2	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
6	5	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
7	6	0	ii6(2)		D	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
7	6	1/4	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
8	7	0	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
9	8	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
10	9	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
11	10	0	V7(6)		D	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
11	10	1/4	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
12	11	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
13	12	0	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
13	12	1/2	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
14	13	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
15	14	0	ii6(2)		D	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
15	14	1/4	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
16	15	0	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
17	16	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
18	17	0	.V.I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
19	18	0	V7(6)		D	V		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
19	18	1/4	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
20	19	0	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
21	20	0	V		D	V		V	V						M	0	0	1, 5, 2		1.0	1.0
21	20	1/2	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
22	21	0	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
23	22	0	ii6(2)		D	V		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2.0	-1.0
23	22	1/4	ii6		D	V		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
24	23	0	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
25	24	0	I\\		D	V		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
26	25	0	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
27	26	0	V7(6)		D	V		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
27	26	1/4	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
