mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/2	.Ab.I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
2	1	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
2	1	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
2	1	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
2	1	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
3	2	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
3	2	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
3	2	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
3	2	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
4	3	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
4	3	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
4	3	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
4	3	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
5	4	0	V65(4)		Ab	I		V65(4)	V		65	4			Mm7	0	0	0, 2, -1, 1		1	0
5	4	1/8	V65		Ab	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
5	4	1/2	V7		Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	5	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
6	5	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
6	5	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
6	5	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
7	6	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
7	6	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
7	6	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
7	6	1/2	ii%65/V		Ab	I		ii%65/V	ii	%	65		V		%7	0	0	2, 9, 1, 3		3	2
8	7	0	V[V		Ab	I	V	V	V						M	0	0	1, 5, 2		1	1
8	7	1/4	viio2/V		Ab	I	V	viio2/V	vii	o	2		V		o7	0	0	-3, 6, 3, 0		6	-3
8	7	1/2	V7/V		Ab	I	V	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
9	8	0	viio2/V		Ab	I	V	viio2/V	vii	o	2		V		o7	0	0	-3, 6, 3, 0		6	-3
9	8	1/4	V7/V		Ab	I	V	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
9	8	1/2	V]\\		Ab	I	V	V	V					\\	M	0	0	1, 5, 2		1	1
10	9	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
10	9	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
10	9	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
10	9	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
11	10	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
11	10	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
11	10	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
11	10	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
12	11	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
12	11	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
12	11	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
12	11	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
13	12	0	V65(4)		Ab	I		V65(4)	V		65	4			Mm7	0	0	0, 2, -1, 1		1	0
13	12	1/8	V65		Ab	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
13	12	1/2	V7		Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
14	13	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
14	13	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
14	13	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
14	13	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
15	14	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
15	14	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
15	14	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
15	14	1/2	viio7/V		Ab	I		viio7/V	vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
16	15	0	V		Ab	I		V	V						M	0	0	1, 5, 2		1	1
16	15	1/4	ii		Ab	I		ii	ii						m	0	0	2, -1, 3		2	2
16	15	1/2	V(6)		Ab	I		V(6)	V			6			M	0	0	1, 5, 4		1	1
16	15	5/8	V7		Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
17	16	0	I(64)		Ab	I		I(64)	I			64			M	0	0	0, -1, 3		0	0
17	16	1/8	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
17	16	1/4	I\\		Ab	I		I	I					\\	M	0	0	0, 4, 1		0	0
18	16	1/2	ii[ii		Ab	I	ii	ii	ii						m	0	0	2, -1, 3		2	2
20	18	0	V/V		Ab	I	ii	V/V	V				V		M	0	0	2, 6, 3		2	2
20	18	1/4	V7/ii		Ab	I	ii	V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
20	18	1/2	ii		Ab	I	ii	ii	ii						m	0	0	2, -1, 3		2	2
22	20	0	V/V		Ab	I	ii	V/V	V				V		M	0	0	2, 6, 3		2	2
22	20	1/4	V7/ii		Ab	I	ii	V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
22	20	1/2	ii		Ab	I	ii	ii	ii						m	0	0	2, -1, 3		2	2
23	21	0	V/V		Ab	I	ii	V/V	V				V		M	0	0	2, 6, 3		2	2
23	21	1/4	V7/ii		Ab	I	ii	V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
23	21	1/2	ii		Ab	I	ii	ii	ii						m	0	0	2, -1, 3		2	2
24	22	0	V/V		Ab	I	ii	V/V	V				V		M	0	0	2, 6, 3		2	2
24	22	1/4	V7/ii		Ab	I	ii	V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
24	22	1/2	ii]\\		Ab	I	ii	ii	ii					\\	m	0	0	2, -1, 3		2	2
25	23	0	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
25	23	1/2	.bVI6		Ab	I		bVI6	bVI		6				M	0	0	0, -3, -4		-4	0
26	24	0	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
26	24	1/4	.bVI6		Ab	I		bVI6	bVI		6				M	0	0	0, -3, -4		-4	0
26	24	1/2	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
27	25	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
27	25	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
27	25	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
27	25	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
28	26	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
28	26	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
28	26	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
28	26	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
29	27	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
29	27	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
29	27	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
29	27	1/2	I64(4)		Ab	I		I64(4)	I		64	4			M	0	0	1, 0, -1		0	1
29	27	5/8	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
30	28	0	V65(4)		Ab	I		V65(4)	V		65	4			Mm7	0	0	0, 2, -1, 1		1	0
30	28	1/8	V65		Ab	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
30	28	1/2	V7		Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
31	29	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
31	29	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
31	29	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
31	29	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
32	30	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
32	30	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
32	30	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
32	30	1/2	ii%65/V		Ab	I		ii%65/V	ii	%	65		V		%7	0	0	2, 9, 1, 3		3	2
33	31	0	V[V		Ab	I	V	V	V						M	0	0	1, 5, 2		1	1
33	31	1/4	viio2/V		Ab	I	V	viio2/V	vii	o	2		V		o7	0	0	-3, 6, 3, 0		6	-3
33	31	1/2	V7/V		Ab	I	V	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
34	32	0	viio2/V		Ab	I	V	viio2/V	vii	o	2		V		o7	0	0	-3, 6, 3, 0		6	-3
34	32	1/4	V7/V		Ab	I	V	V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
34	32	1/2	V]\\		Ab	I	V	V	V					\\	M	0	0	1, 5, 2		1	1
35	33	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
35	33	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
35	33	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
35	33	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
36	34	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
36	34	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
36	34	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
36	34	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
37	35	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
37	35	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
37	35	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
37	35	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
38	36	0	V65(4)		Ab	I		V65(4)	V		65	4			Mm7	0	0	0, 2, -1, 1		1	0
38	36	1/8	V65		Ab	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
38	36	1/2	V7		Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
39	37	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
39	37	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
39	37	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
39	37	1/2	I64		Ab	I		I64	I		64				M	0	0	1, 0, 4		0	1
40	38	0	viio7(4)		Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5	5
40	38	1/8	viio7		Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
40	38	1/4	I		Ab	I		I	I						M	0	0	0, 4, 1		0	0
40	38	1/2	viio7/V		Ab	I		viio7/V	vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
41	39	0	V		Ab	I		V	V						M	0	0	1, 5, 2		1	1
41	39	1/4	ii		Ab	I		ii	ii						m	0	0	2, -1, 3		2	2
41	39	1/2	V(6)		Ab	I		V(6)	V			6			M	0	0	1, 5, 4		1	1
41	39	5/8	V7		Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
42	40	0	I(64)	1	Ab	I		I(64)	I			64			M	0	0	0, -1, 3		0	0
42	40	3/16	I\\	1	Ab	I		I	I					\\	M	0	0	0, 4, 1		0	0
43	40	0	I(64)	2	Ab	I		I(64)	I			64			M	0	0	0, -1, 3		0	0
43	40	3/16	I\\	2	Ab	I		I	I					\\	M	0	0	0, 4, 1		0	0
43	40	1/2	i	2	Ab	I		i	i						m	0	0	0, -3, 1		0	0
44	41	0	#V.V(6)		Ab	#V		V(6)	V			6			M	0	0	1, 5, 4		1	1
44	41	1/4	V7		Ab	#V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
45	42	0	I		Ab	#V		I	I						M	0	0	0, 4, 1		0	0
46	43	-1/4	V7/iii		Ab	#V		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
46	43	0	V(64)/iii		Ab	#V		V(64)/iii	V			64	iii		M	0	0	5, 4, 1		5	5
46	43	1/4	V/iii		Ab	#V		V/iii	V				iii		M	0	0	5, 9, 6		5	5
46	43	1/2	V7/iii		Ab	#V		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
47	44	0	iii		Ab	#V		iii	iii						m	0	0	4, 1, 5		4	4
48	45	1/4	ii%43/V		Ab	#V		ii%43/V	ii	%	43		V		%7	0	0	9, 1, 3, 2		3	9
48	45	1/2	V7/V		Ab	#V		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
49	46	0	V		Ab	#V		V	V						M	0	0	1, 5, 2		1	1
49	46	1/4	V7		Ab	#V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
50	47	0	V(6)		Ab	#V		V(6)	V			6			M	0	0	1, 5, 4		1	1
50	47	1/4	V7		Ab	#V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
51	48	0	V7(9)		Ab	#V		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
51	48	1/4	V7		Ab	#V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
52	49	1/4	V7\\		Ab	#V		V7	V		7			\\	Mm7	0	0	1, 5, 2, -1		1	1
53	50	0	I		Ab	#V		I	I						M	0	0	0, 4, 1		0	0
54	51	0	V(64)/iii		Ab	#V		V(64)/iii	V			64	iii		M	0	0	5, 4, 1		5	5
54	51	1/4	V/iii		Ab	#V		V/iii	V				iii		M	0	0	5, 9, 6		5	5
54	51	1/2	V7/iii		Ab	#V		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
55	52	0	iii		Ab	#V		iii	iii						m	0	0	4, 1, 5		4	4
