mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	3/4	2	1		Bb.I{	Bb	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	2	2	1.0	1/2	1/2	3/4	2	1		I(#2)	Bb	I		I(#2)	I			#2				M	0	0	0, 9, 1		0	0
2	2	3	3	1.0	0	0	3/4	2	1		V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
2	2	4	4	2.0	1/4	1/4	3/4	2	1		V(9#74)	Bb	I		V(9#74)	V			9#74				M	0	0	1, 0, 2	3, 6	1	1
3	3	6	6	1.0	0	0	3/4	2	1		V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
3	3	7	7	2.0	1/4	1/4	3/4	2	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	9	9	1.0	0	0	3/4	2	1		V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	4	10	10	2.0	1/4	1/4	3/4	2	1		V7|HC}	Bb	I		V7	V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
5	5	12	12	2.0	0	0	3/4	2	1		I{	Bb	I		I	I						{	M	0	0	0, 4, 1		0	0
5	5	14	14	1.0	1/2	1/2	3/4	2	1		I(#2)	Bb	I		I(#2)	I			#2				M	0	0	0, 9, 1		0	0
6	6	15	15	1.0	0	0	3/4	2	1		V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
6	6	16	16	2.0	1/4	1/4	3/4	2	1		V(9#74)	Bb	I		V(9#74)	V			9#74				M	0	0	1, 0, 2	3, 6	1	1
7	7	18	18	1.0	0	0	3/4	2	1		V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
7	7	19	19	2.0	1/4	1/4	3/4	2	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	21	21	1.0	0	0	3/4	2	1		V(64)	Bb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	8	22	22	2.0	1/4	1/4	3/4	2	1		V7|HC}	Bb	I		V7	V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
9	9	24	24	2.0	0	0	3/4	2	1		I{	Bb	I		I	I						{	M	0	0	0, 4, 1		0	0
9	9	26	26	1.0	1/2	1/2	3/4	2	1		#viio43/ii	Bb	I		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
10	10	27	27	2.0	0	0	3/4	2	1		ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
10	10	29	29	1.0	1/2	1/2	3/4	2	1		ii%65	Bb	I		ii%65	ii	%	65					%7	0	0	-1, -4, 0, 2		2	-1
11	11	30	30	3.0	0	0	3/4	2	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	33	33	1.0	0	0	3/4	2	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
12	12	34	34	2.0	1/4	1/4	3/4	2	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	36	36	2.0	0	0	3/4	2	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
13	13	38	38	1.0	1/2	1/2	3/4	2	1		#viio43/ii	Bb	I		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
14	14	39	39	2.0	0	0	3/4	2	1		ii6	Bb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
14	14	41	41	1.0	1/2	1/2	3/4	2	1		ii%65	Bb	I		ii%65	ii	%	65					%7	0	0	-1, -4, 0, 2		2	-1
15	15	42	42	3.0	0	0	3/4	2	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16		45		0	0	3/4	2	1	1	I|PAC}	Bb	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
17	16	45	48	3.0	0	0	3/4	2	1	2	I|PAC}	Bb	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
18	17	48	51	3.0	0	0	3/4	2	1		vi.i	Bb	vi		i	i							m	0	1	0, -3, 1		0	0
19	18	51	54	3.0	0	0	3/4	2	1		ii%65	Bb	vi		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
20	19	54	57	3.0	0	0	3/4	2	1		V7	Bb	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
21	20	57	60	6.0	0	0	3/4	2	1		i	Bb	vi		i	i							m	0	1	0, -3, 1		0	0
23	22	63	66	3.0	0	0	3/4	2	1		ii%65	Bb	vi		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
24	23	66	69	3.0	0	0	3/4	2	1		V7	Bb	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
25	24	69	72	3.0	0	0	3/4	2	1		i|PAC}	Bb	vi		i	i					PAC	}	m	0	1	0, -3, 1		0	0
26	25	72	75	2.0	0	0	3/4	2	1		I.V65(9){	Bb	I		V65(9)	V		65	9			{	Mm7	0	0	5, 2, -1, 1	3	1	5
26	25	74	77	1.0	1/2	1/2	3/4	2	1		V65	Bb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
27	26	75	78	3.0	0	0	3/4	2	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
28	27	78	81	3.0	0	0	3/4	2	1		V43	Bb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
29	28	81	84	3.0	0	0	3/4	2	1		I|IAC}	Bb	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
30	29	84	87	2.0	0	0	3/4	2	1		V65(9){	Bb	I		V65(9)	V		65	9			{	Mm7	0	0	5, 2, -1, 1	3	1	5
30	29	86	89	1.0	1/2	1/2	3/4	2	1		V65	Bb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
31	30	87	90	3.0	0	0	3/4	2	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
32	31	90	93	3.0	0	0	3/4	2	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
33	32	93	96	3.0	0	0	3/4	2	1		I|IAC}	Bb	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
