mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	5/8	.Ab.I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
2	1	1/4	iv6	Ab	I		iv6	iv		6				m	0	0	-4, 0, -1		-1.0	-4.0
2	1	1/2	ii%2	Ab	I		ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2.0	0.0
3	2	0	viio7	Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
3	2	1/4	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
3	2	1/2	V6	Ab	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
4	3	0	IV6	Ab	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
4	3	1/4	V(64)	Ab	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
5	4	0	V7	Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
5	4	1/2	I\\	Ab	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
6	5	1/4	iv6	Ab	I		iv6	iv		6				m	0	0	-4, 0, -1		-1.0	-4.0
6	5	1/2	ii%2	Ab	I		ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2.0	0.0
7	6	0	viio7	Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
7	6	1/4	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
7	6	1/2	V6	Ab	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
8	7	0	IV6	Ab	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
8	7	1/4	V(64)	Ab	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
9	8	0	V7	Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
9	8	1/2	I\\	Ab	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
10	9	0	V/vi	Ab	I		V/vi	V				vi		M	0	0	4, 8, 5		4.0	4.0
10	9	1/4	V7/vi	Ab	I		V7/vi	V		7		vi		Mm7	0	0	4, 8, 5, 2		4.0	4.0
10	9	1/2	vi	Ab	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
11	10	0	V9/iii	Ab	I										0	0				
11	10	1/2	V7/iii	Ab	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5.0	5.0
12	11	0	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
12	11	1/4	V43/vi	Ab	I		V43/vi	V		43		vi		Mm7	0	0	5, 2, 4, 8		4.0	5.0
12	11	1/2	vi	Ab	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
13	12	0	V9/iii	Ab	I										0	0				
13	12	1/2	V7/iii	Ab	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5.0	5.0
14	13	0	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
14	13	1/4	IV6	Ab	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
14	13	1/2	ii%65/iii	Ab	I		ii%65/iii	ii	%	65		iii		%7	0	0	5, 12, 4, 6		6.0	5.0
15	14	0	V7/iii	Ab	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5.0	5.0
15	14	1/2	iii	Ab	I		iii	iii						m	0	0	4, 1, 5		4.0	4.0
16	15	0	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
16	15	1/4	IV6	Ab	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
16	15	1/2	ii%65/iii	Ab	I		ii%65/iii	ii	%	65		iii		%7	0	0	5, 12, 4, 6		6.0	5.0
17	16	0	V6(76)	Ab	I		V6(76)	V		6	76			M	0	0	5, 4, -1		1.0	5.0
17	16	1/4	V6	Ab	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
17	16	1/2	viio7(4)	Ab	I		viio7(4)	vii	o	7	4			o7	0	0	5, 4, -1, -4		5.0	5.0
17	16	5/8	viio7	Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
18	17	0	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
18	17	1/4	iv6	Ab	I		iv6	iv		6				m	0	0	-4, 0, -1		-1.0	-4.0
18	17	1/2	ii%2	Ab	I		ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2.0	0.0
19	18	0	viio7	Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
19	18	1/4	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
19	18	1/2	V6	Ab	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
20	19	0	IV6	Ab	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
20	19	1/4	V(64)	Ab	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
21	20	0	V7	Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
21	20	1/2	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
22	21	1/4	iv6	Ab	I		iv6	iv		6				m	0	0	-4, 0, -1		-1.0	-4.0
22	21	1/2	ii%2	Ab	I		ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2.0	0.0
23	22	0	viio7	Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
23	22	1/4	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
23	22	1/2	V6	Ab	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
24	23	0	IV6	Ab	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
24	23	1/4	V(64)	Ab	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
25	24	0	V7	Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
25	24	1/2	I\\	Ab	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
26	25	0	IV.I[V7	Ab	IV	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
26	25	1/2	I	Ab	IV	I	I	I						M	0	0	0, 4, 1		0.0	0.0
27	26	0	V/V	Ab	IV	I	V/V	V				V		M	0	0	2, 6, 3		2.0	2.0
27	26	1/4	viio7/vi	Ab	IV	I	viio7/vi	vii	o	7		vi		o7	0	0	1, -2, -5, -8		1.0	1.0
27	26	1/2	V7	Ab	IV	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
28	27	1/2	I	Ab	IV	I	I	I						M	0	0	0, 4, 1		0.0	0.0
29	28	0	V/V	Ab	IV	I	V/V	V				V		M	0	0	2, 6, 3		2.0	2.0
29	28	1/4	V7	Ab	IV	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
29	28	1/2	I\\	Ab	IV	I	I	I					\\	M	0	0	0, 4, 1		0.0	0.0
30	29	0	V7	Ab	IV	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
30	29	1/2	I	Ab	IV	I	I	I						M	0	0	0, 4, 1		0.0	0.0
31	30	0	V/V	Ab	IV	I	V/V	V				V		M	0	0	2, 6, 3		2.0	2.0
31	30	1/4	viio7/vi	Ab	IV	I	viio7/vi	vii	o	7		vi		o7	0	0	1, -2, -5, -8		1.0	1.0
31	30	1/2	V7	Ab	IV	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
32	31	1/2	I	Ab	IV	I	I	I						M	0	0	0, 4, 1		0.0	0.0
33	32	0	V/V	Ab	IV	I	V/V	V				V		M	0	0	2, 6, 3		2.0	2.0
33	32	1/4	V7	Ab	IV	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
33	32	1/2	I]\\	Ab	IV	I	I	I					\\	M	0	0	0, 4, 1		0.0	0.0
34	33	0	#V	Ab	IV		#V	#V						M	0	0	8, 12, 9		8.0	8.0
34	33	1/2	IV/#V	Ab	IV		IV/#V	IV				#V		M	0	0	7, 11, 8		7.0	7.0
35	34	0	#V	Ab	IV		#V	#V						M	0	0	8, 12, 9		8.0	8.0
36	35	1/2	IV/#V	Ab	IV		IV/#V	IV				#V		M	0	0	7, 11, 8		7.0	7.0
37	36	0	#V\\	Ab	IV		#V	#V					\\	M	0	0	8, 12, 9		8.0	8.0
37	36	1/2	I.viio7	Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
38	37	0	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
38	37	1/4	iv6	Ab	I		iv6	iv		6				m	0	0	-4, 0, -1		-1.0	-4.0
38	37	1/2	ii%2	Ab	I		ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2.0	0.0
39	38	0	viio7	Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
39	38	1/4	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
39	38	1/2	V6	Ab	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
40	39	0	IV6	Ab	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
40	39	1/4	V(64)	Ab	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
41	40	0	V7	Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
41	40	1/2	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
42	41	1/4	iv6	Ab	I		iv6	iv		6				m	0	0	-4, 0, -1		-1.0	-4.0
42	41	1/2	ii%2	Ab	I		ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2.0	0.0
43	42	0	viio7	Ab	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
43	42	1/4	I	Ab	I		I	I						M	0	0	0, 4, 1		0.0	0.0
43	42	1/2	V6	Ab	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
44	43	0	IV6	Ab	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
44	43	1/4	V(64)	Ab	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
45	44	0	V7	Ab	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
45	44	1/2	I\\	Ab	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
