mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	2	1		a.i{	a	i		i		i						{	m	1	1	0, -3, 1		0	0
2	1	0	0	3/4	2	1		iv64	a	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
3	2	0	0	3/4	2	1		i(6)	a	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
3	2	1/2	1/2	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
4	3	0	0	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	4	0	0	3/4	2	1		i(4)	a	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
5	4	1/2	1/2	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
7	6	0	0	3/4	2	1		V(64)/v	a	i		V(64)/v		V			64	v			M	1	1	2, 1, -2		2	2
8	7	1/2	1/2	3/4	2	1		V/v	a	i		V/v		V				v			M	1	1	2, 6, 3		2	2
9	8	0	0	3/4	2	1		i/v|PAC}	a	i		i/v		i				v	PAC	}	m	1	1	1, -2, 2		1	1
9	8	1/2	1/2	3/4	2	1		{	a	i										{		1	1				
10	9	0	0	3/4	2	1		iv64	a	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
11	10	0	0	3/4	2	1		i(6)	a	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
11	10	1/2	1/2	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
12	11	0	0	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	12	0	0	3/4	2	1		VI(6)	a	i		VI(6)		VI			6				M	1	1	-4, 0, -1		-4	-4
13	12	1/2	1/2	3/4	2	1		VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
14	13	0	0	3/4	2	1		V7/bII	a	i		V7/bII		V		7		bII			Mm7	1	1	-4, 0, -3, -6		-4	-4
15	14	0	0	3/4	2	1		.bII	a	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
16	15	0	0	3/4	2	1		V7(4)	a	i		V7(4)		V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
16	15	3/16	3/16	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
17	16	0	0	3/4	2	1		i|PAC}	a	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
18	16	0	1/2	3/4	2	1		{	a	i										{		1	1				
19	17	0	0	3/4	2	1		iii.Ger6	a	iii		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
20	18	0	0	3/4	2	1		V(#764)	a	iii		V(#764)		V			#764				M	1	1	1, 0, -3	6	1	1
20	18	1/2	1/2	3/4	2	1		V	a	iii		V		V							M	1	1	1, 5, 2		1	1
21	19	0	0	3/4	2	1		Ger6	a	iii		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
22	20	0	0	3/4	2	1		ii%65/III	a	iii		ii%65/III		ii	%	65		III			%7	1	1	-4, -7, -3, -1		-1	-4
22	20	1/2	1/2	3/4	2	1		V2/III	a	iii		V2/III		V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
23	21	0	0	3/4	2	1		III6(2)	a	iii		III6(2)		III		6	2				M	1	1	1, -2, -1		-3	1
23	21	1/2	1/2	3/4	2	1		#viio43/ii	a	iii		#viio43/ii		#vii	o	43		ii			o7	1	1	1, -2, 7, 4		7	1
24	22	0	0	3/4	2	1		V2/ii	a	iii		V2/ii		V		2		ii			Mm7	1	1	1, 3, 7, 4		3	1
24	22	1/2	1/2	3/4	2	1		viio7/V	a	iii		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
25	23	0	0	3/4	2	1		#viio43(4)	a	iii		#viio43(4)		#vii	o	43	4				o7	1	1	-1, -4, 5, -3		5	-1
25	23	1/2	1/2	3/4	2	1		#viio43	a	iii		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
