mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	12.0	0	0	3/4	2	1	.E.I{	E	I		I		I						{	M	0	0	0, 4, 1		0	0
5	5	12	12	1.0	0	0	3/4	2	1	I64	E	I		I64		I		64					M	0	0	1, 0, 4		0	1
5	5	13	13	1.0	1/4	1/4	3/4	2	1	I6(4)	E	I		I6(4)		I		6	4				M	0	0	-1, 1, 0		0	-1
5	5	14	14	1.0	1/2	1/2	3/4	2	1	I6	E	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	15	15	3.0	0	0	3/4	2	1	I	E	I		I		I							M	0	0	0, 4, 1		0	0
7	7	18	18	1.0	0	0	3/4	2	1	I64	E	I		I64		I		64					M	0	0	1, 0, 4		0	1
7	7	19	19	1.0	1/4	1/4	3/4	2	1	I6(4)	E	I		I6(4)		I		6	4				M	0	0	-1, 1, 0		0	-1
7	7	20	20	1.0	1/2	1/2	3/4	2	1	I6	E	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	8	21	21	9.0	0	0	3/4	2	1	I[I}	E	I	I	I		I						}	M	0	0	0, 4, 1		0	0
8	8	23	23	0.0	1/2	1/2	3/4	2	1	{	E	I	I									{		0	0				
11	11	30	30	3.0	0	0	3/4	2	1	V2	E	I	I	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
12	12	33	33	0.75	0	0	3/4	2	1	I(1311)	E	I	I	I(1311)		I			1311				M	0	0	0, 4, 1	3, -1	0	0
12	12	135/4	135/4	2.25	3/16	3/16	3/4	2	1	I	E	I	I	I		I							M	0	0	0, 4, 1		0	0
13	13	36	36	3.0	0	0	3/4	2	1	V2	E	I	I	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
14	14	39	39	0.75	0	0	3/4	2	1	I(1311)	E	I	I	I(1311)		I			1311				M	0	0	0, 4, 1	3, -1	0	0
14	14	159/4	159/4	2.25	3/16	3/16	3/4	2	1	I]	E	I	I	I		I							M	0	0	0, 4, 1		0	0
15	15	42	42	0.75	0	0	3/4	2	1	V(6)/V	E	I		V(6)/V		V			6	V			M	0	0	2, 6, 5		2	2
15	15	171/4	171/4	2.25	3/16	3/16	3/4	2	1	V7/V	E	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
16	16	45	45	3.0	0	0	3/4	2	1	V|HC}	E	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
17	17	48	48	1.0	0	0	3/4	2	1	V64{	E	I		V64		V		64				{	M	0	0	2, 1, 5		1	2
17	17	49	49	1.0	1/4	1/4	3/4	2	1	V6(4)	E	I		V6(4)		V		6	4				M	0	0	0, 2, 1		1	0
17	17	50	50	1.0	1/2	1/2	3/4	2	1	V6	E	I		V6		V		6					M	0	0	5, 2, 1		1	5
18	18	51	51	3.0	0	0	3/4	2	1	V	E	I		V		V							M	0	0	1, 5, 2		1	1
19	19	54	54	1.0	0	0	3/4	2	1	V64	E	I		V64		V		64					M	0	0	2, 1, 5		1	2
19	19	55	55	1.0	1/4	1/4	3/4	2	1	V6(4)	E	I		V6(4)		V		6	4				M	0	0	0, 2, 1		1	0
19	19	56	56	1.0	1/2	1/2	3/4	2	1	V6	E	I		V6		V		6					M	0	0	5, 2, 1		1	5
20	20	57	57	3.0	0	0	3/4	2	1	V}	E	I		V		V						}	M	0	0	1, 5, 2		1	1
