mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1		Bb.I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	3/4	2	1		I(#2)	Bb	I		I(#2)	I			#2					M	0	0	0, 9, 1		0	0
2	2	0	0	3/4	2	1		I64	Bb	I		I64	I		64						M	0	0	1, 0, 4		0	1
2	2	1/4	1/4	3/4	2	1		V[V7/V	Bb	I	V	V7/V	V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
3	3	0	0	3/4	2	1		V	Bb	I		V	V								M	0	0	1, 5, 2		1	1
3	3	1/4	1/4	3/4	2	1		V7	Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
4	4	0	0	3/4	2	1		I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
4	4	1/4	1/4	3/4	2	1		I[V7\\	Bb	I	I	V7	V		7					\\	Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	0	3/4	2	1		I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	3/4	2	1		#viio43/ii	Bb	I		#viio43/ii	#vii	o	43		ii				o7	0	0	1, -2, 7, 4		7	1
6	6	0	0	3/4	2	1		ii6	Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
6	6	1/2	1/2	3/4	2	1		ii%65	Bb	I		ii%65	ii	%	65						%7	0	0	-1, -4, 0, 2		2	-1
7	7	0	0	3/4	2	1		V7	Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	3/4	2	1		I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
8	8	1/4	1/4	3/4	2	1		I[V7	Bb	I	I	V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
9	9	0	0	3/4	2	1		I	Bb	I		I	I								M	0	0	0, 4, 1		0	0
