mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	1/2	3/4	2	1	c#.i6{	c#	i		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
2	1	1	3.0	0	0	3/4	2	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
3	2	4	3.0	0	0	3/4	2	1	V43	c#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	3	7	3.0	0	0	3/4	2	1	V65	c#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
5	4	10	3.0	0	0	3/4	2	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
6	5	13	3.0	0	0	3/4	2	1	i6	c#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	6	16	3.0	0	0	3/4	2	1	V7/V	c#	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
8	7	19	3.0	0	0	3/4	2	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	22	2.0	0	0	3/4	2	1	i}	c#	i		i		i						}	m	1	1	0, -3, 1		0	0
9	8	24	1.0	1/2	1/2	3/4	2	1	Ger7	c#	i		Ger7	Ger	vii	o	7	b3	V			Ger	1	1	6, -4, 0, -3		6	6
10	9	25	3.0	0	0	3/4	2	1	i{	c#	i		i		i						{	m	1	1	0, -3, 1		0	0
11	10	28	3.0	0	0	3/4	2	1	V43	c#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
12	11	31	3.0	0	0	3/4	2	1	V65	c#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
13	12	34	2.0	0	0	3/4	2	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
13	12	36	1.0	1/2	1/2	3/4	2	1	V43/V/III	c#	i		V43/V/III		V		43		V/III			Mm7	1	1	0, -3, -1, 3		-1	0
14	13	37	3.0	0	0	3/4	2	1	V/III[V(64)/III	c#	i	V/III	V(64)/III		V			64	III			M	1	1	-2, -3, 1		-2	-2
15	14	40	3.0	0	0	3/4	2	1	V7/V/III	c#	i	V/III	V7/V/III		V		7		V/III			Mm7	1	1	-1, 3, 0, -3		-1	-1
16	15	43	3.0	0	0	3/4	2	1	V7/III]	c#	i	V/III	V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
17	16	46	3.0	0	0	3/4	2	1	I/III}	c#	i		I/III		I				III		}	M	1	1	-3, 1, -2		-3	-3
18	17	49	3.0	0	0	3/4	2	1	V65{	c#	i		V65		V		65				{	Mm7	1	1	5, 2, -1, 1		1	5
19	18	52	3.0	0	0	3/4	2	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
20	19	55	3.0	0	0	3/4	2	1	.Ger43	c#	i		Ger43	Ger	vii	o	43	b3	V			Ger	1	1	0, -3, 6, -4		6	0
21	20	58	3.0	0	0	3/4	2	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
22	21	61	3.0	0	0	3/4	2	1	V6	c#	i		V6		V		6					M	1	1	5, 2, 1		1	5
23	22	64	2.0	0	0	3/4	2	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
