mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	1	1	.Ab.I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
2	1	0	0	3/4	1	1	V7	Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
3	2	0	0	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
3	2	1/4	1/4	3/4	1	1	I(6)	Ab	I		I(6)		I			6			M	0	0	0, 4, 3		0	0
3	2	1/2	1/2	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
4	3	0	0	3/4	1	1	V7	Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	4	0	0	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
5	4	1/2	1/2	3/4	1	1	I+	Ab	I		I+		I	+					+	0	0	0, 4, 8		0	0
6	5	0	0	3/4	1	1	IV	Ab	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
7	6	0	0	3/4	1	1	V(64)	Ab	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
8	7	0	0	3/4	1	1	V7	Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	0	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
9	8	1/2	1/2	3/4	1	1	I+	Ab	I		I+		I	+					+	0	0	0, 4, 8		0	0
10	9	0	0	3/4	1	1	IV	Ab	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
11	10	0	0	3/4	1	1	V(64)	Ab	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
12	11	0	0	3/4	1	1	V7	Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
12	11	5/8	5/8	3/4	1	1	V7(9)	Ab	I		V7(9)		V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
13	12	0	0	3/4	1	1	I\\	Ab	I		I		I					\\	M	0	0	0, 4, 1		0	0
14	12	0	0	3/4	1	1	I\\	Ab	I		I		I					\\	M	0	0	0, 4, 1		0	0
15	13	0	0	3/4	1	1	#viio7/iii	Ab	I		#viio7/iii		#vii	o	7		iii		o7	0	0	9, 6, 3, 0		9	9
15	13	1/4	1/4	3/4	1	1	iii	Ab	I		iii		iii						m	0	0	4, 1, 5		4	4
15	13	1/2	1/2	3/4	1	1	#viio7/ii	Ab	I		#viio7/ii		#vii	o	7		ii		o7	0	0	7, 4, 1, -2		7	7
16	14	0	0	3/4	1	1	ii	Ab	I		ii		ii						m	0	0	2, -1, 3		2	2
16	14	1/4	1/4	3/4	1	1	viio7	Ab	I		viio7		vii	o	7				o7	0	0	5, 2, -1, -4		5	5
16	14	1/2	1/2	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
17	15	0	0	3/4	1	1	#viio7/iii	Ab	I		#viio7/iii		#vii	o	7		iii		o7	0	0	9, 6, 3, 0		9	9
17	15	1/4	1/4	3/4	1	1	iii	Ab	I		iii		iii						m	0	0	4, 1, 5		4	4
17	15	1/2	1/2	3/4	1	1	#viio7/ii	Ab	I		#viio7/ii		#vii	o	7		ii		o7	0	0	7, 4, 1, -2		7	7
18	16	0	0	3/4	1	1	ii	Ab	I		ii		ii						m	0	0	2, -1, 3		2	2
18	16	1/4	1/4	3/4	1	1	viio7	Ab	I		viio7		vii	o	7				o7	0	0	5, 2, -1, -4		5	5
18	16	1/2	1/2	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
19	17	0	0	3/4	1	1	viio7	Ab	I		viio7		vii	o	7				o7	0	0	5, 2, -1, -4		5	5
19	17	1/4	1/4	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
19	17	1/2	1/2	3/4	1	1	viio65/V	Ab	I		viio65/V		vii	o	65		V		o7	0	0	3, 0, -3, 6		6	3
20	18	0	0	3/4	1	1	iio/vi	Ab	I		iio/vi		ii	o			vi		o	0	0	5, 2, -1		5	5
20	18	1/4	1/4	3/4	1	1	V65/vi	Ab	I		V65/vi		V		65		vi		Mm7	0	0	8, 5, 2, 4		4	8
20	18	1/2	1/2	3/4	1	1	vi	Ab	I		vi		vi						m	0	0	3, 0, 4		3	3
21	19	0	0	3/4	1	1	V65/vi	Ab	I		V65/vi		V		65		vi		Mm7	0	0	8, 5, 2, 4		4	8
21	19	1/4	1/4	3/4	1	1	vi	Ab	I		vi		vi						m	0	0	3, 0, 4		3	3
21	19	1/2	1/2	3/4	1	1	.Fr6/vi	Ab	I		Fr6/vi	Fr	V		7	b5	V/vi		Fr	0	0	5, 9, -1, 3		5	5
22	20	0	0	3/4	1	1	V/vi\\	Ab	I		V/vi		V				vi	\\	M	0	0	4, 8, 5		4	4
27	25	0	0	3/4	1	1	V7	Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
28	26	0	0	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
28	26	1/4	1/4	3/4	1	1	I(6)	Ab	I		I(6)		I			6			M	0	0	0, 4, 3		0	0
28	26	1/2	1/2	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
29	27	0	0	3/4	1	1	V7	Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
30	28	0	0	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
30	28	1/2	1/2	3/4	1	1	I+	Ab	I		I+		I	+					+	0	0	0, 4, 8		0	0
31	29	0	0	3/4	1	1	IV	Ab	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
32	30	0	0	3/4	1	1	V(64)	Ab	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
33	31	0	0	3/4	1	1	V7	Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
34	32	0	0	3/4	1	1	I	Ab	I		I		I						M	0	0	0, 4, 1		0	0
34	32	1/2	1/2	3/4	1	1	I+	Ab	I		I+		I	+					+	0	0	0, 4, 8		0	0
35	33	0	0	3/4	1	1	IV	Ab	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
36	34	0	0	3/4	1	1	V(64)	Ab	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
37	35	0	0	3/4	1	1	V7	Ab	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
37	35	5/8	5/8	3/4	1	1	V7(9)	Ab	I		V7(9)		V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
38	36	0	0	3/4	1	1	I\\	Ab	I		I		I					\\	M	0	0	0, 4, 1		0	0
39	36	0	0	3/4	1	1	I[I	Ab	I	I	I		I						M	0	0	0, 4, 1		0	0
40	37	0	0	3/4	1	1	V7	Ab	I	I	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
40	37	5/8	5/8	3/4	1	1	V7(9)	Ab	I	I	V7(9)		V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
41	38	0	0	3/4	1	1	I]	Ab	I	I	I		I						M	0	0	0, 4, 1		0	0
46	43	0	0	3/4	1	1	I\\	Ab	I		I		I					\\	M	0	0	0, 4, 1		0	0
