mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	3/4	2	1	e.V7/iv{	e	i		V7/iv	V		7		iv		{	Mm7	1	1	0, 4, 1, -2		0	0
1	1	2	0.75	1/2	1/2	3/4	2	1	V7(6)/iv	e	i		V7(6)/iv	V		7	6	iv			Mm7	1	1	0, 4, -4, -2		0	0
1	1	11/4	0.25	11/16	11/16	3/4	2	1	V7/iv	e	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
2	2	3	1.0	0	0	3/4	2	1	iv(9)	e	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
2	2	4	2.0	1/4	1/4	3/4	2	1	iv	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	6	2.0	0	0	3/4	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	8	0.75	1/2	1/2	3/4	2	1	V7(6)	e	i		V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
3	3	35/4	0.25	11/16	11/16	3/4	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	9	1.0	0	0	3/4	2	1	i(964)	e	i		i(964)	i			964				m	1	1	0, -1, -4	2	0	0
4	4	10	2.0	1/4	1/4	3/4	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
5	5	12	2.0	0	0	3/4	2	1	V7/iv	e	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
5	5	14	0.75	1/2	1/2	3/4	2	1	V7(6)/iv	e	i		V7(6)/iv	V		7	6	iv			Mm7	1	1	0, 4, -4, -2		0	0
5	5	59/4	0.25	11/16	11/16	3/4	2	1	V7/iv	e	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
6	6	15	1.0	0	0	3/4	2	1	iv(9#74)	e	i		iv(9#74)	iv			9#74				m	1	1	-1, -2, 0	1, 4	-1	-1
6	6	16	2.0	1/4	1/4	3/4	2	1	iv	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	7	18	1.0	0	0	3/4	2	1	VI	e	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
7	7	19	1.0	1/4	1/4	3/4	2	1	bII	e	i		bII	bII							M	1	1	-5, -1, -4		-5	-5
7	7	20	5.0	1/2	1/2	3/4	2	1	i}	e	i		i	i						}	m	1	1	0, -3, 1		0	0
8	8	23	0.0	1/2	1/2	3/4	2	1	{	e	i									{		1	1				
9	9	25	1.0	1/4	1/4	3/4	2	1	V7/iv	e	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
9	9	26	0.75	1/2	1/2	3/4	2	1	V7(6)/iv	e	i		V7(6)/iv	V		7	6	iv			Mm7	1	1	0, 4, -4, -2		0	0
9	9	107/4	0.25	11/16	11/16	3/4	2	1	V7/iv	e	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
10	10	27	1.0	0	0	3/4	2	1	iv(9)	e	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
10	10	28	2.0	1/4	1/4	3/4	2	1	iv	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
11	11	30	2.0	0	0	3/4	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	11	32	0.75	1/2	1/2	3/4	2	1	V7(6)	e	i		V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
11	11	131/4	0.25	11/16	11/16	3/4	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	33	1.0	0	0	3/4	2	1	i(964)	e	i		i(964)	i			964				m	1	1	0, -1, -4	2	0	0
12	12	34	3.0	1/4	1/4	3/4	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
13	13	37	1.0	1/4	1/4	3/4	2	1	V7/iv	e	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
13	13	38	0.75	1/2	1/2	3/4	2	1	V7(6)/iv	e	i		V7(6)/iv	V		7	6	iv			Mm7	1	1	0, 4, -4, -2		0	0
13	13	155/4	0.25	11/16	11/16	3/4	2	1	V7/iv	e	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
14	14	39	1.0	0	0	3/4	2	1	iv(9#74)	e	i		iv(9#74)	iv			9#74				m	1	1	-1, -2, 0	1, 4	-1	-1
14	14	40	2.0	1/4	1/4	3/4	2	1	iv	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
15	15	42	1.0	0	0	3/4	2	1	VI	e	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
15	15	43	1.0	1/4	1/4	3/4	2	1	bII	e	i		bII	bII							M	1	1	-5, -1, -4		-5	-5
15	15	44	4.0	1/2	1/2	3/4	2	1	i}	e	i		i	i						}	m	1	1	0, -3, 1		0	0
17	17	48	2.0	0	0	3/4	2	1	V.I[I{	e	V	I	I	I						{	M	1	0	0, 4, 1		0	0
17	17	50	1.0	1/2	1/2	3/4	2	1	V7	e	V	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
18	18	51	4.0	0	0	3/4	2	1	I	e	V	I	I	I							M	1	0	0, 4, 1		0	0
19	19	55	1.0	1/4	1/4	3/4	2	1	V7(139)	e	V	I	V7(139)	V		7	139				Mm7	1	0	1, 5, 2, -1	4, 3	1	1
19	19	56	2.0	1/2	1/2	3/4	2	1	V7(13)	e	V	I	V7(13)	V		7	13				Mm7	1	0	1, 5, 2, -1	4	1	1
20	20	58	1.0	1/4	1/4	3/4	2	1	V7(139)	e	V	I	V7(139)	V		7	139				Mm7	1	0	1, 5, 2, -1	4, 3	1	1
20	20	59	1.0	1/2	1/2	3/4	2	1	V7(13)	e	V	I	V7(13)	V		7	13				Mm7	1	0	1, 5, 2, -1	4	1	1
21	21	60	1.5	0	0	3/4	2	1	I	e	V	I	I	I							M	1	0	0, 4, 1		0	0
21	21	123/2	1.5	3/8	3/8	3/4	2	1	V7	e	V	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
22	22	63	4.0	0	0	3/4	2	1	I]	e	V	I	I	I							M	1	0	0, 4, 1		0	0
23	23	67	1.0	1/4	1/4	3/4	2	1	iii(94)	e	V		iii(94)	iii			94				m	1	0	4, 3, 5	-1	4	4
23	23	68	2.0	1/2	1/2	3/4	2	1	iii	e	V		iii	iii							m	1	0	4, 1, 5		4	4
24	24	70	1.0	1/4	1/4	3/4	2	1	iii(94)	e	V		iii(94)	iii			94				m	1	0	4, 3, 5	-1	4	4
24	24	71	1.0	1/2	1/2	3/4	2	1	iii}	e	V		iii	iii						}	m	1	0	4, 1, 5		4	4
25	25	72	2.0	0	0	3/4	2	1	I[I{	e	V	I	I	I						{	M	1	0	0, 4, 1		0	0
25	25	74	1.0	1/2	1/2	3/4	2	1	V7	e	V	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
26	26	75	4.0	0	0	3/4	2	1	I	e	V	I	I	I							M	1	0	0, 4, 1		0	0
27	27	79	1.0	1/4	1/4	3/4	2	1	V7(139)	e	V	I	V7(139)	V		7	139				Mm7	1	0	1, 5, 2, -1	4, 3	1	1
27	27	80	2.0	1/2	1/2	3/4	2	1	V7(13)	e	V	I	V7(13)	V		7	13				Mm7	1	0	1, 5, 2, -1	4	1	1
28	28	82	1.0	1/4	1/4	3/4	2	1	V7(139)	e	V	I	V7(139)	V		7	139				Mm7	1	0	1, 5, 2, -1	4, 3	1	1
28	28	83	1.0	1/2	1/2	3/4	2	1	V7(13)	e	V	I	V7(13)	V		7	13				Mm7	1	0	1, 5, 2, -1	4	1	1
29	29	84	1.5	0	0	3/4	2	1	I	e	V	I	I	I							M	1	0	0, 4, 1		0	0
29	29	171/2	1.5	3/8	3/8	3/4	2	1	V7	e	V	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
30	30	87	4.0	0	0	3/4	2	1	I]	e	V	I	I	I							M	1	0	0, 4, 1		0	0
31	31	91	1.0	1/4	1/4	3/4	2	1	iii(94)	e	V		iii(94)	iii			94				m	1	0	4, 3, 5	-1	4	4
31	31	92	2.0	1/2	1/2	3/4	2	1	iii	e	V		iii	iii							m	1	0	4, 1, 5		4	4
32	32	94	1.0	1/4	1/4	3/4	2	1	iii(94)	e	V		iii(94)	iii			94				m	1	0	4, 3, 5	-1	4	4
32	32	95	1.0	1/2	1/2	3/4	2	1	iii}	e	V		iii	iii						}	m	1	0	4, 1, 5		4	4
33	33	96	1.0	0	0	3/4	2	1	V7/ii{	e	V		V7/ii	V		7		ii		{	Mm7	1	0	3, 7, 4, 1		3	3
33	33	97	1.5	1/4	1/4	3/4	2	1	V7(6)/ii	e	V		V7(6)/ii	V		7	6	ii			Mm7	1	0	3, 7, -1, 1		3	3
33	33	197/2	0.5	5/8	5/8	3/4	2	1	V7/ii	e	V		V7/ii	V		7		ii			Mm7	1	0	3, 7, 4, 1		3	3
34	34	99	1.0	0	0	3/4	2	1	ii(64)	e	V		ii(64)	ii			64				m	1	0	2, 1, 5		2	2
34	34	100	1.0	1/4	1/4	3/4	2	1	ii	e	V		ii	ii							m	1	0	2, -1, 3		2	2
34	34	101	1.0	1/2	1/2	3/4	2	1	ii%7	e	V		ii%7	ii	%	7					%7	1	0	2, -1, -4, 0		2	2
35	35	102	3.0	0	0	3/4	2	1	V7	e	V		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
36	36	105	2.0	0	0	3/4	2	1	I	e	V		I	I							M	1	0	0, 4, 1		0	0
36	36	107	1.0	1/2	1/2	3/4	2	1	iii64	e	V		iii64	iii		64					m	1	0	5, 4, 1		4	5
37	37	108	1.0	0	0	3/4	2	1	iv/iii	e	V		iv/iii	iv				iii			m	1	0	3, 0, 4		3	3
37	37	109	1.0	1/4	1/4	3/4	2	1	ii%65(11)/iii	e	V		ii%65(11)/iii	ii	%	65	11	iii			%7	1	0	3, 0, 4, 6	5	6	3
37	37	110	1.0	1/2	1/2	3/4	2	1	ii%7/iii	e	V		ii%7/iii	ii	%	7		iii			%7	1	0	6, 3, 0, 4		6	6
38	38	111	2.0	0	0	3/4	2	1	V7/iii	e	V		V7/iii	V		7		iii			Mm7	1	0	5, 9, 6, 3		5	5
38	38	113	1.0	1/2	1/2	3/4	2	1	V43/iii	e	V		V43/iii	V		43		iii			Mm7	1	0	6, 3, 5, 9		5	6
39	39	114	1.0	0	0	3/4	2	1	#viio7/vi	e	V		#viio7/vi	#vii	o	7		vi			o7	1	0	8, 5, 2, -1		8	8
39	39	115	1.0	1/4	1/4	3/4	2	1	#viio7(4)/vi	e	V		#viio7(4)/vi	#vii	o	7	4	vi			o7	1	0	8, 0, 2, -1		8	8
39	39	116	1.0	1/2	1/2	3/4	2	1	V7/vi	e	V		V7/vi	V		7		vi			Mm7	1	0	4, 8, 5, 2		4	4
40	40	117	1.0	0	0	3/4	2	1	vi(94)}	e	V		vi(94)	vi			94			}	m	1	0	3, 2, 4	5	3	3
40	40	118	1.0	1/4	1/4	3/4	2	1	vi	e	V		vi	vi							m	1	0	3, 0, 4		3	3
40	40	119	1.0	1/2	1/2	3/4	2	1	V65{	e	V		V65	V		65				{	Mm7	1	0	5, 2, -1, 1		1	5
41	41	120	1.0	0	0	3/4	2	1	I[I(9)	e	V	I	I(9)	I			9				M	1	0	0, 4, 1	2	0	0
41	41	121	1.0	1/4	1/4	3/4	2	1	I	e	V	I	I	I							M	1	0	0, 4, 1		0	0
41	41	122	1.0	1/2	1/2	3/4	2	1	V7	e	V	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
42	42	123	4.0	0	0	3/4	2	1	I	e	V	I	I	I							M	1	0	0, 4, 1		0	0
43	43	127	1.0	1/4	1/4	3/4	2	1	V7(139)	e	V	I	V7(139)	V		7	139				Mm7	1	0	1, 5, 2, -1	4, 3	1	1
43	43	128	2.0	1/2	1/2	3/4	2	1	V7(13)	e	V	I	V7(13)	V		7	13				Mm7	1	0	1, 5, 2, -1	4	1	1
44	44	130	1.0	1/4	1/4	3/4	2	1	V7(139)	e	V	I	V7(139)	V		7	139				Mm7	1	0	1, 5, 2, -1	4, 3	1	1
44	44	131	1.0	1/2	1/2	3/4	2	1	V7(13)	e	V	I	V7(13)	V		7	13				Mm7	1	0	1, 5, 2, -1	4	1	1
45	45	132	1.5	0	0	3/4	2	1	I	e	V	I	I	I							M	1	0	0, 4, 1		0	0
45	45	267/2	1.5	3/8	3/8	3/4	2	1	V7	e	V	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
46	46	135	4.0	0	0	3/4	2	1	I]	e	V	I	I	I							M	1	0	0, 4, 1		0	0
47	47	139	1.0	1/4	1/4	3/4	2	1	iii(94)	e	V		iii(94)	iii			94				m	1	0	4, 3, 5	-1	4	4
47	47	140	2.0	1/2	1/2	3/4	2	1	iii	e	V		iii	iii							m	1	0	4, 1, 5		4	4
48	48	142	1.0	1/4	1/4	3/4	2	1	iii(94)	e	V		iii(94)	iii			94				m	1	0	4, 3, 5	-1	4	4
48	48	143	1.0	1/2	1/2	3/4	2	1	iii}	e	V		iii	iii						}	m	1	0	4, 1, 5		4	4
49	49	144	2.0	0	0	3/4	2	1	I[I{	e	V	I	I	I						{	M	1	0	0, 4, 1		0	0
49	49	146	1.0	1/2	1/2	3/4	2	1	V7	e	V	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
50	50	147	4.0	0	0	3/4	2	1	I	e	V	I	I	I							M	1	0	0, 4, 1		0	0
51	51	151	1.0	1/4	1/4	3/4	2	1	V7(139)	e	V	I	V7(139)	V		7	139				Mm7	1	0	1, 5, 2, -1	4, 3	1	1
51	51	152	2.0	1/2	1/2	3/4	2	1	V7(13)	e	V	I	V7(13)	V		7	13				Mm7	1	0	1, 5, 2, -1	4	1	1
52	52	154	1.0	1/4	1/4	3/4	2	1	V7(139)	e	V	I	V7(139)	V		7	139				Mm7	1	0	1, 5, 2, -1	4, 3	1	1
52	52	155	1.0	1/2	1/2	3/4	2	1	V7(13)	e	V	I	V7(13)	V		7	13				Mm7	1	0	1, 5, 2, -1	4	1	1
53	53	156	1.5	0	0	3/4	2	1	I	e	V	I	I	I							M	1	0	0, 4, 1		0	0
53	53	315/2	1.5	3/8	3/8	3/4	2	1	V7	e	V	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
54	54	159	4.0	0	0	3/4	2	1	I]	e	V	I	I	I							M	1	0	0, 4, 1		0	0
55	55	163	1.0	1/4	1/4	3/4	2	1	iii(94)	e	V		iii(94)	iii			94				m	1	0	4, 3, 5	-1	4	4
55	55	164	2.0	1/2	1/2	3/4	2	1	iii	e	V		iii	iii							m	1	0	4, 1, 5		4	4
56	56	166	1.0	1/4	1/4	3/4	2	1	iii(94)	e	V		iii(94)	iii			94				m	1	0	4, 3, 5	-1	4	4
56	56	167	1.0	1/2	1/2	3/4	2	1	iii}	e	V		iii	iii						}	m	1	0	4, 1, 5		4	4
57	57	168	2.0	0	0	3/4	2	1	i.V2/iv{	e	i		V2/iv	V		2		iv		{	Mm7	1	1	-2, 0, 4, 1		0	-2
57	57	170	0.75	1/2	1/2	3/4	2	1	V2(6)/iv	e	i		V2(6)/iv	V		2	6	iv			Mm7	1	1	-2, 0, 4, -4		0	-2
57	57	683/4	0.25	11/16	11/16	3/4	2	1	V2/iv	e	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
58	58	171	1.0	0	0	3/4	2	1	iv6(2)	e	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
58	58	172	2.0	1/4	1/4	3/4	2	1	iv6	e	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
59	59	174	2.0	0	0	3/4	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
59	59	176	0.75	1/2	1/2	3/4	2	1	V7(6)	e	i		V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
59	59	707/4	0.25	11/16	11/16	3/4	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
60	60	177	0.5	0	0	3/4	2	1	i(94)	e	i		i(94)	i			94				m	1	1	0, -1, 1	2	0	0
60	60	355/2	2.5	1/8	1/8	3/4	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
61	61	180	2.0	0	0	3/4	2	1	V7/iv	e	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
61	61	182	0.75	1/2	1/2	3/4	2	1	V7(6)/iv	e	i		V7(6)/iv	V		7	6	iv			Mm7	1	1	0, 4, -4, -2		0	0
61	61	731/4	0.25	11/16	11/16	3/4	2	1	V7/iv	e	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
62	62	183	1.0	0	0	3/4	2	1	iv(9#74)	e	i		iv(9#74)	iv			9#74				m	1	1	-1, -2, 0	1, 4	-1	-1
62	62	184	2.0	1/4	1/4	3/4	2	1	iv	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
63	63	186	1.0	0	0	3/4	2	1	VI	e	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
63	63	187	1.0	1/4	1/4	3/4	2	1	bII	e	i		bII	bII							M	1	1	-5, -1, -4		-5	-5
63	63	188	3.0	1/2	1/2	3/4	2	1	i}	e	i		i	i						}	m	1	1	0, -3, 1		0	0
64	64	191	0.75	1/2	1/2	3/4	2	1	iv{	e	i		iv	iv						{	m	1	1	-1, -4, 0		-1	-1
64	64	767/4	0.25	11/16	11/16	3/4	2	1	iv7	e	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
65	65	192	2.0	0	0	3/4	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
