mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	2	1		f#.i	f#	i		i		i							m	1	1	0, -3, 1		0	0
3	2	0	0	3/4	2	1		i(6)	f#	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
3	2	1/4	1/4	3/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
4	3	1/4	1/4	3/4	2	1		iv64	f#	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
5	4	0	0	3/4	2	1		i(4)	f#	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
5	4	1/4	1/4	3/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
6	5	0	0	3/4	2	1		V7(6)	f#	i		V7(6)		V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
6	5	1/4	1/4	3/4	2	1		V7	f#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	6	0	0	3/4	2	1		i(9)	f#	i		i(9)		i			9				m	1	1	0, -3, 1	2	0	0
7	6	1/4	1/4	3/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
7	6	1/2	1/2	3/4	2	1		ii%65/v	f#	i		ii%65/v		ii	%	65		v			%7	1	1	0, -3, 1, 3		3	0
8	7	0	0	3/4	2	1		v64(7)	f#	i		v64(7)		v		64	7				m	1	1	2, -1, -2		1	2
8	7	1/4	1/4	3/4	2	1		v64	f#	i		v64		v		64					m	1	1	2, 1, -2		1	2
8	7	1/2	1/2	3/4	2	1		V7/v	f#	i		V7/v		V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
9	8	0	0	3/4	2	1		V7	f#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	1/2	1/2	3/4	2	1		V7(6)	f#	i		V7(6)		V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
9	8	5/8	5/8	3/4	2	1		V7	f#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	9	0	0	3/4	2	1		i	f#	i		i		i							m	1	1	0, -3, 1		0	0
