mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	12.0	0	0	3/4	2	1		Bb.V{	Bb	I		V	V						{	M	0	0	1, 5, 2		1	1
5	5	12	12	11.0	0	0	3/4	2	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
8	8	23	23	1.0	1/2	1/2	3/4	2	1		I(13)	Bb	I		I(13)	I			13				M	0	0	0, 4, 1	3	0	0
9	9	24	24	2.0	0	0	3/4	2	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	26	26	1.0	1/2	1/2	3/4	2	1		V7(6)	Bb	I		V7(6)	V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
10	10	27	27	2.0	0	0	3/4	2	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
10	10	29	29	1.0	1/2	1/2	3/4	2	1		I(13)	Bb	I		I(13)	I			13				M	0	0	0, 4, 1	3	0	0
11	11	30	30	2.0	0	0	3/4	2	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	32	32	1.0	1/2	1/2	3/4	2	1		V7(6)	Bb	I		V7(6)	V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
12	12		33		0	0	3/4	2	1	1	I|PAC}	Bb	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
14	12	33	36	3.0	0	0	3/4	2	1	2	I|PAC}	Bb	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
15	13	36	39	1.0	0	0	3/4	2	1		V.I{	Bb	V		I	I						{	M	0	0	0, 4, 1		0	0
15	13	37	40	1.0	1/4	1/4	3/4	2	1		I(7)	Bb	V		I(7)	I			7				M	0	0	0, 4, 1	5	0	0
15	13	38	41	3.0	1/2	1/2	3/4	2	1		I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
16	14	41	44	1.0	1/2	1/2	3/4	2	1		I(13)	Bb	V		I(13)	I			13				M	0	0	0, 4, 1	3	0	0
17	15	42	45	1.0	0	0	3/4	2	1		V2/V	Bb	V		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
17	15	43	46	1.0	1/4	1/4	3/4	2	1		V2(9)/V	Bb	V		V2(9)/V	V		2	9	V			Mm7	0	0	0, 2, 6, 3	4	2	0
17	15	44	47	1.0	1/2	1/2	3/4	2	1		V2/V	Bb	V		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
18	16	45	48	2.0	0	0	3/4	2	1		I(974)	Bb	V		I(974)	I			974				M	0	0	0, -1, 1	2, 5	0	0
18	16	47	50	1.0	1/2	1/2	3/4	2	1		I}	Bb	V		I	I						}	M	0	0	0, 4, 1		0	0
19	17	48	51	11.0	0	0	3/4	2	1		I.I{	Bb	I		I	I						{	M	0	0	0, 4, 1		0	0
22	20	59	62	1.0	1/2	1/2	3/4	2	1		I(13)	Bb	I		I(13)	I			13				M	0	0	0, 4, 1	3	0	0
23	21	60	63	2.0	0	0	3/4	2	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	21	62	65	1.0	1/2	1/2	3/4	2	1		V7(6)	Bb	I		V7(6)	V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
24	22	63	66	2.0	0	0	3/4	2	1		I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
24	22	65	68	1.0	1/2	1/2	3/4	2	1		I(13)	Bb	I		I(13)	I			13				M	0	0	0, 4, 1	3	0	0
25	23	66	69	2.0	0	0	3/4	2	1		V7	Bb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	23	68	71	1.0	1/2	1/2	3/4	2	1		V7(6)	Bb	I		V7(6)	V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
26	24		72		0	0	3/4	2	1	1	I|PAC}	Bb	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
27	24	69	75	2.0	0	0	3/4	2	1	2	I|PAC}	Bb	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
28	24	71	77	4.0	0	1/2	3/4	2	1		IV.I[I{	Bb	IV	I	I	I						{	M	0	0	0, 4, 1		0	0
30	26	75	81	1.0	0	0	3/4	2	1		IV	Bb	IV	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
30	26	76	82	2.0	1/4	1/4	3/4	2	1		V7	Bb	IV	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	27	78	84	3.0	0	0	3/4	2	1		I	Bb	IV	I	I	I							M	0	0	0, 4, 1		0	0
32	28	81	87	1.0	0	0	3/4	2	1		IV	Bb	IV	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
32	28	82	88	1.0	1/4	1/4	3/4	2	1		V7	Bb	IV	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	28	83	89	1.0	1/2	1/2	3/4	2	1		I	Bb	IV	I	I	I							M	0	0	0, 4, 1		0	0
33	29	84	90	3.0	0	0	3/4	2	1		I	Bb	IV	I	I	I							M	0	0	0, 4, 1		0	0
34	30	87	93	1.0	0	0	3/4	2	1		vii%7	Bb	IV	I	vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
34	30	88	94	1.0	1/4	1/4	3/4	2	1		V7	Bb	IV	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	30	89	95	4.0	1/2	1/2	3/4	2	1		I	Bb	IV	I	I	I							M	0	0	0, 4, 1		0	0
36	32	93	99	1.0	0	0	3/4	2	1		IV	Bb	IV	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
