mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/2	.c.V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
2	1	1/4	V2	c	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
2	1	3/8	i6	c	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
2	1	1/2	V64	c	i		V64	V			64				M	1	1	2, 1, 5		1.0	2.0
2	1	5/8	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
3	2	0	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
3	2	1/8	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
3	2	1/4	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
3	2	1/2	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
4	3	0	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
4	3	1/8	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
4	3	1/4	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
4	3	1/2	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
5	4	0	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
6	5	0	V/v	c	i		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
6	5	3/8	v6	c	i		v6	v			6				m	1	1	-2, 2, 1		1.0	-2.0
6	5	1/2	V64/v	c	i		V64/v	V			64		v		M	1	1	3, 2, 6		2.0	3.0
6	5	5/8	v	c	i		v	v							m	1	1	1, -2, 2		1.0	1.0
7	6	0	V43/v	c	i		V43/v	V			43		v		Mm7	1	1	3, 0, 2, 6		2.0	3.0
7	6	1/8	V/v	c	i		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
7	6	1/4	V43/v	c	i		V43/v	V			43		v		Mm7	1	1	3, 0, 2, 6		2.0	3.0
7	6	1/2	v	c	i		v	v							m	1	1	1, -2, 2		1.0	1.0
8	7	0	V43/v	c	i		V43/v	V			43		v		Mm7	1	1	3, 0, 2, 6		2.0	3.0
8	7	1/8	V/v	c	i		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
8	7	1/4	V43/v	c	i		V43/v	V			43		v		Mm7	1	1	3, 0, 2, 6		2.0	3.0
8	7	1/2	v	c	i		v	v							m	1	1	1, -2, 2		1.0	1.0
9	8	0	V[VI6	c	i	V	VI6	VI			6				M	1	1	0, -3, -4		-4.0	0.0
9	8	1/2	viio43/V	c	i	V	viio43/V	vii		o	43		V		o7	1	1	0, -3, 6, 3		6.0	0.0
10	9	0	V]\\	c	i	V	V	V						\\	M	1	1	1, 5, 2		1.0	1.0
10	9	1/4	V2	c	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
10	9	3/8	i6	c	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
10	9	1/2	V64	c	i		V64	V			64				M	1	1	2, 1, 5		1.0	2.0
10	9	5/8	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
11	10	0	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
11	10	1/8	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
11	10	1/4	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
11	10	1/2	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
12	11	0	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
12	11	1/8	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
12	11	1/4	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
12	11	1/2	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
14	13	0	.v.i	c	v		i	i							m	1	1	0, -3, 1		0.0	0.0
14	13	1/8	#ivo	c	v		#ivo	#iv		o					o	1	1	6, 3, 0		6.0	6.0
14	13	1/4	V2	c	v		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
14	13	3/8	i6	c	v		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
14	13	1/2	V64	c	v		V64	V			64				M	1	1	2, 1, 5		1.0	2.0
14	13	5/8	i	c	v		i	i							m	1	1	0, -3, 1		0.0	0.0
15	14	0	v64	c	v		v64	v			64				m	1	1	2, 1, -2		1.0	2.0
15	14	1/8	V/v	c	v		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
15	14	1/4	v	c	v		v	v							m	1	1	1, -2, 2		1.0	1.0
16	15	1/8	V/v	c	v		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
16	15	1/4	v	c	v		v	v							m	1	1	1, -2, 2		1.0	1.0
17	16	1/8	V/v	c	v		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
17	16	1/4	v	c	v		v	v							m	1	1	1, -2, 2		1.0	1.0
18	17	1/4	i64	c	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
18	17	1/2	v	c	v		v	v							m	1	1	1, -2, 2		1.0	1.0
20	19	1/4	i64	c	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
20	19	1/2	v	c	v		v	v							m	1	1	1, -2, 2		1.0	1.0
24	23	0	I	c	v		I	I							M	1	1	0, 4, 1		0.0	0.0
25	24	0	V/iv\\	c	v		V/iv	V					iv	\\	M	1	1	0, 4, 1		0.0	0.0
26	25	0	.i.V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
26	25	1/4	V2	c	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
26	25	3/8	i6	c	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
26	25	1/2	V64	c	i		V64	V			64				M	1	1	2, 1, 5		1.0	2.0
26	25	5/8	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
27	26	0	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
27	26	1/8	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
27	26	1/4	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
27	26	1/2	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
28	27	0	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
28	27	1/8	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
28	27	1/4	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
28	27	1/2	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
29	28	0	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
30	29	0	V/v	c	i		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
30	29	3/8	v6	c	i		v6	v			6				m	1	1	-2, 2, 1		1.0	-2.0
30	29	1/2	V64/v	c	i		V64/v	V			64		v		M	1	1	3, 2, 6		2.0	3.0
30	29	5/8	v	c	i		v	v							m	1	1	1, -2, 2		1.0	1.0
31	30	0	V43/v	c	i		V43/v	V			43		v		Mm7	1	1	3, 0, 2, 6		2.0	3.0
31	30	1/8	V/v	c	i		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
31	30	1/4	V43/v	c	i		V43/v	V			43		v		Mm7	1	1	3, 0, 2, 6		2.0	3.0
31	30	1/2	v	c	i		v	v							m	1	1	1, -2, 2		1.0	1.0
32	31	0	V43/v	c	i		V43/v	V			43		v		Mm7	1	1	3, 0, 2, 6		2.0	3.0
32	31	1/8	V/v	c	i		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
32	31	1/4	V43/v	c	i		V43/v	V			43		v		Mm7	1	1	3, 0, 2, 6		2.0	3.0
32	31	1/2	v	c	i		v	v							m	1	1	1, -2, 2		1.0	1.0
33	32	0	V[VI	c	i	V	VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
33	32	1/2	#ivo7	c	i	V	#ivo7	#iv		o	7				o7	1	1	6, 3, 0, -3		6.0	6.0
34	33	0	V]\\	c	i	V	V	V						\\	M	1	1	1, 5, 2		1.0	1.0
34	33	1/4	V2	c	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
34	33	3/8	i6	c	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
34	33	1/2	V64	c	i		V64	V			64				M	1	1	2, 1, 5		1.0	2.0
34	33	5/8	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
35	34	0	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
35	34	1/8	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
35	34	1/4	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
35	34	1/2	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
36	35	0	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
36	35	1/8	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0
36	35	1/4	V43	c	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
36	35	1/2	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0
38	37	0	.v.i	c	v		i	i							m	1	1	0, -3, 1		0.0	0.0
38	37	1/8	#ivo	c	v		#ivo	#iv		o					o	1	1	6, 3, 0		6.0	6.0
38	37	1/4	V2	c	v		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
38	37	3/8	i6	c	v		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
38	37	1/2	V64	c	v		V64	V			64				M	1	1	2, 1, 5		1.0	2.0
38	37	5/8	i	c	v		i	i							m	1	1	0, -3, 1		0.0	0.0
39	38	0	v64	c	v		v64	v			64				m	1	1	2, 1, -2		1.0	2.0
39	38	1/8	V/v	c	v		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
39	38	1/4	v	c	v		v	v							m	1	1	1, -2, 2		1.0	1.0
40	39	1/8	V/v	c	v		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
40	39	1/4	v	c	v		v	v							m	1	1	1, -2, 2		1.0	1.0
41	40	1/8	V/v	c	v		V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
41	40	1/4	v	c	v		v	v							m	1	1	1, -2, 2		1.0	1.0
42	41	1/4	i64	c	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
42	41	1/2	v	c	v		v	v							m	1	1	1, -2, 2		1.0	1.0
44	43	1/4	i64	c	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
44	43	1/2	v	c	v		v	v							m	1	1	1, -2, 2		1.0	1.0
49	48	0	V/VI\\	c	v		V/VI	V					VI	\\	M	1	1	-3, 1, -2		-3.0	-3.0
50	49	0	.i.V7/III	c	i		V7/III	V			7		III		Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0
50	49	1/2	III	c	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
51	50	0	V7/VI	c	i		V7/VI	V			7		VI		Mm7	1	1	-3, 1, -2, -5		-3.0	-3.0
