mc	mn	onset	label
1	1	0	.F.I
2	2	0	V[V
2	2	1/8	viio/V
2	2	1/4	V]
3	3	0	vi
4	4	0	iii[iii
4	4	1/8	#viio/iii
4	4	1/4	iii]
5	5	0	IV
6	6	0	I
6	6	1/2	IV
7	7	0	I
7	7	1/2	V/V
8	8	0	V\\
9	9	0	I
10	10	0	V[V
10	10	1/8	viio/V
10	10	1/4	V]
11	11	0	vi
12	12	0	iii[iii
12	12	1/8	#viio/iii
12	12	1/4	iii]
13	13	0	IV
14	14	0	I
14	14	1/2	IV
15	15	0	I
15	15	1/2	ii6
16	16	0	V9
16	16	1/8	V
16	16	1/4	I\\
17	17	0	.vi.V
17	17	1/2	i64
18	18	0	V6
18	18	1/2	V64
19	19	0	V
19	19	1/2	i64
20	20	0	V6
20	20	1/8	IV6
20	20	1/4	V/V
21	21	0	V
21	21	1/2	i64
22	22	0	V6
22	22	1/2	V64
23	23	0	V
23	23	1/2	i64
24	24	0	V6
24	24	1/8	V
24	24	1/4	V\\
25	25	0	.I.V7
25	25	1/4	I
26	26	0	V[V
26	26	1/8	viio/V
26	26	1/4	V]
27	27	0	vi
28	28	0	iii[iii
28	28	1/8	#viio/iii
28	28	1/4	iii]
29	29	0	IV
30	30	0	I
30	30	1/2	IV
31	31	0	I
31	31	1/2	ii6
32	32	0	V9
32	32	1/8	V
32	32	1/4	I\\
33	33	0	.IV.I[I
40	40	1/4	V
41	41	0	I]
44	44	1/4	I.V7\\
45	45	0	I
46	46	0	V[V
46	46	1/8	viio/V
46	46	1/4	V]
47	47	0	vi
48	48	0	iii[iii
48	48	1/8	#viio/iii
48	48	1/4	iii]
49	49	0	IV
50	50	0	I
50	50	1/2	IV
51	51	0	I
51	51	1/2	V/V
52	52	0	V\\
53	53	0	I
54	54	0	V[V
54	54	1/8	viio/V
54	54	1/4	V]
55	55	0	vi
56	56	0	iii[iii
56	56	1/8	#viio/iii
56	56	1/4	iii]
57	57	0	IV
58	58	0	I
58	58	1/2	IV
59	59	0	I
59	59	1/2	ii6
60	60	0	V9
60	60	1/8	V
60	60	1/4	I\\
