mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.c#.V{	c#	i		V		V						{	M	1	1	1, 5, 2		1	1
1	1	1/4	1/4	3/4	1	1	V(#9)	c#	i		V(#9)		V			#9				M	1	1	1, 5, 2	3	1	1
1	1	1/2	1/2	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
2	2	1/4	1/4	3/4	1	1	V(4)	c#	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
3	3	0	0	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
3	3	1/4	1/4	3/4	1	1	V(#9)	c#	i		V(#9)		V			#9				M	1	1	1, 5, 2	3	1	1
3	3	1/2	1/2	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
5	5	1/4	1/4	3/4	1	1	V(#9)	c#	i		V(#9)		V			#9				M	1	1	1, 5, 2	3	1	1
5	5	1/2	1/2	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
6	6	1/4	1/4	3/4	1	1	V(4)	c#	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
6	6	3/8	3/8	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
6	6	1/2	1/2	3/4	1	1	V(4)	c#	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
7	7	0	0	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
7	7	1/4	1/4	3/4	1	1	V(#9)	c#	i		V(#9)		V			#9				M	1	1	1, 5, 2	3	1	1
7	7	1/2	1/2	3/4	1	1	V}	c#	i		V		V						}	M	1	1	1, 5, 2		1	1
9	8	0	1/2	3/4	1	1	{	c#	i										{		1	1				
10	9	0	0	3/4	1	1	V65	c#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
11	10	0	0	3/4	1	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
12	11	0	0	3/4	1	1	V65	c#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
13	12	0	0	3/4	1	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
14	13	0	0	3/4	1	1	V65/V	c#	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
15	14	0	0	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	14	1/2	1/2	3/4	1	1	#viio65	c#	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
16	15	0	0	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
17	16	0	0	3/4	1	1	i}	c#	i		i		i						}	m	1	1	0, -3, 1		0	0
18	16	0	1/2	3/4	1	1	V.viio/V{	c#	V		viio/V		vii	o			V		{	o	1	0	6, 3, 0		6	6
19	17	0	0	3/4	1	1	I	c#	V		I		I							M	1	0	0, 4, 1		0	0
21	19	0	0	3/4	1	1	.Fr6	c#	V		Fr6	Fr	V		7	b5	V			Fr	1	0	2, 6, -4, 0		2	2
21	19	1/4	1/4	3/4	1	1	V7	c#	V		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
21	19	1/2	1/2	3/4	1	1	I	c#	V		I		I							M	1	0	0, 4, 1		0	0
22	20	0	0	3/4	1	1	.Fr6	c#	V		Fr6	Fr	V		7	b5	V			Fr	1	0	2, 6, -4, 0		2	2
22	20	1/4	1/4	3/4	1	1	V7	c#	V		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
22	20	1/2	1/2	3/4	1	1	I	c#	V		I		I							M	1	0	0, 4, 1		0	0
25	23	0	0	3/4	1	1	.Fr6	c#	V		Fr6	Fr	V		7	b5	V			Fr	1	0	2, 6, -4, 0		2	2
25	23	1/4	1/4	3/4	1	1	V7	c#	V		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
25	23	1/2	1/2	3/4	1	1	I}	c#	V		I		I						}	M	1	0	0, 4, 1		0	0
25	23	5/8	5/8	3/4	1	1	{	c#	V										{		1	0				
27	25	0	0	3/4	1	1	i.V65	c#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
28	26	0	0	3/4	1	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
29	27	0	0	3/4	1	1	V65	c#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
30	28	0	0	3/4	1	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
31	29	0	0	3/4	1	1	V65/V	c#	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
32	30	0	0	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
34	32	0	0	3/4	1	1	i}	c#	i		i		i						}	m	1	1	0, -3, 1		0	0
35	32	0	1/2	3/4	1	1	{	c#	i										{		1	1				
36	33	0	0	3/4	1	1	IV/III	c#	i		IV/III		IV				III			M	1	1	-4, 0, -3		-4	-4
37	34	0	0	3/4	1	1	III	c#	i		III		III							M	1	1	-3, 1, -2		-3	-3
38	35	0	0	3/4	1	1	IV/III	c#	i		IV/III		IV				III			M	1	1	-4, 0, -3		-4	-4
39	36	0	0	3/4	1	1	III	c#	i		III		III							M	1	1	-3, 1, -2		-3	-3
40	37	0	0	3/4	1	1	IV/III	c#	i		IV/III		IV				III			M	1	1	-4, 0, -3		-4	-4
40	37	1/4	1/4	3/4	1	1	III	c#	i		III		III							M	1	1	-3, 1, -2		-3	-3
41	38	0	0	3/4	1	1	IV/III	c#	i		IV/III		IV				III			M	1	1	-4, 0, -3		-4	-4
41	38	1/4	1/4	3/4	1	1	III	c#	i		III		III							M	1	1	-3, 1, -2		-3	-3
42	39	0	0	3/4	1	1	IV/III	c#	i		IV/III		IV				III			M	1	1	-4, 0, -3		-4	-4
42	39	1/4	1/4	3/4	1	1	III	c#	i		III		III							M	1	1	-3, 1, -2		-3	-3
43	40	0	0	3/4	1	1	IV/III	c#	i		IV/III		IV				III			M	1	1	-4, 0, -3		-4	-4
43	40	1/4	1/4	3/4	1	1	i}	c#	i		i		i						}	m	1	1	0, -3, 1		0	0
43	40	1/2	1/2	3/4	1	1	{	c#	i										{		1	1				
44	41	0	0	3/4	1	1	IV/V{	c#	i		IV/V		IV				V		{	M	1	1	0, 4, 1		0	0
45	42	0	0	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
46	43	0	0	3/4	1	1	IV/V	c#	i		IV/V		IV				V			M	1	1	0, 4, 1		0	0
47	44	0	0	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
48	45	0	0	3/4	1	1	IV/V	c#	i		IV/V		IV				V			M	1	1	0, 4, 1		0	0
48	45	1/4	1/4	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
49	46	0	0	3/4	1	1	IV/V	c#	i		IV/V		IV				V			M	1	1	0, 4, 1		0	0
49	46	1/4	1/4	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
50	47	0	0	3/4	1	1	IV/V	c#	i		IV/V		IV				V			M	1	1	0, 4, 1		0	0
50	47	1/4	1/4	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
51	48	0	0	3/4	1	1	IV/V	c#	i		IV/V		IV				V			M	1	1	0, 4, 1		0	0
51	48	1/4	1/4	3/4	1	1	V}	c#	i		V		V						}	M	1	1	1, 5, 2		1	1
52	49	0	0	3/4	1	1	{	c#	i										{		1	1				
52	49	1/4	1/4	3/4	1	1	V(#9)	c#	i		V(#9)		V			#9				M	1	1	1, 5, 2	3	1	1
52	49	1/2	1/2	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
53	50	1/4	1/4	3/4	1	1	V(4)	c#	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
54	51	0	0	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
54	51	1/4	1/4	3/4	1	1	V(#9)	c#	i		V(#9)		V			#9				M	1	1	1, 5, 2	3	1	1
54	51	1/2	1/2	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
56	53	1/4	1/4	3/4	1	1	V(#9)	c#	i		V(#9)		V			#9				M	1	1	1, 5, 2	3	1	1
56	53	1/2	1/2	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
57	54	1/4	1/4	3/4	1	1	V(4)	c#	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
57	54	3/8	3/8	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
57	54	1/2	1/2	3/4	1	1	V(4)	c#	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
58	55	0	0	3/4	1	1	V	c#	i		V		V							M	1	1	1, 5, 2		1	1
58	55	1/4	1/4	3/4	1	1	V(#9)	c#	i		V(#9)		V			#9				M	1	1	1, 5, 2	3	1	1
58	55	1/2	1/2	3/4	1	1	V}	c#	i		V		V						}	M	1	1	1, 5, 2		1	1
59	56	1/2	1/2	3/4	1	1	{	c#	i										{		1	1				
60	57	0	0	3/4	1	1	V65	c#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
61	58	0	0	3/4	1	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
62	59	0	0	3/4	1	1	V65	c#	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
63	60	0	0	3/4	1	1	i	c#	i		i		i							m	1	1	0, -3, 1		0	0
64	61	0	0	3/4	1	1	V65/V	c#	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
65	62	0	0	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
65	62	1/2	1/2	3/4	1	1	#viio65	c#	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
66	63	0	0	3/4	1	1	V7	c#	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
67	64	0	0	3/4	1	1	i}	c#	i		i		i						}	m	1	1	0, -3, 1		0	0
67	64	1/2	1/2	3/4	1	1	{	c#	i										{		1	1				
