mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	3/4	2	1	f.V7(9){		f	i		V7(9)	V		7	9			{	Mm7	1	1	1, 5, 2, -1	-4	1	1
2	2	3	3.0	0	0	3/4	2	1	V(64)		f	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
3	3	6	3.0	0	0	3/4	2	1	V7		f	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	9	2.0	0	0	3/4	2	1	i		f	i		i	i							m	1	1	0, -3, 1		0	0
4	4	11	1.0	1/2	1/2	3/4	2	1	IV6/III		f	i		IV6/III	IV		6		III			M	1	1	0, -3, -4		-4	0
5	5	12	3.0	0	0	3/4	2	1	V65(9)/III		f	i		V65(9)/III	V		65	9	III			Mm7	1	1	2, -1, -4, -2	0	-2	2
6	6	15	3.0	0	0	3/4	2	1	III		f	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	7	18	3.0	0	0	3/4	2	1	bII6		f	i		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
8	8	21	1.0	0	0	3/4	2	1	V}		f	i		V	V						}	M	1	1	1, 5, 2		1	1
8	8	22	2.0	1/4	1/4	3/4	2	1	V|HC		f	i		V	V					HC		M	1	1	1, 5, 2		1	1
9	9	24	3.0	0	0	3/4	2	1	V7(9){		f	i		V7(9)	V		7	9			{	Mm7	1	1	1, 5, 2, -1	-4	1	1
10	10	27	3.0	0	0	3/4	2	1	V(64)		f	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
11	11	30	3.0	0	0	3/4	2	1	V7		f	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	33	3.0	0	0	3/4	2	1	V7/iv		f	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
13	13	36	1.0	0	0	3/4	2	1	ii%65(6)		f	i		ii%65(6)	ii	%	65	6				%7	1	1	-1, -2, 0, 2		2	-1
13	13	37	2.0	1/4	1/4	3/4	2	1	ii%65		f	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
14	14	39	1.0	0	0	3/4	2	1	V(964)		f	i		V(964)	V			964				M	1	1	1, 0, -3	-4	1	1
14	14	40	2.0	1/4	1/4	3/4	2	1	V(64)		f	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
15	15	42	2.0	0	0	3/4	2	1	V		f	i		V	V							M	1	1	1, 5, 2		1	1
15	15	44	1.0	1/2	1/2	3/4	2	1	V7		f	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
16	16	45	1.0	0	0	3/4	2	1	i}		f	i		i	i						}	m	1	1	0, -3, 1		0	0
16	16	46	1.0	1/4	1/4	3/4	2	1	i|PAC		f	i		i	i					PAC		m	1	1	0, -3, 1		0	0
16	16	47	1.0	1/2	1/2	3/4	2	1	III.IV6		f	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
17	17	48	2.0	0	0	3/4	2	1	V65{		f	III		V65	V		65				{	Mm7	1	0	5, 2, -1, 1		1	5
17	17	50	1.0	1/2	1/2	3/4	2	1	V7(9)		f	III		V7(9)	V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
18	18	51	3.0	0	0	3/4	2	1	I[I		f	III	I	I	I							M	1	0	0, 4, 1		0	0
19	19	54	2.0	0	0	3/4	2	1	V7(^2)		f	III	I	V7(^2)	V		7	^2				Mm7	1	0	1, 3, 2, -1		1	1
19	19	56	1.0	1/2	1/2	3/4	2	1	V7(13)		f	III	I	V7(13)	V		7	13				Mm7	1	0	1, 5, 2, -1	4	1	1
20	20	57	3.0	0	0	3/4	2	1	I]		f	III	I	I	I							M	1	0	0, 4, 1		0	0
21	21	60	2.0	0	0	3/4	2	1	V7		f	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
21	21	62	1.0	1/2	1/2	3/4	2	1	V7(9)		f	III		V7(9)	V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
22	22	63	2.0	0	0	3/4	2	1	I		f	III		I	I							M	1	0	0, 4, 1		0	0
22	22	65	1.0	1/2	1/2	3/4	2	1	vi	iv/iii	f	III		vi	vi							m	1	0	3, 0, 4		3	3
23	23	66	1.5	0	0	3/4	2	1	V(4)/iii}		f	III		V(4)/iii	V			4	iii		}	M	1	0	5, 4, 6		5	5
23	23	135/2	4.5	3/8	3/8	3/4	2	1	V/iii|HC		f	III		V/iii	V				iii	HC		M	1	0	5, 9, 6		5	5
25	25	72	2.0	0	0	3/4	2	1	V65{		f	III		V65	V		65				{	Mm7	1	0	5, 2, -1, 1		1	5
25	25	74	1.0	1/2	1/2	3/4	2	1	V7(9)		f	III		V7(9)	V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
