mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	1/2	3/4	2	1		a.i{	a	i		i		i						{	m	1	1	0, -3, 1		0	0
2	1	1	3.0	0	0	3/4	2	1		iv64	a	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
3	2	4	2.0	0	0	3/4	2	1		i(6)	a	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
3	2	6	1.0	1/2	1/2	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
4	3	7	3.0	0	0	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	4	10	2.0	0	0	3/4	2	1		i(4)	a	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
5	4	12	4.0	1/2	1/2	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
7	6	16	5.0	0	0	3/4	2	1		V(64)/v	a	i		V(64)/v		V			64	v			M	1	1	2, 1, -2		2	2
8	7	21	1.0	1/2	1/2	3/4	2	1		V/v	a	i		V/v		V				v			M	1	1	2, 6, 3		2	2
9	8	22	3.0	0	0	3/4	2	1		i/v|PAC}	a	i		i/v		i				v	PAC	}	m	1	1	1, -2, 2		1	1
9	8	24	0.0	1/2	1/2	3/4	2	1		{	a	i										{		1	1				
10	9	25	3.0	0	0	3/4	2	1		iv64	a	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
11	10	28	2.0	0	0	3/4	2	1		i(6)	a	i		i(6)		i			6				m	1	1	0, -3, -4		0	0
11	10	30	1.0	1/2	1/2	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
12	11	31	3.0	0	0	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	12	34	2.0	0	0	3/4	2	1		VI(6)	a	i		VI(6)		VI			6				M	1	1	-4, 0, -1		-4	-4
13	12	36	1.0	1/2	1/2	3/4	2	1		VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
14	13	37	3.0	0	0	3/4	2	1		V7/bII	a	i		V7/bII		V		7		bII			Mm7	1	1	-4, 0, -3, -6		-4	-4
