mc	mn	onset	label
130	130	1/2	#viio7/iii
131	131	0	V[V
133	133	1/4	V(64)
133	133	1/2	V
135	135	0	iv/V
135	135	1/4	V6
135	135	1/2	iv/V
136	136	0	V6
136	136	1/4	iv/V
136	136	1/2	V6]
137	137	0	iv/bV
137	137	1/4	.bV6
137	137	1/2	iv/bV
138	138	0	.bV6
138	138	1/4	iv/bV
138	138	1/2	.bV6
139	139	0	iv/IV
139	139	1/4	IV6
139	139	1/2	iv/III
140	140	0	III6
140	140	1/4	iv/bIII
140	140	1/2	.bIII6
141	141	0	iv/II
141	141	1/4	II6
141	141	1/2	iv/#I
142	142	0	#I6
142	142	1/4	iv/#I
142	142	1/2	#i
143	143	0	.I.ii6
143	143	1/8	ii
143	143	1/4	ii64
143	143	1/2	V65
144	144	0	I
145	145	0	ii6/bVII
145	145	1/8	ii/bVII
145	145	1/4	ii64/bVII
145	145	1/2	V65/bVII
146	146	0	.bVII
147	147	0	ii6/bVI
147	147	1/8	ii/bVI
147	147	1/4	ii64/bVI
147	147	1/2	V65/bVI
148	148	0	.bVI[bVI
149	149	0	ii/bVI
149	149	1/4	ii7/bVI
149	149	1/2	V7/bVI
150	150	0	.bVI
151	151	0	ii/bVI
151	151	1/2	V9/bVI
151	151	5/8	V7/bVI
152	152	0	.bVI
153	153	0	ii/bVI
153	153	1/4	ii7/bVI
153	153	1/2	V7/bVI]
154	154	0	.Ger6
154	154	1/2	V[V(64)
155	155	0	V9
155	155	1/2	V7
156	156	0	I64
156	156	1/4	iii6
156	156	1/2	I64
157	157	0	V9
157	157	1/8	V7
157	157	1/4	V7(94)
157	157	1/2	V7]
158	158	0	I\\
158	158	1/4	I6
158	158	1/2	IV
159	159	0	I6
159	159	1/8	I
159	159	1/4	vi
159	159	1/2	ii
160	160	0	vi6
160	160	1/8	vi
160	160	1/4	IV
160	160	1/2	I
161	161	0	V65
161	161	1/8	V(6)
161	161	1/4	V65
161	161	5/8	I
162	162	0	I\\
162	162	1/4	IV
162	162	1/2	viio64
162	162	5/8	IV
163	163	0	V7
163	163	1/4	V65
163	163	1/2	V7
164	164	0	V7
164	164	1/4	V9
164	164	1/2	V7
165	165	0	V2/IV
165	165	1/4	I[V7/IV
167	167	0	#ivo7]
168	168	0	V7
168	168	1/2	I[V7
169	169	0	V7/V]
169	169	1/2	ii65
170	170	0	V43/IV
170	170	1/4	V7/IV
171	171	0	V43/V
171	171	1/4	V(b9)/V
171	171	1/2	V7/V
172	172	0	V7
173	173	0	I
173	173	1/2	IV
174	174	0	V7
175	175	0	I
175	175	1/2	IV
176	176	0	V7
176	176	1/2	V9
176	176	5/8	V7
177	177	0	I\\
177	177	1/8	I64
177	177	1/4	I6
177	177	1/2	#viio7/iii
178	178	0	I6
178	178	1/8	I
178	178	1/4	I6
178	178	1/2	#viio7/iii
179	179	0	I6
179	179	1/8	I
179	179	1/4	I6
179	179	1/2	V7/V
180	180	0	V
180	180	1/8	V7/V
180	180	1/4	V
180	180	1/2	V7/V
181	181	0	V
181	181	1/8	V7
181	181	1/4	I
181	181	1/2	V7/vi
182	182	0	vi
182	182	1/8	V7/vi
