mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	D.V{		D	I		V	V						{	M	0	0	3, 7, 4		3.0	3.0	0	1	0.0	0.0	0.25	0.0
2	1	0	0	3/4	2	1	I		D	I		I	I							M	0	0	2, 6, 3		2.0	2.0	3	13	0.1875	0.375	2.875	0.11538461538461539
3	2	0	0	3/4	2	1	V7(6)		D	I		V7(6)	V		7	6				Mm7	0	0	3, 7, 6, 1		3.0	3.0	0	4	0.0	0.0	0.5	0.0
3	2	1/4	1/4	3/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	2	10	0.16666666666666666	0.25	2.25	0.1
4	3	0	0	3/4	2	1	I		D	I		I	I							M	0	0	2, 6, 3		2.0	2.0	3	13	0.1875	0.3333333333333333	2.6666666666666665	0.1111111111111111
5	4	0	0	3/4	2	1	V|HC		D	I		V	V					HC		M	0	0	3, 7, 4		3.0	3.0	0	5	0.0	0.0	1.5	0.0
5	4	1/2	1/2	3/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	4	0.0	0.0	1.0	0.0
6	5	0	0	3/4	2	1	I		D	I		I	I							M	0	0	2, 6, 3		2.0	2.0	3	11	0.21428571428571427	0.375	2.375	0.13636363636363635
7	6	0	0	3/4	2	1	ii6(2)		D	I		ii6(2)	ii		6	2				m	0	0	1, 5, 6		4.0	1.0	0	4	0.0	0.0	0.5	0.0
7	6	1/4	1/4	3/4	2	1	ii6		D	I		ii6	ii		6					m	0	0	1, 5, 4		4.0	1.0	2	9	0.18181818181818182	0.25	2.0	0.1111111111111111
8	7	0	0	3/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	2	12	0.14285714285714285	0.20833333333333334	2.2916666666666665	0.08333333333333334
9	8	0	0	3/4	2	1	I|PAC}		D	I		I	I					PAC	}	M	0	0	2, 6, 3		2.0	2.0	3	25	0.10714285714285714	0.375	6.375	0.05555555555555555
11	10	0	0	3/4	2	1	V7(6)		D	I		V7(6)	V		7	6				Mm7	0	0	3, 7, 6, 1		3.0	3.0	0	4	0.0	0.0	0.5	0.0
11	10	1/4	1/4	3/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	2	10	0.16666666666666666	0.25	2.25	0.1
12	11	0	0	3/4	2	1	I		D	I		I	I							M	0	0	2, 6, 3		2.0	2.0	3	13	0.1875	0.3333333333333333	2.6666666666666665	0.1111111111111111
13	12	0	0	3/4	2	1	V|HC		D	I		V	V					HC		M	0	0	3, 7, 4		3.0	3.0	0	6	0.0	0.0	1.75	0.0
13	12	1/2	1/2	3/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	4	0.0	0.0	1.0	0.0
14	13	0	0	3/4	2	1	I		D	I		I	I							M	0	0	2, 6, 3		2.0	2.0	3	12	0.2	0.375	2.625	0.125
15	14	0	0	3/4	2	1	ii6(2)		D	I		ii6(2)	ii		6	2				m	0	0	1, 5, 6		4.0	1.0	0	4	0.0	0.0	0.5	0.0
15	14	1/4	1/4	3/4	2	1	ii6		D	I		ii6	ii		6					m	0	0	1, 5, 4		4.0	1.0	2	9	0.18181818181818182	0.25	2.0	0.1111111111111111
16	15	0	0	3/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3.0	3.0	2	12	0.14285714285714285	0.20833333333333334	2.2916666666666665	0.08333333333333334
17	16	0	0	3/4	2	1	I|PAC}		D	I		I	I					PAC	}	M	0	0	2, 6, 3		2.0	2.0	0	10	0.0	0.0	3.0	0.0
18	17	0	0	3/4	2	1	V.I{		D	V		I	I						{	M	0	0	3, 7, 4		3.0	3.0	3	12	0.2	0.375	2.625	0.125
19	18	0	0	3/4	2	1	V7(6)		D	V		V7(6)	V		7	6				Mm7	0	0	4, 8, 7, 2		4.0	4.0	0	4	0.0	0.0	0.5	0.0
19	18	1/4	1/4	3/4	2	1	V7		D	V		V7	V		7					Mm7	0	0	4, 8, 5, 2		4.0	4.0	2	8	0.2	0.25	1.75	0.125
20	19	0	0	3/4	2	1	I		D	V		I	I							M	0	0	3, 7, 4		3.0	3.0	3	13	0.1875	0.3333333333333333	2.6666666666666665	0.1111111111111111
21	20	0	0	3/4	2	1	V|HC		D	V		V	V					HC		M	0	0	4, 8, 5		4.0	4.0	0	5	0.0	0.0	1.5	0.0
21	20	1/2	1/2	3/4	2	1	V7		D	V		V7	V		7					Mm7	0	0	4, 8, 5, 2		4.0	4.0	0	4	0.0	0.0	1.0	0.0
22	21	0	0	3/4	2	1	I		D	V		I	I							M	0	0	3, 7, 4		3.0	3.0	3	11	0.21428571428571427	0.375	2.375	0.13636363636363635
23	22	0	0	3/4	2	1	ii6(2)		D	V		ii6(2)	ii		6	2				m	0	0	2, 6, 7		5.0	2.0	0	4	0.0	0.0	0.5	0.0
23	22	1/4	1/4	3/4	2	1	ii6		D	V		ii6	ii		6					m	0	0	2, 6, 5		5.0	2.0	2	9	0.18181818181818182	0.25	2.0	0.1111111111111111
24	23	0	0	3/4	2	1	V7		D	V		V7	V		7					Mm7	0	0	4, 8, 5, 2		4.0	4.0	2	12	0.14285714285714285	0.20833333333333334	2.2916666666666665	0.08333333333333334
25	24	0	0	3/4	2	1	I|PAC}		D	V		I	I					PAC	}	M	0	0	3, 7, 4		3.0	3.0	3	25	0.10714285714285714	0.375	6.375	0.05555555555555555
27	26	0	0	3/4	2	1	V7(6)		D	V		V7(6)	V		7	6				Mm7	0	0	4, 8, 7, 2		4.0	4.0	0	4	0.0	0.0	0.5	0.0
27	26	1/4	1/4	3/4	2	1	V7		D	V		V7	V		7					Mm7	0	0	4, 8, 5, 2		4.0	4.0	2	8	0.2	0.25	1.75	0.125
28	27	0	0	3/4	2	1	I		D	V		I	I							M	0	0	3, 7, 4		3.0	3.0	3	13	0.1875	0.3333333333333333	2.6666666666666665	0.1111111111111111
29	28	0	0	3/4	2	1	V|HC		D	V		V	V					HC		M	0	0	4, 8, 5		4.0	4.0	0	5	0.0	0.0	1.5	0.0
29	28	1/2	1/2	3/4	2	1	V7		D	V		V7	V		7					Mm7	0	0	4, 8, 5, 2		4.0	4.0	0	4	0.0	0.0	1.0	0.0
30	29	0	0	3/4	2	1	I		D	V		I	I							M	0	0	3, 7, 4		3.0	3.0	3	12	0.2	0.375	2.625	0.125
31	30	0	0	3/4	2	1	ii6(2)		D	V		ii6(2)	ii		6	2				m	0	0	2, 6, 7		5.0	2.0	0	4	0.0	0.0	0.5	0.0
31	30	1/4	1/4	3/4	2	1	ii6		D	V		ii6	ii		6					m	0	0	2, 6, 5		5.0	2.0	2	9	0.18181818181818182	0.25	2.0	0.1111111111111111
32	31	0	0	3/4	2	1	V7		D	V		V7	V		7					Mm7	0	0	4, 8, 5, 2		4.0	4.0	2	12	0.14285714285714285	0.20833333333333334	2.2916666666666665	0.08333333333333334
