mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	F.I{	F	I		I	I						{	M	0	0	-1, 3, 0		-1	-1	0	16	0.0	0.0	3.0	0.0
2	2	0	0	3/4	2	1	V[V	F	I	V	V	V							M	0	0	0, 4, 1		0	0	0	5	0.0	0.0	1.5	0.0
2	2	1/8	1/8	3/4	2	1	viio/V	F	I	V	viio/V	vii	o			V			o	0	0	5, 2, -1		5	5	0	3	0.0	0.0	0.1875	0.0
2	2	1/4	1/4	3/4	2	1	V]	F	I	V	V	V							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	1.5	0.0
3	3	0	0	3/4	2	1	vi	F	I		vi	vi							m	0	0	2, -1, 3		2	2	0	16	0.0	0.0	3.0	0.0
4	4	0	0	3/4	2	1	iii[iii	F	I	iii	iii	iii							m	0	0	3, 0, 4		3	3	0	4	0.0	0.0	1.3125	0.0
4	4	1/8	1/8	3/4	2	1	#viio(b3)/iii	F	I	iii	#viio(b3)/iii	#vii	o		b3	iii			o	0	0	8, -2, 2		8	8	0	3	0.0	0.0	0.1875	0.0
4	4	1/4	1/4	3/4	2	1	iii]	F	I	iii	iii	iii							m	0	0	3, 0, 4		3	3	0	3	0.0	0.0	1.5	0.0
5	5	0	0	3/4	2	1	IV	F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	16	0.0	0.0	3.0	0.0
6	6	0	0	3/4	2	1	I	F	I		I	I							M	0	0	-1, 3, 0		-1	-1	2	10	0.16666666666666666	0.125	1.875	0.0625
6	6	1/2	1/2	3/4	2	1	IV	F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
7	7	0	0	3/4	2	1	I	F	I		I	I							M	0	0	-1, 3, 0		-1	-1	2	8	0.2	0.125	1.875	0.0625
7	7	1/2	1/2	3/4	2	1	V/V	F	I		V/V	V				V			M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	1.0	0.0
8	8	0	0	3/4	2	1	V|HC	F	I		V	V					HC		M	0	0	0, 4, 1		0	0	2	6	0.25	0.125	2.3125	0.05128205128205128
9	9	0	0	3/4	2	1	I{	F	I		I	I						{	M	0	0	-1, 3, 0		-1	-1	0	16	0.0	0.0	3.0	0.0
10	10	0	0	3/4	2	1	V[V	F	I	V	V	V							M	0	0	0, 4, 1		0	0	0	5	0.0	0.0	1.5	0.0
10	10	1/8	1/8	3/4	2	1	viio/V	F	I	V	viio/V	vii	o			V			o	0	0	5, 2, -1		5	5	0	3	0.0	0.0	0.1875	0.0
10	10	1/4	1/4	3/4	2	1	V]	F	I	V	V	V							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	1.5	0.0
11	11	0	0	3/4	2	1	vi	F	I		vi	vi							m	0	0	2, -1, 3		2	2	0	16	0.0	0.0	3.0	0.0
