mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	c#.i6{					c#	i		i6		i		6				{	m	1	1	4, 8, 7		7.0	4.0	1	1	0.5	0.125	0.125	0.5
2	1	0	0	3/4	2	1	i					c#	i		i		i							m	1	1	7, 4, 8		7.0	7.0	1	9	0.1	0.125	2.375	0.05
3	2	0	0	3/4	2	1	V43					c#	i		V43		V		43					Mm7	1	1	9, 6, 8, 12		8.0	9.0	1	9	0.1	0.125	2.125	0.05555555555555555
4	3	0	0	3/4	2	1	V65					c#	i		V65		V		65					Mm7	1	1	12, 9, 6, 8		8.0	12.0	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
5	4	0	0	3/4	2	1	i					c#	i		i		i							m	1	1	7, 4, 8		7.0	7.0	1	9	0.1	0.125	2.125	0.05555555555555555
6	5	0	0	3/4	2	1	i6					c#	i		i6		i		6					m	1	1	4, 8, 7		7.0	4.0	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
7	6	0	0	3/4	2	1	V7/V					c#	i		V7/V		V		7		V			Mm7	1	1	9, 13, 10, 7		9.0	9.0	2	9	0.18181818181818182	0.25	2.25	0.1
8	7	0	0	3/4	2	1	V7					c#	i		V7		V		7					Mm7	1	1	8, 12, 9, 6		8.0	8.0	0	10	0.0	0.0	2.5	0.0
9	8	0	0	3/4	2	1	i}					c#	i		i		i						}	m	1	1	7, 4, 8		7.0	7.0	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
9	8	1/2	1/2	3/4	2	1	Ger7					c#	i		Ger7	Ger	vii	o	7	b3	V			Ger	1	1	13, 3, 7, 4		13.0	13.0	1	4	0.2	0.125	0.875	0.125
10	9	0	0	3/4	2	1	i{					c#	i		i		i						{	m	1	1	7, 4, 8		7.0	7.0	1	9	0.1	0.125	2.375	0.05
11	10	0	0	3/4	2	1	V43					c#	i		V43		V		43					Mm7	1	1	9, 6, 8, 12		8.0	9.0	1	9	0.1	0.125	2.125	0.05555555555555555
12	11	0	0	3/4	2	1	V65					c#	i		V65		V		65					Mm7	1	1	12, 9, 6, 8		8.0	12.0	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
13	12	0	0	3/4	2	1	i					c#	i		i		i							m	1	1	7, 4, 8		7.0	7.0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
13	12	1/2	1/2	3/4	2	1	V43/V/III	-2.59505	8.24219		/	c#	i		V43/V/III		V		43		V/III			Mm7	1	1	7, 4, 6, 10		6.0	7.0	0	3	0.0	0.0	0.75	0.0
14	13	0	0	3/4	2	1	V/III[V(64)/III					c#	i	V/III	V(64)/III		V			64	III			M	1	1	5, 4, 8		5.0	5.0	1	9	0.1	0.125	2.375	0.05
15	14	0	0	3/4	2	1	V7/V/III	0.772384	8.37296	-4.64923	/	c#	i	V/III	V7/V/III		V		7		V/III			Mm7	1	1	6, 10, 7, 4		6.0	6.0	3	8	0.2727272727272727	0.5	2.0	0.2
16	15	0	0	3/4	2	1	V7/III]					c#	i	V/III	V7/III		V		7		III			Mm7	1	1	5, 9, 6, 3		5.0	5.0	0	10	0.0	0.0	2.5	0.0
17	16	0	0	3/4	2	1	I/III}					c#	i		I/III		I				III		}	M	1	1	4, 8, 5		4.0	4.0	3	7	0.3	0.375	1.375	0.21428571428571427
18	17	0	0	3/4	2	1	V65{					c#	i		V65		V		65				{	Mm7	1	1	12, 9, 6, 8		8.0	12.0	0	9	0.0	0.0	1.75	0.0
19	18	0	0	3/4	2	1	i					c#	i		i		i							m	1	1	7, 4, 8		7.0	7.0	3	6	0.3333333333333333	0.375	1.375	0.21428571428571427
20	19	0	0	3/4	2	1	.Ger43					c#	i		Ger43	Ger	vii	o	43	b3	V			Ger	1	1	7, 4, 13, 3		13.0	7.0	0	11	0.0	0.0	2.4375	0.0
21	20	0	0	3/4	2	1	i					c#	i		i		i							m	1	1	7, 4, 8		7.0	7.0	1	9	0.1	0.125	1.625	0.07142857142857142
22	21	0	0	3/4	2	1	V6					c#	i		V6		V		6					M	1	1	12, 9, 8		8.0	12.0	1	7	0.125	0.125	1.375	0.08333333333333333
23	22	0	0	3/4	2	1	i					c#	i		i		i							m	1	1	7, 4, 8		7.0	7.0	2	4	0.3333333333333333	0.25	1.0	0.2
23	22	1/2	1/2	3/4	2	1	ii%65/v					c#	i		ii%65/v		ii	%	65		v			%7	1	1	7, 4, 8, 10		10.0	7.0	0	5	0.0	0.0	1.0	0.0
24	23	0	0	3/4	2	1	V(64)/v					c#	i		V(64)/v		V			64	v			M	1	1	9, 8, 5		9.0	9.0	2	5	0.2857142857142857	0.25	1.0	0.2
24	23	1/2	1/2	3/4	2	1	V7/v					c#	i		V7/v		V		7		v			Mm7	1	1	9, 13, 10, 7		9.0	9.0	1	4	0.2	0.125	0.875	0.125
25	24	0	0	3/4	2	1	v|PAC}					c#	i		v		v					PAC	}	m	1	1	8, 5, 9		8.0	8.0	2	7	0.2222222222222222	0.25	1.5	0.14285714285714285
26	25	0	0	3/4	2	1	V7{					c#	i		V7		V		7				{	Mm7	1	1	8, 12, 9, 6		8.0	8.0	0	9	0.0	0.0	1.75	0.0
27	26	0	0	3/4	2	1	i					c#	i		i		i							m	1	1	7, 4, 8		7.0	7.0	3	6	0.3333333333333333	0.375	1.375	0.21428571428571427
28	27	0	0	3/4	2	1	Ger43					c#	i		Ger43	Ger	vii	o	43	b3	V			Ger	1	1	7, 4, 13, 3		13.0	7.0	0	9	0.0	0.0	1.9375	0.0
29	28	0	0	3/4	2	1	i					c#	i		i		i							m	1	1	7, 4, 8		7.0	7.0	1	9	0.1	0.125	1.625	0.07142857142857142
30	29	0	0	3/4	2	1	V6					c#	i		V6		V		6					M	1	1	12, 9, 8		8.0	12.0	0	7	0.0	0.0	1.5	0.0
30	29	1/2	1/2	3/4	2	1	v6					c#	i		v6		v		6					m	1	1	5, 9, 8		8.0	5.0	1	2	0.3333333333333333	0.125	0.375	0.25
31	30	0	0	3/4	2	1	IV65					c#	i		IV65		IV		65					Mm7	1	1	10, 7, 4, 6		6.0	10.0	2	5	0.2857142857142857	0.25	1.0	0.2
31	30	1/2	1/2	3/4	2	1	It6					c#	i		It6	It	vii	o	6	b3	V			It	1	1	3, 7, 13		13.0	3.0	0	3	0.0	0.0	0.5	0.0
32	31	0	0	3/4	2	1	V(64)					c#	i		V(64)		V			64				M	1	1	8, 7, 4		8.0	8.0	2	5	0.2857142857142857	0.25	1.0	0.2
32	31	1/2	1/2	3/4	2	1	V7					c#	i		V7		V		7					Mm7	1	1	8, 12, 9, 6		8.0	8.0	1	4	0.2	0.125	0.875	0.125
33	32	0	0	3/4	2	1	i|PAC}					c#	i		i		i					PAC	}	m	1	1	7, 4, 8		7.0	7.0	2	7	0.2222222222222222	0.25	2.0	0.1111111111111111
34	33	0	0	3/4	2	1	I.V(4){					c#	I		V(4)		V			4			{	M	1	0	8, 7, 9		8.0	8.0	5	0	1.0	0.75	0.0	1.0
34	33	1/4	1/4	3/4	2	1	viio64					c#	I		viio64		vii	o	64					o	1	0	6, 12, 9		12.0	6.0	3	0	1.0	0.75	0.0	1.0
34	33	1/2	1/2	3/4	2	1	I6					c#	I		I6		I		6					M	1	0	11, 8, 7		7.0	11.0	4	0	1.0	1.0	0.0	1.0
35	34	0	0	3/4	2	1	V64					c#	I		V64		V		64					M	1	0	9, 8, 12		8.0	9.0	5	0	1.0	1.75	0.0	1.0
35	34	1/4	1/4	3/4	2	1	V7					c#	I		V7		V		7					Mm7	1	0	8, 12, 9, 6		8.0	8.0	2	0	1.0	0.5	0.0	1.0
35	34	1/2	1/2	3/4	2	1	I					c#	I		I		I							M	1	0	7, 11, 8		7.0	7.0	4	0	1.0	1.0	0.0	1.0
36	35	0	0	3/4	2	1	ii6(11)					c#	I		ii6(11)		ii		6	11				m	1	0	6, 10, 9	8	9.0	6.0	5	0	1.0	1.5	0.0	1.0
36	35	1/4	1/4	3/4	2	1	ii6					c#	I		ii6		ii		6					m	1	0	6, 10, 9		9.0	6.0	2	0	1.0	0.75	0.0	1.0
36	35	1/2	1/2	3/4	2	1	V7(6)					c#	I		V7(6)		V		7	6				Mm7	1	0	8, 12, 11, 6		8.0	8.0	3	0	1.0	0.75	0.0	1.0
37	36	0	0	3/4	2	1	ii64					c#	I		ii64		ii		64					m	1	0	10, 9, 6		9.0	10.0	4	0	1.0	1.0	0.0	1.0
37	36	1/4	1/4	3/4	2	1	V65					c#	I		V65		V		65					Mm7	1	0	12, 9, 6, 8		8.0	12.0	3	0	1.0	1.0	0.0	1.0
37	36	1/2	1/2	3/4	2	1	I|PAC}					c#	I		I		I					PAC	}	M	1	0	7, 11, 8		7.0	7.0	3	0	1.0	0.75	0.0	1.0
38	37	0	0	3/4	2	1	V(4){					c#	I		V(4)		V			4			{	M	1	0	8, 7, 9		8.0	8.0	7	0	1.0	1.5	0.0	1.0
38	37	1/4	1/4	3/4	2	1	V2					c#	I		V2		V		2					Mm7	1	0	6, 8, 12, 9		8.0	6.0	4	0	1.0	1.0	0.0	1.0
38	37	1/2	1/2	3/4	2	1	I6					c#	I		I6		I		6					M	1	0	11, 8, 7		7.0	11.0	4	0	1.0	1.0	0.0	1.0
39	38	0	0	3/4	2	1	V64					c#	I		V64		V		64					M	1	0	9, 8, 12		8.0	9.0	5	0	1.0	1.75	0.0	1.0
39	38	1/4	1/4	3/4	2	1	V7					c#	I		V7		V		7					Mm7	1	0	8, 12, 9, 6		8.0	8.0	2	0	1.0	0.5	0.0	1.0
39	38	1/2	1/2	3/4	2	1	I					c#	I		I		I							M	1	0	7, 11, 8		7.0	7.0	4	0	1.0	1.0	0.0	1.0
40	39	0	0	3/4	2	1	ii65(11)					c#	I		ii65(11)		ii		65	11				mm7	1	0	6, 10, 7, 9	8	9.0	6.0	5	0	1.0	1.5	0.0	1.0
40	39	1/4	1/4	3/4	2	1	ii6					c#	I		ii6		ii		6					m	1	0	6, 10, 9		9.0	6.0	2	0	1.0	0.5	0.0	1.0
40	39	1/2	1/2	3/4	2	1	V(6)					c#	I		V(6)		V			6				M	1	0	8, 12, 11		8.0	8.0	4	0	1.0	1.0	0.0	1.0
41	40	0	0	3/4	2	1	ii64					c#	I		ii64		ii		64					m	1	0	10, 9, 6		9.0	10.0	4	0	1.0	1.0	0.0	1.0
41	40	1/4	1/4	3/4	2	1	V65					c#	I		V65		V		65					Mm7	1	0	12, 9, 6, 8		8.0	12.0	3	0	1.0	1.0	0.0	1.0
41	40	1/2	1/2	3/4	2	1	I|PAC}					c#	I		I		I					PAC	}	M	1	0	7, 11, 8		7.0	7.0	3	0	1.0	0.75	0.0	1.0
42	41	0	0	3/4	2	1	V7(9)/IV{					c#	I		V7(9)/IV		V		7	9	IV		{	Mm7	1	0	7, 11, 8, 5	9	7.0	7.0	7	0	1.0	1.4375	0.0	1.0
42	41	1/2	1/2	3/4	2	1	I6/IV					c#	I		I6/IV		I		6		IV			M	1	0	10, 7, 6		6.0	10.0	4	0	1.0	1.0	0.0	1.0
43	42	0	0	3/4	2	1	I[V7(9)/IV					c#	I	I	V7(9)/IV		V		7	9	IV			Mm7	1	0	7, 11, 8, 5	9	7.0	7.0	7	0	1.0	2.0	0.0	1.0
43	42	1/2	1/2	3/4	2	1	V(64)/IV					c#	I	I	V(64)/IV		V			64	IV			M	1	0	7, 6, 10		7.0	7.0	4	0	1.0	1.0	0.0	1.0
44	43	0	0	3/4	2	1	V(4)/IV					c#	I	I	V(4)/IV		V			4	IV			M	1	0	7, 6, 8		7.0	7.0	4	0	1.0	1.25	0.0	1.0
44	43	1/4	1/4	3/4	2	1	V7(9)/IV					c#	I	I	V7(9)/IV		V		7	9	IV			Mm7	1	0	7, 11, 8, 5	9	7.0	7.0	4	0	1.0	1.0	0.0	1.0
44	43	1/2	1/2	3/4	2	1	V(64)/IV					c#	I	I	V(64)/IV		V			64	IV			M	1	0	7, 6, 10		7.0	7.0	4	0	1.0	1.0	0.0	1.0
45	44	0	0	3/4	2	1	ii2/IV					c#	I	I	ii2/IV		ii		2		IV			mm7	1	0	6, 8, 5, 9		8.0	6.0	6	0	1.0	1.25	0.0	1.0
45	44	1/4	1/4	3/4	2	1	V7/IV]					c#	I	I	V7/IV		V		7		IV			Mm7	1	0	7, 11, 8, 5		7.0	7.0	5	0	1.0	1.25	0.0	1.0
