mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	Bb.V{		Bb	I		V	V						{	M	0	0	-1, 3, 0		-1.0	-1.0	0	16	0.0	0.0	6.0	0.0
5	5	0	0	3/4	2	1	I		Bb	I		I	I							M	0	0	-2, 2, -1		-2.0	-2.0	4	35	0.10256410256410256	0.4166666666666667	8.333333333333334	0.04761904761904762
8	8	1/2	1/2	3/4	2	1	I(13)		Bb	I		I(13)	I			13				M	0	0	-2, 2, -1	1	-2.0	-2.0	0	4	0.0	0.0	1.0	0.0
9	9	0	0	3/4	2	1	V7		Bb	I		V7	V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	6	0.0	0.0	1.5	0.0
9	9	1/2	1/2	3/4	2	1	V7(6)		Bb	I		V7(6)	V		7	6				Mm7	0	0	-1, 3, 2, -3		-1.0	-1.0	0	5	0.0	0.0	1.0	0.0
10	10	0	0	3/4	2	1	I		Bb	I		I	I							M	0	0	-2, 2, -1		-2.0	-2.0	1	7	0.125	0.08333333333333333	1.4166666666666667	0.05555555555555555
10	10	1/2	1/2	3/4	2	1	I(13)		Bb	I		I(13)	I			13				M	0	0	-2, 2, -1	1	-2.0	-2.0	0	4	0.0	0.0	1.0	0.0
11	11	0	0	3/4	2	1	V7		Bb	I		V7	V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	6	0.0	0.0	1.5	0.0
11	11	1/2	1/2	3/4	2	1	V7(6)		Bb	I		V7(6)	V		7	6				Mm7	0	0	-1, 3, 2, -3		-1.0	-1.0	0	5	0.0	0.0	1.0	0.0
12	12	0	0	3/4	2	1	I|PAC}	1.0	Bb	I		I	I					PAC	}	M	0	0	-2, 2, -1		-2.0	-2.0	0	9	0.0	0.0	2.25	0.0
14	12	0	0	3/4	2	1	I|PAC}	2.0	Bb	I		I	I					PAC	}	M	0	0	-2, 2, -1		-2.0	-2.0	1	9	0.1	0.125	2.125	0.05555555555555555
15	13	0	0	3/4	2	1	V.I{		Bb	V		I	I						{	M	0	0	-1, 3, 0		-1.0	-1.0	1	4	0.2	0.125	0.625	0.16666666666666666
15	13	1/4	1/4	3/4	2	1	I(7)		Bb	V		I(7)	I			7				M	0	0	-1, 3, 0	4	-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
15	13	1/2	1/2	3/4	2	1	I		Bb	V		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	3	13	0.1875	0.375	2.625	0.125
16	14	1/2	1/2	3/4	2	1	I(13)		Bb	V		I(13)	I			13				M	0	0	-1, 3, 0	2	-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
17	15	0	0	3/4	2	1	V2/V		Bb	V		V2/V	V		2		V			Mm7	0	0	-1, 1, 5, 2		1.0	-1.0	2	5	0.2857142857142857	0.25	1.0	0.2
17	15	1/4	1/4	3/4	2	1	V2(9)/V		Bb	V		V2(9)/V	V		2	9	V			Mm7	0	0	-1, 1, 5, 2	3	1.0	-1.0	0	5	0.0	0.0	1.25	0.0
17	15	1/2	1/2	3/4	2	1	V2/V		Bb	V		V2/V	V		2		V			Mm7	0	0	-1, 1, 5, 2		1.0	-1.0	0	7	0.0	0.0	1.25	0.0
18	16	0	0	3/4	2	1	I(974)		Bb	V		I(974)	I			974				M	0	0	-1, -2, 0	1, 4	-1.0	-1.0	1	11	0.08333333333333333	0.0625	2.4375	0.025
18	16	1/2	1/2	3/4	2	1	I}		Bb	V		I	I						}	M	0	0	-1, 3, 0		-1.0	-1.0	0	5	0.0	0.0	1.25	0.0
19	17	0	0	3/4	2	1	I.I{		Bb	I		I	I						{	M	0	0	-2, 2, -1		-2.0	-2.0	4	35	0.10256410256410256	0.3541666666666667	8.395833333333334	0.04047619047619048
22	20	1/2	1/2	3/4	2	1	I(13)		Bb	I		I(13)	I			13				M	0	0	-2, 2, -1	1	-2.0	-2.0	0	4	0.0	0.0	1.0	0.0
23	21	0	0	3/4	2	1	V7		Bb	I		V7	V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	6	0.0	0.0	1.5	0.0
23	21	1/2	1/2	3/4	2	1	V7(6)		Bb	I		V7(6)	V		7	6				Mm7	0	0	-1, 3, 2, -3		-1.0	-1.0	0	5	0.0	0.0	1.0	0.0
24	22	0	0	3/4	2	1	I		Bb	I		I	I							M	0	0	-2, 2, -1		-2.0	-2.0	1	7	0.125	0.08333333333333333	1.4166666666666667	0.05555555555555555
24	22	1/2	1/2	3/4	2	1	I(13)		Bb	I		I(13)	I			13				M	0	0	-2, 2, -1	1	-2.0	-2.0	0	4	0.0	0.0	1.0	0.0
25	23	0	0	3/4	2	1	V7		Bb	I		V7	V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	6	0.0	0.0	1.5	0.0
