mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	7/16	3/4	2	1	a.i[i{		a	i	i	i	i							{	m	1	1	3, 0, 4		3	3	0	10	0.0	0.0	1.5625	0.0
2	1	1/2	1/2	3/4	2	1	VM7		a	i		VM7	V	M	7						MM7	1	1	4, 8, 5, 9		4	4	1	4	0.2	0.0	0.75	0.0
3	2	0	0	3/4	2	1	i		a	i		i	i								m	1	1	3, 0, 4		3	3	0	9	0.0	0.0	2.0	0.0
4	3	0	0	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.25	0.25	0.5
4	3	1/4	1/4	3/4	2	1	V7(#2)		a	i		V7(#2)	V		7	#2					Mm7	1	1	4, 6, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
4	3	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	4	0.2	0.0	0.75	0.0
5	4	0	0	3/4	2	1	i|PAC}		a	i		i	i						PAC	}	m	1	1	3, 0, 4		3	3	0	17	0.0	0.0	3.0	0.0
6	5	1/2	1/2	3/4	2	1	VM7		a	i		VM7	V	M	7						MM7	1	1	4, 8, 5, 9		4	4	1	4	0.2	0.0	0.75	0.0
7	6	0	0	3/4	2	1	i		a	i		i	i								m	1	1	3, 0, 4		3	3	0	9	0.0	0.0	2.0	0.0
8	7	0	0	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.25	0.25	0.5
8	7	1/4	1/4	3/4	2	1	V7(#2)		a	i		V7(#2)	V		7	#2					Mm7	1	1	4, 6, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
8	7	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	4	0.2	0.0	0.75	0.0
9	8	0	0	3/4	2	1	i|PAC		a	i		i	i						PAC		m	1	1	3, 0, 4		3	3	0	15	0.0	0.0	2.5625	0.0
10	9	1/2	1/2	3/4	2	1	VM7		a	i		VM7	V	M	7						MM7	1	1	4, 8, 5, 9		4	4	1	4	0.2	0.0	0.75	0.0
11	10	0	0	3/4	2	1	i		a	i		i	i								m	1	1	3, 0, 4		3	3	0	9	0.0	0.0	2.0	0.0
12	11	0	0	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.25	0.25	0.5
12	11	1/4	1/4	3/4	2	1	V7(#2)		a	i		V7(#2)	V		7	#2					Mm7	1	1	4, 6, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
12	11	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
13	12	0	0	3/4	2	1	i|PAC}		a	i		i	i						PAC	}	m	1	1	3, 0, 4		3	3	0	17	0.0	0.0	3.0	0.0
14	13	1/2	1/2	3/4	2	1	VM7		a	i		VM7	V	M	7						MM7	1	1	4, 8, 5, 9		4	4	1	4	0.2	0.0	0.75	0.0
15	14	0	0	3/4	2	1	i		a	i		i	i								m	1	1	3, 0, 4		3	3	0	9	0.0	0.0	2.0	0.0
16	15	0	0	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.25	0.25	0.5
16	15	1/4	1/4	3/4	2	1	V7(#2)		a	i		V7(#2)	V		7	#2					Mm7	1	1	4, 6, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
16	15	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	4	0.2	0.0	0.75	0.0
17	16	0	0	3/4	2	1	i]|PAC}		a	i		i	i					]	PAC	}	m	1	1	3, 0, 4		3	3	1	4	0.2	0.0625	0.75	0.07692307692307693
17	16	1/2	1/2	3/4	2	1	III[I/III		a	i	III	I/III	I				III				M	1	1	0, 4, 1		0	0	0	8	0.0	0.0	1.5	0.0
18	17	1/2	1/2	3/4	2	1	VM7(#5)/III		a	i		VM7(#5)/III	V	M	7	#5	III				MM7	1	1	1, 5, 9, 6		1	1	1	4	0.2	0.0	0.75	0.0
19	18	0	0	3/4	2	1	I/III		a	i		I/III	I				III				M	1	1	0, 4, 1		0	0	0	6	0.0	0.0	1.25	0.0
19	18	1/2	1/2	3/4	2	1	VM7(#5)/III		a	i		VM7(#5)/III	V	M	7	#5	III				MM7	1	1	1, 5, 9, 6		1	1	1	4	0.2	0.0	0.75	0.0
20	19	0	0	3/4	2	1	I/III		a	i		I/III	I				III				M	1	1	0, 4, 1		0	0	0	6	0.0	0.0	1.1875	0.0
20	19	1/2	1/2	3/4	2	1	V7/III		a	i		V7/III	V		7		III				Mm7	1	1	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.75	0.0
21	20	0	0	3/4	2	1	I/III]|IAC		a	i		I/III	I				III	]	IAC		M	1	1	0, 4, 1		0	0	1	5	0.16666666666666666	0.0	1.5	0.0
21	20	1/2	1/2	3/4	2	1	V7{		a	i		V7	V		7					{	Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
22	21	0	0	3/4	2	1	i[i		a	i	i	i	i								m	1	1	3, 0, 4		3	3	0	7	0.0	0.0	1.25	0.0
22	21	1/2	1/2	3/4	2	1	VM7		a	i		VM7	V	M	7						MM7	1	1	4, 8, 5, 9		4	4	1	4	0.2	0.0	0.75	0.0
23	22	0	0	3/4	2	1	i		a	i		i	i								m	1	1	3, 0, 4		3	3	0	9	0.0	0.0	2.0	0.0
24	23	0	0	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.25	0.25	0.5
24	23	1/4	1/4	3/4	2	1	V7(#2)		a	i		V7(#2)	V		7	#2					Mm7	1	1	4, 6, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
24	23	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	4	0.2	0.0	0.75	0.0
25	24	0	0	3/4	2	1	i|PAC}		a	i		i	i						PAC	}	m	1	1	3, 0, 4		3	3	0	17	0.0	0.0	3.0	0.0
26	25	1/2	1/2	3/4	2	1	VM7		a	i		VM7	V	M	7						MM7	1	1	4, 8, 5, 9		4	4	1	4	0.2	0.0	0.75	0.0
27	26	0	0	3/4	2	1	i		a	i		i	i								m	1	1	3, 0, 4		3	3	0	9	0.0	0.0	2.0	0.0
28	27	0	0	3/4	2	1	V7		a	i		V7	V		7						Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.25	0.25	0.5
28	27	1/4	1/4	3/4	2	1	V7(#2)		a	i		V7(#2)	V		7	#2					Mm7	1	1	4, 6, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
