mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	a.i{		a	i		i		i						{	m	1	1	3, 0, 4		3	3	0	1	0.0	0.0	0.25	0.0
2	1	0	0	3/4	2	1	iv64		a	i		iv64		iv		64					m	1	1	3, 2, -1		2	3	1	9	0.1	0.0625	2.1875	0.027777777777777776
3	2	0	0	3/4	2	1	i(6)		a	i		i(6)		i			6				m	1	1	3, 0, -1		3	3	0	4	0.0	0.0	1.25	0.0
3	2	1/2	1/2	3/4	2	1	i		a	i		i		i							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.0	0.0
4	3	0	0	3/4	2	1	V7		a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	2	12	0.14285714285714285	0.25	2.0	0.1111111111111111
5	4	0	0	3/4	2	1	i(4)		a	i		i(4)		i			4				m	1	1	3, 2, 4		3	3	0	2	0.0	0.0	0.75	0.0
5	4	1/2	1/2	3/4	2	1	i		a	i		i		i							m	1	1	3, 0, 4		3	3	2	9	0.18181818181818182	0.3333333333333333	1.9166666666666667	0.14814814814814814
7	6	0	0	3/4	2	1	V(64)/v		a	i		V(64)/v		V			64	v			M	1	1	5, 4, 1		5	5	0	13	0.0	0.0	3.0	0.0
8	7	1/2	1/2	3/4	2	1	V/v		a	i		V/v		V				v			M	1	1	5, 9, 6		5	5	0	4	0.0	0.0	1.0	0.0
9	8	0	0	3/4	2	1	i/v|PAC}		a	i		i/v		i				v	PAC	}	m	1	1	4, 1, 5		4	4	0	6	0.0	0.0	1.75	0.0
10	9	0	0	3/4	2	1	iv64		a	i		iv64		iv		64					m	1	1	3, 2, -1		2	3	1	9	0.1	0.0625	2.1875	0.027777777777777776
11	10	0	0	3/4	2	1	i(6)		a	i		i(6)		i			6				m	1	1	3, 0, -1		3	3	0	4	0.0	0.0	1.25	0.0
11	10	1/2	1/2	3/4	2	1	i		a	i		i		i							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.0	0.0
12	11	0	0	3/4	2	1	V7		a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	2	13	0.13333333333333333	0.25	2.0	0.1111111111111111
13	12	0	0	3/4	2	1	VI(6)		a	i		VI(6)		VI			6				M	1	1	-1, 3, 2		-1	-1	0	4	0.0	0.0	1.25	0.0
13	12	1/2	1/2	3/4	2	1	VI		a	i		VI		VI							M	1	1	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
14	13	0	0	3/4	2	1	V7/bII		a	i		V7/bII		V		7		bII			Mm7	1	1	-1, 3, 0, -3		-1	-1	2	9	0.18181818181818182	0.3333333333333333	1.9166666666666667	0.14814814814814814
