mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	Ab.I{		Ab	I		I		I						{	M	0	0	-4, 0, -3		-4	-4	0	1	0.0	0.0	0.25	0.0
2	1	0	0	3/4	2	1	V7		Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	1	10	0.09090909090909091	0.0625	2.4375	0.025
3	2	0	0	3/4	2	1	I		Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.5	0.0
3	2	1/4	1/4	3/4	2	1	I(13)		Ab	I		I(13)		I			13				M	0	0	-4, 0, -3	-1	-4	-4	0	8	0.0	0.0	1.875	0.0
3	2	5/8	5/8	3/4	2	1	I		Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	0	1	0.0	0.0	0.125	0.0
4	3	0	0	3/4	2	1	V7		Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	2	8	0.2	0.125	2.375	0.05
5	4	0	0	3/4	2	1	I		Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	1	6	0.14285714285714285	0.125	2.0	0.058823529411764705
5	4	1/2	1/2	3/4	2	1	V+/IV		Ab	I		V+/IV		V	+			IV			+	0	0	-4, 0, 4		-4	-4	1	1	0.5	0.125	0.25	0.3333333333333333
6	5	0	0	3/4	2	1	IV		Ab	I		IV		IV							M	0	0	-5, -1, -4		-5	-5	2	9	0.18181818181818182	0.20833333333333334	1.4791666666666667	0.1234567901234568
7	6	0	0	3/4	2	1	V(64)		Ab	I		V(64)		V			64				M	0	0	-3, -4, 0		-3	-3	0	8	0.0	0.0	1.6875	0.0
8	7	0	0	3/4	2	1	V7		Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	2	8	0.2	0.125	2.375	0.05
9	8	0	0	3/4	2	1	I		Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	1	6	0.14285714285714285	0.125	2.0	0.058823529411764705
9	8	1/2	1/2	3/4	2	1	V+/IV		Ab	I		V+/IV		V	+			IV			+	0	0	-4, 0, 4		-4	-4	1	1	0.5	0.125	0.25	0.3333333333333333
10	9	0	0	3/4	2	1	IV		Ab	I		IV		IV							M	0	0	-5, -1, -4		-5	-5	2	9	0.18181818181818182	0.20833333333333334	1.4791666666666667	0.1234567901234568
11	10	0	0	3/4	2	1	V(64)		Ab	I		V(64)		V			64				M	0	0	-3, -4, 0		-3	-3	2	8	0.2	0.16666666666666666	1.5208333333333333	0.09876543209876543
12	11	0	0	3/4	2	1	V7		Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	2	11	0.15384615384615385	0.25	2.25	0.1
13	12	0	0	3/4	2	1	I}	1	Ab	I		I		I						}	M	0	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.6875	0.0
13	12	1/4	1/4	3/4	2	1	I|PAC	1	Ab	I		I		I					PAC		M	0	0	-4, 0, -3		-4	-4	1	4	0.2	0.125	0.875	0.125
14	12	0	0	3/4	2	1	I}	2	Ab	I		I		I						}	M	0	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.6875	0.0
14	12	1/4	1/4	3/4	2	1	I|PAC	2	Ab	I		I		I					PAC		M	0	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.75	0.0
14	12	1/2	1/2	3/4	2	1	I6{	2	Ab	I		I6		I		6				{	M	0	0	0, -3, -4		-4	0	0	2	0.0	0.0	0.5	0.0
15	13	0	0	3/4	2	1	#viio7/iii		Ab	I		#viio7/iii		#vii	o	7		iii			o7	0	0	5, 2, -1, -4		5	5	0	4	0.0	0.0	1.0	0.0
15	13	1/4	1/4	3/4	2	1	iii		Ab	I		iii		iii							m	0	0	0, -3, 1		0	0	1	4	0.2	0.125	0.5	0.2
15	13	1/2	1/2	3/4	2	1	#viio7/ii		Ab	I		#viio7/ii		#vii	o	7		ii			o7	0	0	3, 0, -3, -6		3	3	0	4	0.0	0.0	1.0	0.0
16	14	0	0	3/4	2	1	ii		Ab	I		ii		ii							m	0	0	-2, -5, -1		-2	-2	1	4	0.2	0.125	0.5	0.2
16	14	1/4	1/4	3/4	2	1	viio7		Ab	I		viio7		vii	o	7					o7	0	0	1, -2, -5, -8		1	1	0	4	0.0	0.0	1.0	0.0
16	14	1/2	1/2	3/4	2	1	I		Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	0	4	0.0	0.0	1.0	0.0
17	15	0	0	3/4	2	1	#viio7/iii		Ab	I		#viio7/iii		#vii	o	7		iii			o7	0	0	5, 2, -1, -4		5	5	0	4	0.0	0.0	1.0	0.0
17	15	1/4	1/4	3/4	2	1	iii		Ab	I		iii		iii							m	0	0	0, -3, 1		0	0	1	4	0.2	0.125	0.5	0.2
17	15	1/2	1/2	3/4	2	1	#viio7/ii		Ab	I		#viio7/ii		#vii	o	7		ii			o7	0	0	3, 0, -3, -6		3	3	0	4	0.0	0.0	1.0	0.0
18	16	0	0	3/4	2	1	ii		Ab	I		ii		ii							m	0	0	-2, -5, -1		-2	-2	1	4	0.2	0.125	0.5	0.2
18	16	1/4	1/4	3/4	2	1	viio7		Ab	I		viio7		vii	o	7					o7	0	0	1, -2, -5, -8		1	1	0	4	0.0	0.0	1.0	0.0
18	16	1/2	1/2	3/4	2	1	I		Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	0	4	0.0	0.0	1.0	0.0
19	17	0	0	3/4	2	1	viio7		Ab	I		viio7		vii	o	7					o7	0	0	1, -2, -5, -8		1	1	0	4	0.0	0.0	1.0	0.0
19	17	1/4	1/4	3/4	2	1	I		Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	1	4	0.2	0.125	0.5	0.2
19	17	1/2	1/2	3/4	2	1	viio65/V		Ab	I		viio65/V		vii	o	65		V			o7	0	0	-1, -4, -7, 2		2	-1	0	4	0.0	0.0	1.0	0.0
20	18	0	0	3/4	2	1	viio		Ab	I		viio		vii	o						o	0	0	1, -2, -5		1	1	1	4	0.2	0.125	0.5	0.2
20	18	1/4	1/4	3/4	2	1	V65/vi		Ab	I		V65/vi		V		65		vi			Mm7	0	0	4, 1, -2, 0		0	4	0	4	0.0	0.0	1.0	0.0
20	18	1/2	1/2	3/4	2	1	vi		Ab	I		vi		vi							m	0	0	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
21	19	0	0	3/4	2	1	V65/vi		Ab	I		V65/vi		V		65		vi			Mm7	0	0	4, 1, -2, 0		0	4	0	4	0.0	0.0	1.0	0.0
21	19	1/4	1/4	3/4	2	1	vi		Ab	I		vi		vi							m	0	0	-1, -4, 0		-1	-1	1	4	0.2	0.125	0.5	0.2
21	19	1/2	1/2	3/4	2	1	.Fr6/vi		Ab	I		Fr6/vi	Fr	V		43	b5	V/vi			Fr	0	0	-5, -1, 1, 5		1	-5	0	4	0.0	0.0	1.0	0.0
22	20	0	0	3/4	2	1	V/vi|HC}		Ab	I		V/vi		V				vi	HC	}	M	0	0	0, 4, 1		0	0	0	25	0.0	0.0	15.0	0.0
26	24	1/2	1/2	3/4	2	1	V7{		Ab	I		V7		V		7				{	Mm7	0	0	-3, 1, -2, -5		-3	-3	3	9	0.25	0.25	2.5	0.09090909090909091
28	26	0	0	3/4	2	1	I		Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.5	0.0
28	26	1/4	1/4	3/4	2	1	I(13)		Ab	I		I(13)		I			13				M	0	0	-4, 0, -3	-1	-4	-4	0	8	0.0	0.0	1.875	0.0
28	26	5/8	5/8	3/4	2	1	I		Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	0	1	0.0	0.0	0.125	0.0
29	27	0	0	3/4	2	1	V7		Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	2	8	0.2	0.125	2.375	0.05
30	28	0	0	3/4	2	1	I		Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	1	6	0.14285714285714285	0.125	2.0	0.058823529411764705
30	28	1/2	1/2	3/4	2	1	V+/IV		Ab	I		V+/IV		V	+			IV			+	0	0	-4, 0, 4		-4	-4	1	1	0.5	0.125	0.25	0.3333333333333333
31	29	0	0	3/4	2	1	IV		Ab	I		IV		IV							M	0	0	-5, -1, -4		-5	-5	2	9	0.18181818181818182	0.20833333333333334	1.4791666666666667	0.1234567901234568
32	30	0	0	3/4	2	1	V(64)		Ab	I		V(64)		V			64				M	0	0	-3, -4, 0		-3	-3	0	8	0.0	0.0	1.6875	0.0
33	31	0	0	3/4	2	1	V7		Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	2	8	0.2	0.125	2.375	0.05
34	32	0	0	3/4	2	1	I		Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	1	6	0.14285714285714285	0.125	2.0	0.058823529411764705
34	32	1/2	1/2	3/4	2	1	V+/IV		Ab	I		V+/IV		V	+			IV			+	0	0	-4, 0, 4		-4	-4	1	1	0.5	0.125	0.25	0.3333333333333333
35	33	0	0	3/4	2	1	IV		Ab	I		IV		IV							M	0	0	-5, -1, -4		-5	-5	2	10	0.16666666666666666	0.20833333333333334	1.4791666666666667	0.1234567901234568
36	34	0	0	3/4	2	1	V(64)		Ab	I		V(64)		V			64				M	0	0	-3, -4, 0		-3	-3	2	8	0.2	0.16666666666666666	1.5208333333333333	0.09876543209876543
37	35	0	0	3/4	2	1	V7		Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	2	11	0.15384615384615385	0.25	2.25	0.1
38	36	0	0	3/4	2	1	I}	1	Ab	I		I		I						}	M	0	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.6875	0.0
