mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	Ab.I6{		Ab	I		I6	I		6				{	M	0	0	0, -3, -4		-4.0	0.0	0	1	0.0	0.0	0.25	0.0
2	1	0	0	3/4	2	1	viio7(4)		Ab	I		viio7(4)	vii	o	7	4				o7	0	0	1, 0, -5, -8		1.0	1.0	0	4	0.0	0.0	0.9375	0.0
2	1	3/16	3/16	3/4	2	1	viio7		Ab	I		viio7	vii	o	7					o7	0	0	1, -2, -5, -8		1.0	1.0	0	1	0.0	0.0	0.0625	0.0
2	1	1/4	1/4	3/4	2	1	I		Ab	I		I	I							M	0	0	-4, 0, -3		-4.0	-4.0	1	4	0.2	0.125	1.375	0.08333333333333333
2	1	1/2	1/2	3/4	2	1	I64		Ab	I		I64	I		64					M	0	0	-3, -4, 0		-4.0	-3.0	0	2	0.0	0.0	0.5	0.0
3	2	0	0	3/4	2	1	viio7(4)		Ab	I		viio7(4)	vii	o	7	4				o7	0	0	1, 0, -5, -8		1.0	1.0	0	4	0.0	0.0	0.9375	0.0
3	2	3/16	3/16	3/4	2	1	viio7		Ab	I		viio7	vii	o	7					o7	0	0	1, -2, -5, -8		1.0	1.0	0	1	0.0	0.0	0.0625	0.0
3	2	1/4	1/4	3/4	2	1	I		Ab	I		I	I							M	0	0	-4, 0, -3		-4.0	-4.0	1	4	0.2	0.125	1.375	0.08333333333333333
3	2	1/2	1/2	3/4	2	1	I64		Ab	I		I64	I		64					M	0	0	-3, -4, 0		-4.0	-3.0	0	2	0.0	0.0	0.5	0.0
4	3	0	0	3/4	2	1	viio7(4)		Ab	I		viio7(4)	vii	o	7	4				o7	0	0	1, 0, -5, -8		1.0	1.0	0	4	0.0	0.0	0.9375	0.0
4	3	3/16	3/16	3/4	2	1	viio7		Ab	I		viio7	vii	o	7					o7	0	0	1, -2, -5, -8		1.0	1.0	0	1	0.0	0.0	0.0625	0.0
4	3	1/4	1/4	3/4	2	1	I		Ab	I		I	I							M	0	0	-4, 0, -3		-4.0	-4.0	1	4	0.2	0.125	1.375	0.08333333333333333
4	3	1/2	1/2	3/4	2	1	I64		Ab	I		I64	I		64					M	0	0	-3, -4, 0		-4.0	-3.0	0	2	0.0	0.0	0.5	0.0
5	4	0	0	3/4	2	1	V65(4)		Ab	I		V65(4)	V		65	4				Mm7	0	0	-4, -2, -5, -3		-3.0	-4.0	0	3	0.0	0.0	1.6875	0.0
5	4	3/16	3/16	3/4	2	1	V65		Ab	I		V65	V		65					Mm7	0	0	1, -2, -5, -3		-3.0	1.0	1	2	0.3333333333333333	0.125	0.1875	0.4
5	4	1/2	1/2	3/4	2	1	V7		Ab	I		V7	V		7					Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	0	1	0.0	0.0	0.25	0.0
6	5	0	0	3/4	2	1	viio7(4)		Ab	I		viio7(4)	vii	o	7	4				o7	0	0	1, 0, -5, -8		1.0	1.0	0	4	0.0	0.0	0.9375	0.0
6	5	3/16	3/16	3/4	2	1	viio7		Ab	I		viio7	vii	o	7					o7	0	0	1, -2, -5, -8		1.0	1.0	0	1	0.0	0.0	0.0625	0.0
6	5	1/4	1/4	3/4	2	1	I		Ab	I		I	I							M	0	0	-4, 0, -3		-4.0	-4.0	1	4	0.2	0.125	1.375	0.08333333333333333
6	5	1/2	1/2	3/4	2	1	I64		Ab	I		I64	I		64					M	0	0	-3, -4, 0		-4.0	-3.0	0	2	0.0	0.0	0.5	0.0
7	6	0	0	3/4	2	1	viio7(4)		Ab	I		viio7(4)	vii	o	7	4				o7	0	0	1, 0, -5, -8		1.0	1.0	0	4	0.0	0.0	0.9375	0.0
7	6	3/16	3/16	3/4	2	1	viio7		Ab	I		viio7	vii	o	7					o7	0	0	1, -2, -5, -8		1.0	1.0	0	1	0.0	0.0	0.0625	0.0
7	6	1/4	1/4	3/4	2	1	I		Ab	I		I	I							M	0	0	-4, 0, -3		-4.0	-4.0	1	5	0.16666666666666666	0.125	1.875	0.0625
7	6	1/2	1/2	3/4	2	1	ii%65/V		Ab	I		ii%65/V	ii	%	65		V			%7	0	0	-4, -7, -3, -1		-1.0	-4.0	0	2	0.0	0.0	0.5	0.0
8	7	0	0	3/4	2	1	V[V		Ab	I	V	V	V							M	0	0	-3, 1, -2		-3.0	-3.0	0	5	0.0	0.0	1.25	0.0
8	7	1/4	1/4	3/4	2	1	viio2/V		Ab	I	V	viio2/V	vii	o	2		V			o7	0	0	-7, 2, -1, -4		2.0	-7.0	1	4	0.2	0.0625	1.4375	0.041666666666666664
8	7	1/2	1/2	3/4	2	1	viio/V		Ab	I	V	viio/V	vii	o			V			o	0	0	2, -1, -4		2.0	2.0	1	1	0.5	0.25	0.25	0.5
9	8	0	0	3/4	2	1	viio2/V		Ab	I	V	viio2/V	vii	o	2		V			o7	0	0	-7, 2, -1, -4		2.0	-7.0	2	5	0.2857142857142857	0.625	2.125	0.22727272727272727
9	8	1/2	1/2	3/4	2	1	V]}		Ab	I	V	V	V						}	M	0	0	-3, 1, -2		-3.0	-3.0	0	4	0.0	0.0	1.0	0.0
10	9	0	0	3/4	2	1	viio7(4){		Ab	I		viio7(4)	vii	o	7	4			{	o7	0	0	1, 0, -5, -8		1.0	1.0	0	4	0.0	0.0	0.9375	0.0
10	9	3/16	3/16	3/4	2	1	viio7		Ab	I		viio7	vii	o	7					o7	0	0	1, -2, -5, -8		1.0	1.0	0	1	0.0	0.0	0.0625	0.0
10	9	1/4	1/4	3/4	2	1	I		Ab	I		I	I							M	0	0	-4, 0, -3		-4.0	-4.0	1	4	0.2	0.125	1.375	0.08333333333333333
10	9	1/2	1/2	3/4	2	1	I64		Ab	I		I64	I		64					M	0	0	-3, -4, 0		-4.0	-3.0	0	2	0.0	0.0	0.5	0.0
11	10	0	0	3/4	2	1	viio7(4)		Ab	I		viio7(4)	vii	o	7	4				o7	0	0	1, 0, -5, -8		1.0	1.0	0	4	0.0	0.0	0.9375	0.0
11	10	3/16	3/16	3/4	2	1	viio7		Ab	I		viio7	vii	o	7					o7	0	0	1, -2, -5, -8		1.0	1.0	0	1	0.0	0.0	0.0625	0.0
11	10	1/4	1/4	3/4	2	1	I		Ab	I		I	I							M	0	0	-4, 0, -3		-4.0	-4.0	1	4	0.2	0.125	1.375	0.08333333333333333
11	10	1/2	1/2	3/4	2	1	I64		Ab	I		I64	I		64					M	0	0	-3, -4, 0		-4.0	-3.0	0	2	0.0	0.0	0.5	0.0
12	11	0	0	3/4	2	1	viio7(4)		Ab	I		viio7(4)	vii	o	7	4				o7	0	0	1, 0, -5, -8		1.0	1.0	0	4	0.0	0.0	0.9375	0.0
12	11	3/16	3/16	3/4	2	1	viio7		Ab	I		viio7	vii	o	7					o7	0	0	1, -2, -5, -8		1.0	1.0	0	1	0.0	0.0	0.0625	0.0
12	11	1/4	1/4	3/4	2	1	I		Ab	I		I	I							M	0	0	-4, 0, -3		-4.0	-4.0	2	4	0.3333333333333333	0.16666666666666666	1.3333333333333333	0.1111111111111111
12	11	1/2	1/2	3/4	2	1	I64		Ab	I		I64	I		64					M	0	0	-3, -4, 0		-4.0	-3.0	2	2	0.5	0.16666666666666666	0.2916666666666667	0.3636363636363636
13	12	0	0	3/4	2	1	V65(4)		Ab	I		V65(4)	V		65	4				Mm7	0	0	-4, -2, -5, -3		-3.0	-4.0	1	3	0.25	0.0	1.6875	0.0
13	12	3/16	3/16	3/4	2	1	V65		Ab	I		V65	V		65					Mm7	0	0	1, -2, -5, -3		-3.0	1.0	1	2	0.3333333333333333	0.125	0.1875	0.4
13	12	1/2	1/2	3/4	2	1	V7		Ab	I		V7	V		7					Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	0	1	0.0	0.0	0.25	0.0
14	13	0	0	3/4	2	1	viio7(4)		Ab	I		viio7(4)	vii	o	7	4				o7	0	0	1, 0, -5, -8		1.0	1.0	0	4	0.0	0.0	0.875	0.0
14	13	3/16	3/16	3/4	2	1	viio7		Ab	I		viio7	vii	o	7					o7	0	0	1, -2, -5, -8		1.0	1.0	0	1	0.0	0.0	0.0625	0.0
14	13	1/4	1/4	3/4	2	1	I		Ab	I		I	I							M	0	0	-4, 0, -3		-4.0	-4.0	1	4	0.2	0.125	1.375	0.08333333333333333
14	13	1/2	1/2	3/4	2	1	I64		Ab	I		I64	I		64					M	0	0	-3, -4, 0		-4.0	-3.0	0	2	0.0	0.0	0.5	0.0
15	14	0	0	3/4	2	1	viio7(4)		Ab	I		viio7(4)	vii	o	7	4				o7	0	0	1, 0, -5, -8		1.0	1.0	0	4	0.0	0.0	0.875	0.0
15	14	1/8	1/8	3/4	2	1	viio7		Ab	I		viio7	vii	o	7					o7	0	0	1, -2, -5, -8		1.0	1.0	2	2	0.5	0.0625	0.0625	0.5
