mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	Bb.V7{					Bb	I		V7		V		7				{	Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	1	10	0.09090909090909091	0.25	2.1875	0.10256410256410256
2	2	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	2	8	0.2	0.1875	1.75	0.0967741935483871
3	3	0	0	3/4	2	1	IV					Bb	I		IV		IV							M	0	0	-3, 1, -2		-3.0	-3.0	2	9	0.18181818181818182	0.1875	2.0	0.08571428571428572
4	4	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	11	0.0	0.0	2.4375	0.0
5	5	0	0	3/4	2	1	V7(9)					Bb	I		V7(9)		V		7	9				Mm7	0	0	-1, 3, 0, -3	1	-1.0	-1.0	0	4	0.0	0.0	0.4375	0.0
5	5	1/4	1/4	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	2.0	0.0
6	6	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	0.4375	0.0
6	6	1/4	1/4	3/4	2	1	I(#11)					Bb	I		I(#11)		I			#11				M	0	0	-2, 2, -1	4	-2.0	-2.0	0	7	0.0	0.0	2.0	0.0
7	7	0	0	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	1.1875	0.0
7	7	1/2	1/2	3/4	2	1	V7(9)					Bb	I		V7(9)		V		7	9				Mm7	0	0	-1, 3, 0, -3	1	-1.0	-1.0	0	5	0.0	0.0	1.0	0.0
8	8	0	0	3/4	2	1	I[I					Bb	I	I	I		I							M	0	0	-2, 2, -1		-2.0	-2.0	3	14	0.17647058823529413	0.1875	2.6875	0.06521739130434782
9	9	1/4	1/4	3/4	2	1	V7					Bb	I	I	V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	2.0	0.0
10	10	0	0	3/4	2	1	I					Bb	I	I	I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	5	0.0	0.0	0.4375	0.0
10	10	1/4	1/4	3/4	2	1	I(#11)]					Bb	I	I	I(#11)		I			#11				M	0	0	-2, 2, -1	4	-2.0	-2.0	0	7	0.0	0.0	2.0	0.0
11	11	0	0	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	1	11	0.08333333333333333	0.125	2.0625	0.05714285714285714
12	12	0	0	3/4	2	1	I}					Bb	I		I		I						}	M	0	0	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	0.4375	0.0
12	12	1/4	1/4	3/4	2	1	I|PAC					Bb	I		I		I					PAC		M	0	0	-2, 2, -1		-2.0	-2.0	2	4	0.3333333333333333	0.25	1.0	0.2
13	13	0	0	3/4	2	1	V7{					Bb	I		V7		V		7				{	Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	1	10	0.09090909090909091	0.25	2.1875	0.10256410256410256
14	14	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	2	8	0.2	0.1875	1.75	0.0967741935483871
15	15	0	0	3/4	2	1	IV					Bb	I		IV		IV							M	0	0	-3, 1, -2		-3.0	-3.0	2	9	0.18181818181818182	0.1875	2.0	0.08571428571428572
16	16	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	11	0.0	0.0	2.4375	0.0
17	17	0	0	3/4	2	1	V7(9)					Bb	I		V7(9)		V		7	9				Mm7	0	0	-1, 3, 0, -3	1	-1.0	-1.0	0	4	0.0	0.0	0.4375	0.0
17	17	1/4	1/4	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	2.0	0.0
18	18	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	0.4375	0.0
18	18	1/4	1/4	3/4	2	1	I(#11)					Bb	I		I(#11)		I			#11				M	0	0	-2, 2, -1	4	-2.0	-2.0	0	7	0.0	0.0	2.0	0.0
19	19	0	0	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	1.1875	0.0
19	19	1/2	1/2	3/4	2	1	V7(9)					Bb	I		V7(9)		V		7	9				Mm7	0	0	-1, 3, 0, -3	1	-1.0	-1.0	0	5	0.0	0.0	1.0	0.0
20	20	0	0	3/4	2	1	I[I					Bb	I	I	I		I							M	0	0	-2, 2, -1		-2.0	-2.0	3	14	0.17647058823529413	0.1875	2.6875	0.06521739130434782
21	21	1/4	1/4	3/4	2	1	V7					Bb	I	I	V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	2.0	0.0
22	22	0	0	3/4	2	1	I					Bb	I	I	I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	5	0.0	0.0	0.4375	0.0
22	22	1/4	1/4	3/4	2	1	I(#11)]					Bb	I	I	I(#11)		I			#11				M	0	0	-2, 2, -1	4	-2.0	-2.0	0	7	0.0	0.0	2.0	0.0
23	23	0	0	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	1	11	0.08333333333333333	0.125	2.0625	0.05714285714285714
24	24	0	0	3/4	2	1	I}					Bb	I		I		I						}	M	0	0	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	0.4375	0.0
24	24	1/4	1/4	3/4	2	1	I|PAC					Bb	I		I		I					PAC		M	0	0	-2, 2, -1		-2.0	-2.0	1	5	0.16666666666666666	0.125	1.125	0.1
26	25	0	0	3/4	2	1	I/V					Bb	I		I/V		I				V			M	0	0	-1, 3, 0		-1.0	-1.0	2	8	0.2	0.1875	1.8125	0.09375
27	26	0	0	3/4	2	1	I(964)/V					Bb	I		I(964)/V		I			964	V			M	0	0	-1, -2, 2	1	-1.0	-1.0	1	5	0.16666666666666666	0.0625	1.1875	0.05
27	26	1/2	1/2	3/4	2	1	I(64)/V					Bb	I		I(64)/V		I			64	V			M	0	0	-1, -2, 2		-1.0	-1.0	0	4	0.0	0.0	0.75	0.0
28	27	0	0	3/4	2	1	I/V					Bb	I		I/V		I				V			M	0	0	-1, 3, 0		-1.0	-1.0	2	8	0.2	0.25	1.6875	0.12903225806451613
29	28	0	0	3/4	2	1	I(964)/V					Bb	I		I(964)/V		I			964	V			M	0	0	-1, -2, 2	1	-1.0	-1.0	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
29	28	1/4	1/4	3/4	2	1	I(64)/V					Bb	I		I(64)/V		I			64	V			M	0	0	-1, -2, 2		-1.0	-1.0	0	5	0.0	0.0	1.25	0.0
30	29	0	0	3/4	2	1	I/V					Bb	I		I/V		I				V			M	0	0	-1, 3, 0		-1.0	-1.0	2	8	0.2	0.25	1.75	0.125
31	30	0	0	3/4	2	1	I(964)/V					Bb	I		I(964)/V		I			964	V			M	0	0	-1, -2, 2	1	-1.0	-1.0	1	5	0.16666666666666666	0.125	1.125	0.1
31	30	1/2	1/2	3/4	2	1	I(64)/V					Bb	I		I(64)/V		I			64	V			M	0	0	-1, -2, 2		-1.0	-1.0	0	3	0.0	0.0	0.5	0.0
32	31	0	0	3/4	2	1	I/V					Bb	I		I/V		I				V			M	0	0	-1, 3, 0		-1.0	-1.0	2	8	0.2	0.25	1.75	0.125
33	32	0	0	3/4	2	1	V7/V					Bb	I		V7/V		V		7		V			Mm7	0	0	0, 4, 1, -2		0.0	0.0	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
33	32	1/4	1/4	3/4	2	1	I/V|PAC}	-0.643653	4.65858	/		Bb	I		I/V		I				V	PAC	}	M	0	0	-1, 3, 0		-1.0	-1.0	1	3	0.25	0.0625	0.6875	0.08333333333333333
33	32	1/2	1/2	3/4	2	1	V(b2)					Bb	I		V(b2)		V			b2				M	0	0	-6, 3, 0		-1.0	-6.0	2	1	0.6666666666666666	0.16666666666666666	0.08333333333333333	0.6666666666666666
34	33	0	0	3/4	2	1	V7{					Bb	I		V7		V		7				{	Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	1	11	0.08333333333333333	0.25	2.1875	0.10256410256410256
35	34	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	2	8	0.2	0.1875	1.75	0.0967741935483871
36	35	0	0	3/4	2	1	IV					Bb	I		IV		IV							M	0	0	-3, 1, -2		-3.0	-3.0	2	9	0.18181818181818182	0.1875	2.0	0.08571428571428572
37	36	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	11	0.0	0.0	2.4375	0.0
38	37	0	0	3/4	2	1	V7(9)					Bb	I		V7(9)		V		7	9				Mm7	0	0	-1, 3, 0, -3	1	-1.0	-1.0	0	4	0.0	0.0	0.4375	0.0
38	37	1/4	1/4	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	2.0	0.0
39	38	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	0.4375	0.0
