mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
39	38	1/4	1/4	3/4	2	1	I(#11)					Bb	I		I(#11)		I			#11				M	0	0	-2, 2, -1	4	-2.0	-2.0	0	7	0.0	0.0	2.0	0.0
40	39	0	0	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	1.1875	0.0
40	39	1/2	1/2	3/4	2	1	V7(9)					Bb	I		V7(9)		V		7	9				Mm7	0	0	-1, 3, 0, -3	1	-1.0	-1.0	0	5	0.0	0.0	1.0	0.0
41	40	0	0	3/4	2	1	I[I					Bb	I	I	I		I							M	0	0	-2, 2, -1		-2.0	-2.0	3	14	0.17647058823529413	0.1875	2.6875	0.06521739130434782
42	41	1/4	1/4	3/4	2	1	V7					Bb	I	I	V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	2.0	0.0
43	42	0	0	3/4	2	1	I					Bb	I	I	I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	5	0.0	0.0	0.4375	0.0
43	42	1/4	1/4	3/4	2	1	I(#11)]					Bb	I	I	I(#11)		I			#11				M	0	0	-2, 2, -1	4	-2.0	-2.0	0	7	0.0	0.0	2.0	0.0
44	43	0	0	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	1	11	0.08333333333333333	0.125	2.0625	0.05714285714285714
45	44	0	0	3/4	2	1	I}					Bb	I		I		I						}	M	0	0	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	0.4375	0.0
45	44	1/4	1/4	3/4	2	1	I|PAC					Bb	I		I		I					PAC		M	0	0	-2, 2, -1		-2.0	-2.0	0	5	0.0	0.0	1.25	0.0
47	45	0	0	3/4	2	1	bVIM7					Bb	I		bVIM7		bVI	M	7					MM7	0	0	-6, -2, -5, -1		-6.0	-6.0	0	4	0.0	0.0	0.6875	0.0
47	45	1/4	1/4	3/4	2	1	Ger6					Bb	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-6, -2, -5, 4		4.0	-6.0	0	3	0.0	0.0	0.75	0.0
47	45	1/2	1/2	3/4	2	1	bVI					Bb	I		bVI		bVI							M	0	0	-6, -2, -5		-6.0	-6.0	1	7	0.125	0.125	1.3125	0.08695652173913043
48	46	1/4	1/4	3/4	2	1	bVI(#4)					Bb	I		bVI(#4)		bVI			#4				M	0	0	-6, -2, 7		-6.0	-6.0	2	1	0.6666666666666666	0.5	0.25	0.6666666666666666
48	46	1/2	1/2	3/4	2	1	bVI					Bb	I		bVI		bVI							M	0	0	-6, -2, -5		-6.0	-6.0	1	3	0.25	0.0625	0.625	0.09090909090909091
49	47	0	0	3/4	2	1	bVIM7					Bb	I		bVIM7		bVI	M	7					MM7	0	0	-6, -2, -5, -1		-6.0	-6.0	0	4	0.0	0.0	0.6875	0.0
49	47	1/4	1/4	3/4	2	1	Ger6					Bb	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-6, -2, -5, 4		4.0	-6.0	0	3	0.0	0.0	0.75	0.0
49	47	1/2	1/2	3/4	2	1	bVI					Bb	I		bVI		bVI							M	0	0	-6, -2, -5		-6.0	-6.0	2	7	0.2222222222222222	0.20833333333333334	1.2916666666666667	0.1388888888888889
50	48	1/4	1/4	3/4	2	1	Ger6					Bb	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-6, -2, -5, 4		4.0	-6.0	0	5	0.0	0.0	1.5	0.0
51	49	0	0	3/4	2	1	bVIM7					Bb	I		bVIM7		bVI	M	7					MM7	0	0	-6, -2, -5, -1		-6.0	-6.0	0	4	0.0	0.0	0.6875	0.0
51	49	1/4	1/4	3/4	2	1	Ger6					Bb	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-6, -2, -5, 4		4.0	-6.0	0	3	0.0	0.0	0.75	0.0
51	49	1/2	1/2	3/4	2	1	bVI					Bb	I		bVI		bVI							M	0	0	-6, -2, -5		-6.0	-6.0	1	7	0.125	0.125	1.3125	0.08695652173913043
52	50	1/4	1/4	3/4	2	1	bVI(#4)					Bb	I		bVI(#4)		bVI			#4				M	0	0	-6, -2, 7		-6.0	-6.0	2	1	0.6666666666666666	0.5	0.25	0.6666666666666666
52	50	1/2	1/2	3/4	2	1	bVI					Bb	I		bVI		bVI							M	0	0	-6, -2, -5		-6.0	-6.0	1	3	0.25	0.0625	0.625	0.09090909090909091
53	51	0	0	3/4	2	1	bVIM7					Bb	I		bVIM7		bVI	M	7					MM7	0	0	-6, -2, -5, -1		-6.0	-6.0	0	4	0.0	0.0	0.6875	0.0
53	51	1/4	1/4	3/4	2	1	Ger6					Bb	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-6, -2, -5, 4		4.0	-6.0	0	3	0.0	0.0	0.75	0.0
53	51	1/2	1/2	3/4	2	1	bVI					Bb	I		bVI		bVI							M	0	0	-6, -2, -5		-6.0	-6.0	1	3	0.25	0.0625	0.6875	0.08333333333333333
54	52	0	0	3/4	2	1	V(b64)}					Bb	I		V(b64)		V			b64			}	M	0	0	-1, -2, -5		-1.0	-1.0	1	4	0.2	0.08333333333333333	1.1666666666666667	0.06666666666666667
54	52	1/4	1/4	3/4	2	1	V|HC					Bb	I		V		V					HC		M	0	0	-1, 3, 0		-1.0	-1.0	1	2	0.3333333333333333	0.125	0.875	0.125
55	53	0	0	3/4	2	1	V7{					Bb	I		V7		V		7				{	Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	1	10	0.09090909090909091	0.25	2.1875	0.10256410256410256
56	54	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	2	8	0.2	0.1875	1.75	0.0967741935483871
57	55	0	0	3/4	2	1	IV					Bb	I		IV		IV							M	0	0	-3, 1, -2		-3.0	-3.0	2	9	0.18181818181818182	0.1875	2.0	0.08571428571428572
58	56	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	11	0.0	0.0	2.4375	0.0
59	57	0	0	3/4	2	1	V7(9)					Bb	I		V7(9)		V		7	9				Mm7	0	0	-1, 3, 0, -3	1	-1.0	-1.0	0	4	0.0	0.0	0.4375	0.0
59	57	1/4	1/4	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	2.0	0.0
60	58	0	0	3/4	2	1	I					Bb	I		I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	0.4375	0.0
60	58	1/4	1/4	3/4	2	1	I(#11)					Bb	I		I(#11)		I			#11				M	0	0	-2, 2, -1	4	-2.0	-2.0	0	7	0.0	0.0	2.0	0.0
61	59	0	0	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	1.1875	0.0
61	59	1/2	1/2	3/4	2	1	V7(9)					Bb	I		V7(9)		V		7	9				Mm7	0	0	-1, 3, 0, -3	1	-1.0	-1.0	0	5	0.0	0.0	1.0	0.0
62	60	0	0	3/4	2	1	I[I					Bb	I	I	I		I							M	0	0	-2, 2, -1		-2.0	-2.0	3	14	0.17647058823529413	0.1875	2.6875	0.06521739130434782
63	61	1/4	1/4	3/4	2	1	V7					Bb	I	I	V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	7	0.0	0.0	2.0	0.0
64	62	0	0	3/4	2	1	I					Bb	I	I	I		I							M	0	0	-2, 2, -1		-2.0	-2.0	0	5	0.0	0.0	0.4375	0.0
64	62	1/4	1/4	3/4	2	1	I(#11)]					Bb	I	I	I(#11)		I			#11				M	0	0	-2, 2, -1	4	-2.0	-2.0	0	7	0.0	0.0	2.0	0.0
65	63	0	0	3/4	2	1	V7					Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	1	11	0.08333333333333333	0.1875	2.0	0.08571428571428572
66	64	0	0	3/4	2	1	I}				1.0	Bb	I		I		I						}	M	0	0	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	0.4375	0.0
66	64	1/4	1/4	3/4	2	1	I|PAC				1.0	Bb	I		I		I					PAC		M	0	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	1.0	0.0
67	64	0	0	3/4	2	1	I}				2.0	Bb	I		I		I						}	M	0	0	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	0.5	0.0
67	64	1/4	1/4	3/4	2	1	I|PAC				2.0	Bb	I		I		I					PAC		M	0	0	-2, 2, -1		-2.0	-2.0	0	5	0.0	0.0	2.5	0.0
