mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	b.i{		b	i		i		i						{	m	1	1	5, 2, 6		5	5	2	9	0.18181818181818182	0.3333333333333333	1.9166666666666667	0.14814814814814814
3	2	0	0	3/4	2	1	V7		b	i		V7		V		7					Mm7	1	1	6, 10, 7, 4		6	6	2	10	0.16666666666666666	0.25	2.875	0.08
4	3	0	0	3/4	2	1	i		b	i		i		i							m	1	1	5, 2, 6		5	5	2	9	0.18181818181818182	0.3333333333333333	1.6666666666666667	0.16666666666666666
5	4	0	0	3/4	2	1	v		b	i		v		v							m	1	1	6, 3, 7		6	6	1	9	0.1	0.125	2.125	0.05555555555555555
6	5	0	0	3/4	2	1	VI		b	i		VI		VI							M	1	1	1, 5, 2		1	1	2	8	0.2	0.3333333333333333	1.6666666666666667	0.16666666666666666
7	6	0	0	3/4	2	1	III		b	i		III		III							M	1	1	2, 6, 3		2	2	2	8	0.2	0.25	2.375	0.09523809523809523
8	7	0	0	3/4	2	1	iv		b	i		iv		iv							m	1	1	4, 1, 5		4	4	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
8	7	1/4	1/4	3/4	2	1	ii%65(11)		b	i		ii%65(11)		ii	%	65	11				%7	1	1	4, 1, 5, 7	6	7	4	0	4	0.0	0.0	1.0	0.0
8	7	1/2	1/2	3/4	2	1	V7		b	i		V7		V		7					Mm7	1	1	6, 10, 7, 4		6	6	0	4	0.0	0.0	1.0	0.0
9	8	0	0	3/4	2	1	i}		b	i		i		i						}	m	1	1	5, 2, 6		5	5	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
9	8	1/4	1/4	3/4	2	1	i|PAC		b	i		i		i					PAC		m	1	1	5, 2, 6		5	5	2	13	0.13333333333333333	0.3333333333333333	2.5416666666666665	0.11594202898550723
11	10	0	0	3/4	2	1	V7		b	i		V7		V		7					Mm7	1	1	6, 10, 7, 4		6	6	2	10	0.16666666666666666	0.125	2.875	0.041666666666666664
12	11	0	0	3/4	2	1	i		b	i		i		i							m	1	1	5, 2, 6		5	5	2	9	0.18181818181818182	0.3333333333333333	1.6666666666666667	0.16666666666666666
13	12	0	0	3/4	2	1	v		b	i		v		v							m	1	1	6, 3, 7		6	6	1	9	0.1	0.0625	2.125	0.02857142857142857
14	13	0	0	3/4	2	1	VI		b	i		VI		VI							M	1	1	1, 5, 2		1	1	2	9	0.18181818181818182	0.3333333333333333	1.6666666666666667	0.16666666666666666
15	14	0	0	3/4	2	1	III		b	i		III		III							M	1	1	2, 6, 3		2	2	2	8	0.2	0.125	2.375	0.05
16	15	0	0	3/4	2	1	iv		b	i		iv		iv							m	1	1	4, 1, 5		4	4	1	4	0.2	0.08333333333333333	0.4166666666666667	0.16666666666666666
16	15	1/4	1/4	3/4	2	1	ii%65(11)		b	i		ii%65(11)		ii	%	65	11				%7	1	1	4, 1, 5, 7	6	7	4	0	4	0.0	0.0	1.0	0.0
16	15	1/2	1/2	3/4	2	1	V7		b	i		V7		V		7					Mm7	1	1	6, 10, 7, 4		6	6	0	4	0.0	0.0	1.0	0.0
17	16	0	0	3/4	2	1	i}		b	i		i		i						}	m	1	1	5, 2, 6		5	5	1	2	0.3333333333333333	0.0625	0.625	0.09090909090909091
17	16	1/4	1/4	3/4	2	1	i|PAC		b	i		i		i					PAC		m	1	1	5, 2, 6		5	5	0	4	0.0	0.0	1.0	0.0
18	17	0	0	3/4	2	1	v.V		b	v		V		V							M	1	1	7, 11, 8		7	7	1	2	0.3333333333333333	0.125	0.375	0.25
18	17	1/4	1/4	3/4	2	1	V7(94)		b	v		V7(94)		V		7	94				Mm7	1	1	7, 6, 8, 5	2	7	7	0	5	0.0	0.0	1.25	0.0
18	17	1/2	1/2	3/4	2	1	V7		b	v		V7		V		7					Mm7	1	1	7, 11, 8, 5		7	7	1	5	0.16666666666666666	0.125	1.125	0.1
19	18	0	0	3/4	2	1	i		b	v		i		i							m	1	1	6, 3, 7		6	6	1	7	0.125	0.125	1.625	0.07142857142857142
19	18	1/2	1/2	3/4	2	1	.Fr6/III		b	v		Fr6/III	Fr	V		43	b5	V/III			Fr	1	1	-1, 3, 5, 9		5	-1	0	5	0.0	0.0	1.0	0.0
20	19	0	0	3/4	2	1	V/III		b	v		V/III		V				III			M	1	1	4, 8, 5		4	4	1	4	0.2	0.125	0.875	0.125
20	19	1/4	1/4	3/4	2	1	V7(b94)/III		b	v		V7(b94)/III		V		7	b94	III			Mm7	1	1	4, 3, 5, 2	-1	4	4	0	5	0.0	0.0	1.25	0.0
20	19	1/2	1/2	3/4	2	1	V7/III		b	v		V7/III		V		7		III			Mm7	1	1	4, 8, 5, 2		4	4	1	5	0.16666666666666666	0.125	1.125	0.1
21	20	0	0	3/4	2	1	III		b	v		III		III							M	1	1	3, 7, 4		3	3	1	7	0.125	0.125	1.625	0.07142857142857142
21	20	1/2	1/2	3/4	2	1	.Fr6/V		b	v		Fr6/V	Fr	V		43	b5	V/V			Fr	1	1	3, 7, 9, 13		9	3	0	5	0.0	0.0	1.0	0.0
22	21	0	0	3/4	2	1	V/V		b	v		V/V		V				V			M	1	1	8, 12, 9		8	8	1	4	0.2	0.125	0.875	0.125
22	21	1/4	1/4	3/4	2	1	V7(94)/V		b	v		V7(94)/V		V		7	94	V			Mm7	1	1	8, 7, 9, 6	10	8	8	1	4	0.2	0.25	1.0	0.2
22	21	1/2	1/2	3/4	2	1	V7/V		b	v		V7/V		V		7		V			Mm7	1	1	8, 12, 9, 6		8	8	1	5	0.16666666666666666	0.125	1.125	0.1
23	22	0	0	3/4	2	1	V7		b	v		V7		V		7					Mm7	1	1	7, 11, 8, 5		7	7	1	8	0.1111111111111111	0.125	1.875	0.0625
23	22	1/2	1/2	3/4	2	1	V(64)		b	v		V(64)		V			64				M	1	1	7, 6, 3		7	7	0	4	0.0	0.0	1.0	0.0
24	23	0	0	3/4	2	1	V7		b	v		V7		V		7					Mm7	1	1	7, 11, 8, 5		7	7	2	10	0.16666666666666666	0.25	2.25	0.1
24	23	1/2	1/2	3/4	2	1	V7(6)		b	v		V7(6)		V		7	6				Mm7	1	1	7, 11, 3, 5		7	7	0	5	0.0	0.0	1.25	0.0
25	24	0	0	3/4	2	1	i|PAC}		b	v		i		i					PAC	}	m	1	1	6, 3, 7		6	6	0	7	0.0	0.0	2.0	0.0
25	24	1/2	1/2	3/4	2	1	.Fr6{		b	v		Fr6	Fr	V		43	b5	V		{	Fr	1	1	2, 6, 8, 12		8	2	0	4	0.0	0.0	1.0	0.0
26	25	0	0	3/4	2	1	V		b	v		V		V							M	1	1	7, 11, 8		7	7	1	4	0.2	0.125	0.875	0.125
26	25	1/4	1/4	3/4	2	1	V7(94)		b	v		V7(94)		V		7	94				Mm7	1	1	7, 6, 8, 5	2	7	7	0	5	0.0	0.0	1.25	0.0
26	25	1/2	1/2	3/4	2	1	V7		b	v		V7		V		7					Mm7	1	1	7, 11, 8, 5		7	7	1	5	0.16666666666666666	0.125	1.125	0.1
27	26	0	0	3/4	2	1	i		b	v		i		i							m	1	1	6, 3, 7		6	6	1	7	0.125	0.125	1.625	0.07142857142857142
27	26	1/2	1/2	3/4	2	1	.Fr6/III		b	v		Fr6/III	Fr	V		43	b5	V/III			Fr	1	1	-1, 3, 5, 9		5	-1	0	5	0.0	0.0	1.0	0.0
28	27	0	0	3/4	2	1	V/III		b	v		V/III		V				III			M	1	1	4, 8, 5		4	4	1	4	0.2	0.125	0.875	0.125
28	27	1/4	1/4	3/4	2	1	V7(b94)/III		b	v		V7(b94)/III		V		7	b94	III			Mm7	1	1	4, 3, 5, 2	-1	4	4	0	5	0.0	0.0	1.25	0.0
28	27	1/2	1/2	3/4	2	1	V7/III		b	v		V7/III		V		7		III			Mm7	1	1	4, 8, 5, 2		4	4	1	5	0.16666666666666666	0.125	1.125	0.1
29	28	0	0	3/4	2	1	III		b	v		III		III							M	1	1	3, 7, 4		3	3	1	7	0.125	0.125	1.625	0.07142857142857142
29	28	1/2	1/2	3/4	2	1	.Fr6/V		b	v		Fr6/V	Fr	V		43	b5	V/V			Fr	1	1	3, 7, 9, 13		9	3	0	5	0.0	0.0	1.0	0.0
30	29	0	0	3/4	2	1	V/V		b	v		V/V		V				V			M	1	1	8, 12, 9		8	8	1	4	0.2	0.125	0.875	0.125
30	29	1/4	1/4	3/4	2	1	V7(94)/V		b	v		V7(94)/V		V		7	94	V			Mm7	1	1	8, 7, 9, 6	10	8	8	1	4	0.2	0.25	1.0	0.2
30	29	1/2	1/2	3/4	2	1	V7/V		b	v		V7/V		V		7		V			Mm7	1	1	8, 12, 9, 6		8	8	1	5	0.16666666666666666	0.125	1.125	0.1
31	30	0	0	3/4	2	1	V7		b	v		V7		V		7					Mm7	1	1	7, 11, 8, 5		7	7	1	9	0.1	0.125	2.125	0.05555555555555555
31	30	1/2	1/2	3/4	2	1	V(64)		b	v		V(64)		V			64				M	1	1	7, 6, 3		7	7	0	4	0.0	0.0	1.0	0.0
32	31	0	0	3/4	2	1	V7		b	v		V7		V		7					Mm7	1	1	7, 11, 8, 5		7	7	4	17	0.19047619047619047	0.3125	3.4375	0.08333333333333333
33	32	0	0	3/4	2	1	i|PAC}		b	v		i		i					PAC	}	m	1	1	6, 3, 7		6	6	0	8	0.0	0.0	2.25	0.0
34	33	0	0	3/4	2	1	iv		b	v		iv		iv							m	1	1	5, 2, 6		5	5	2	11	0.15384615384615385	0.125	2.375	0.05
35	34	0	0	3/4	2	1	i		b	v		i		i							m	1	1	6, 3, 7		6	6	0	9	0.0	0.0	2.5	0.0
36	35	0	0	3/4	2	1	VI		b	v		VI		VI							M	1	1	2, 6, 3		2	2	2	11	0.15384615384615385	0.125	2.375	0.05
37	36	0	0	3/4	2	1	III		b	v		III		III							M	1	1	3, 7, 4		3	3	0	9	0.0	0.0	2.5	0.0
38	37	0	0	3/4	2	1	iv		b	v		iv		iv							m	1	1	5, 2, 6		5	5	2	11	0.15384615384615385	0.125	2.375	0.05
39	38	0	0	3/4	2	1	V(64)/III		b	v		V(64)/III		V			64	III			M	1	1	4, 3, 7		4	4	0	9	0.0	0.0	2.5	0.0
40	39	0	0	3/4	2	1	V7(9)/III		b	v		V7(9)/III		V		7	9	III			Mm7	1	1	4, 8, 5, 2	6	4	4	1	9	0.1	0.125	1.375	0.08333333333333333
40	39	1/2	1/2	3/4	2	1	V7/III		b	v		V7/III		V		7		III			Mm7	1	1	4, 8, 5, 2		4	4	0	4	0.0	0.0	1.0	0.0
41	40	0	0	3/4	2	1	I/III|IAC}		b	v		I/III		I				III	IAC	}	M	1	1	3, 7, 4		3	3	0	6	0.0	0.0	1.75	0.0
41	40	1/2	1/2	3/4	2	1	i{	i6{	b	v		i		i						{	m	1	1	6, 3, 7		6	6	0	2	0.0	0.0	0.5	0.0
42	41	0	0	3/4	2	1	iv		b	v		iv		iv							m	1	1	5, 2, 6		5	5	2	11	0.15384615384615385	0.125	2.375	0.05
43	42	0	0	3/4	2	1	i		b	v		i		i							m	1	1	6, 3, 7		6	6	0	9	0.0	0.0	2.5	0.0
44	43	0	0	3/4	2	1	VI		b	v		VI		VI							M	1	1	2, 6, 3		2	2	2	11	0.15384615384615385	0.125	2.375	0.05
45	44	0	0	3/4	2	1	III		b	v		III		III							M	1	1	3, 7, 4		3	3	0	9	0.0	0.0	2.5	0.0
46	45	0	0	3/4	2	1	iv		b	v		iv		iv							m	1	1	5, 2, 6		5	5	2	11	0.15384615384615385	0.125	2.375	0.05
47	46	0	0	3/4	2	1	V(64)/III		b	v		V(64)/III		V			64	III			M	1	1	4, 3, 7		4	4	0	9	0.0	0.0	2.5	0.0
48	47	0	0	3/4	2	1	V7(9)/III		b	v		V7(9)/III		V		7	9	III			Mm7	1	1	4, 8, 5, 2	6	4	4	1	9	0.1	0.125	1.375	0.08333333333333333
48	47	1/2	1/2	3/4	2	1	V7/III		b	v		V7/III		V		7		III			Mm7	1	1	4, 8, 5, 2		4	4	0	4	0.0	0.0	1.0	0.0
49	48	0	0	3/4	2	1	I/III|IAC}		b	v		I/III		I				III	IAC	}	M	1	1	3, 7, 4		3	3	0	5	0.0	0.0	1.25	0.0
49	48	1/2	1/2	3/4	2	1	iv{		b	v		iv		iv						{	m	1	1	5, 2, 6		5	5	1	4	0.2	0.25	1.0	0.2
50	49	0	0	3/4	2	1	V7(9)		b	v		V7(9)		V		7	9				Mm7	1	1	7, 11, 8, 5	2	7	7	1	5	0.16666666666666666	0.125	1.125	0.1
50	49	1/4	1/4	3/4	2	1	V7(94)		b	v		V7(94)		V		7	94				Mm7	1	1	7, 6, 8, 5	2	7	7	0	5	0.0	0.0	1.25	0.0
50	49	1/2	1/2	3/4	2	1	V7		b	v		V7		V		7					Mm7	1	1	7, 11, 8, 5		7	7	1	5	0.16666666666666666	0.125	1.125	0.1
51	50	0	0	3/4	2	1	i		b	v		i		i							m	1	1	6, 3, 7		6	6	1	7	0.125	0.125	1.625	0.07142857142857142
