mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	C.I[I{		C	I	I	I	I						{	M	0	0	0, 4, 1		0	0	2	13	0.13333333333333333	0.25	2.25	0.1
1	1	1/2	1/2	3/4	2	1	IV		C	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1	1	4	0.2	0.25	1.0	0.2
2	2	0	0	3/4	2	1	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0	0	14	0.0	0.0	2.25	0.0
2	2	1/2	1/2	3/4	2	1	V		C	I	I	V	V							M	0	0	1, 5, 2		1	1	2	2	0.5	0.5	0.5	0.5
3	3	0	0	3/4	2	1	I]		C	I	I	I	I							M	0	0	0, 4, 1		0	0	2	13	0.13333333333333333	0.25	2.25	0.1
3	3	1/2	1/2	3/4	2	1	IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	1.5	0.0
4	4	0	0	3/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0	1	17	0.05555555555555555	0.125	2.75	0.043478260869565216
5	5	0	0	3/4	2	1	V65/V		C	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6	0	6	0.0	0.0	1.25	0.0
5	5	1/4	1/4	3/4	2	1	V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	1	11	0.08333333333333333	0.0	2.5	0.0
6	6	0	0	3/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	3	9	0.25	0.375	1.875	0.16666666666666666
7	7	0	0	3/4	2	1	V7(9)		C	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1	0	8	0.0	0.0	1.4375	0.0
7	7	1/2	1/2	3/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	5	0.0	0.0	1.0	0.0
8	8	0	0	3/4	2	1	I(64)		C	I		I(64)	I			64				M	0	0	0, -1, 3		0	0	1	6	0.14285714285714285	0.0	1.5	0.0
8	8	1/2	1/2	3/4	2	1	I|IAC}		C	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
9	9	0	0	3/4	2	1	V65/V{		C	I		V65/V	V		65		V		{	Mm7	0	0	6, 3, 0, 2		2	6	0	7	0.0	0.0	1.25	0.0
9	9	1/4	1/4	3/4	2	1	V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	1	11	0.08333333333333333	0.0	2.5	0.0
10	10	0	0	3/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	2	10	0.16666666666666666	0.25	2.0	0.1111111111111111
11	11	0	0	3/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	1	12	0.07692307692307693	0.0625	2.4375	0.025
12	12	0	0	3/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0	2	11	0.15384615384615385	0.20833333333333334	2.0416666666666665	0.0925925925925926
13	13	0	0	3/4	2	1	V65/V		C	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6	0	6	0.0	0.0	1.25	0.0
13	13	1/4	1/4	3/4	2	1	V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	1	11	0.08333333333333333	0.0	2.5	0.0
14	14	0	0	3/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	3	9	0.25	0.375	1.875	0.16666666666666666
15	15	0	0	3/4	2	1	V7(9)		C	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1	0	8	0.0	0.0	1.5	0.0
15	15	1/2	1/2	3/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	5	0.0	0.0	1.0	0.0
16	16	0	0	3/4	2	1	I(64)		C	I		I(64)	I			64				M	0	0	0, -1, 3		0	0	1	6	0.14285714285714285	0.0	1.5	0.0
16	16	1/2	1/2	3/4	2	1	I|IAC}		C	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
17	17	0	0	3/4	2	1	V65/V{		C	I		V65/V	V		65		V		{	Mm7	0	0	6, 3, 0, 2		2	6	0	7	0.0	0.0	1.25	0.0
17	17	1/4	1/4	3/4	2	1	V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	1	11	0.08333333333333333	0.0	2.5	0.0
18	18	0	0	3/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	2	10	0.16666666666666666	0.25	2.0	0.1111111111111111
19	19	0	0	3/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	1	12	0.07692307692307693	0.0625	2.4375	0.025
20	20	0	0	3/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0	2	11	0.15384615384615385	0.20833333333333334	2.0416666666666665	0.0925925925925926
21	21	0	0	3/4	2	1	V7/V		C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	0	12	0.0	0.0	1.5	0.0
21	21	1/4	1/4	3/4	2	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1	0	10	0.0	0.0	2.5	0.0
22	22	0	0	3/4	2	1	V7/V		C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	0	14	0.0	0.0	1.75	0.0
22	22	1/4	1/4	3/4	2	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1	2	8	0.2	0.25	1.75	0.125
23	23	0	0	3/4	2	1	V7/V		C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	0	12	0.0	0.0	1.5	0.0
23	23	1/4	1/4	3/4	2	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1	0	10	0.0	0.0	2.5	0.0
24	24	0	0	3/4	2	1	V7/V		C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	0	12	0.0	0.0	1.5	0.0
24	24	1/4	1/4	3/4	2	1	V|HC}		C	I		V	V					HC	}	M	0	0	1, 5, 2		1	1	0	6	0.0	0.0	1.5	0.0
24	24	1/2	1/2	3/4	2	1	V65/V{		C	I		V65/V	V		65		V		{	Mm7	0	0	6, 3, 0, 2		2	6	2	5	0.2857142857142857	0.125	1.125	0.1
25	25	0	0	3/4	2	1	viio43(4)		C	I		viio43(4)	vii	o	43	4				o7	0	0	-1, -4, 5, 4		5	-1	1	4	0.2	0.25	0.875	0.2222222222222222
25	25	1/8	1/8	3/4	2	1	viio43		C	I		viio43	vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1	0	1	0.0	0.0	0.125	0.0
25	25	1/4	1/4	3/4	2	1	V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	1	9	0.1	0.125	2.125	0.05555555555555555
26	26	0	0	3/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	3	9	0.25	0.375	1.875	0.16666666666666666
27	27	0	0	3/4	2	1	V7(9)		C	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1	0	8	0.0	0.0	1.5	0.0
27	27	1/2	1/2	3/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	5	0.0	0.0	1.0	0.0
28	28	0	0	3/4	2	1	I(64)		C	I		I(64)	I			64				M	0	0	0, -1, 3		0	0	1	6	0.14285714285714285	0.0	1.5	0.0
28	28	1/2	1/2	3/4	2	1	I|IAC}		C	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
29	29	0	0	3/4	2	1	V65/V{		C	I		V65/V	V		65		V		{	Mm7	0	0	6, 3, 0, 2		2	6	0	7	0.0	0.0	1.25	0.0
29	29	1/4	1/4	3/4	2	1	V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	1	11	0.08333333333333333	0.0	2.5	0.0
30	30	0	0	3/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	2	10	0.16666666666666666	0.25	2.0	0.1111111111111111
