mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	bb.V{		bb	i		V		V						{	M	1	1	-1, 3, 0		-1	-1	0	6	0.0	0.0	1.75	0.0
3	2	0	0	3/4	2	1	VM7		bb	i		VM7		V	M	7					MM7	1	1	-1, 3, 0, 4		-1	-1	0	2	0.0	0.0	0.875	0.0
3	2	3/8	3/8	3/4	2	1	#v%7		bb	i		#v%7		#v	%	7					%7	1	1	6, 3, 0, 4		6	6	0	3	0.0	0.0	0.625	0.0
4	3	0	0	3/4	2	1	#vo7		bb	i		#vo7		#v	o	7					o7	1	1	6, 3, 0, -3		6	6	0	2	0.0	0.0	0.875	0.0
4	3	3/8	3/8	3/4	2	1	ii64		bb	i		ii64		ii		64					m	1	1	1, 0, -3		0	1	0	3	0.0	0.0	0.625	0.0
5	4	0	0	3/4	2	1	#vi		bb	i		#vi		#vi							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.875	0.0
5	4	3/8	3/8	3/4	2	1	##vio}		bb	i		##vio		##vi	o					}	o	1	1	8, 5, 2		8	8	0	3	0.0	0.0	0.625	0.0
6	5	0	0	3/4	2	1	V7(6#2){		bb	i		V7(6#2)		V		7	6#2			{	Mm7	1	1	-1, 1, -5, -3		-1	-1	1	4	0.2	0.375	1.25	0.23076923076923078
6	5	3/8	3/8	3/4	2	1	V7(6)		bb	i		V7(6)		V		7	6				Mm7	1	1	-1, 3, -5, -3		-1	-1	0	5	0.0	0.0	1.125	0.0
7	6	0	0	3/4	2	1	i(#7)		bb	i		i(#7)		i			#7				m	1	1	-2, -5, -1	3	-2	-2	0	3	0.0	0.0	1.1875	0.0
7	6	3/16	3/16	3/4	2	1	i		bb	i		i		i							m	1	1	-2, -5, -1		-2	-2	0	4	0.0	0.0	0.8125	0.0
7	6	1/2	1/2	3/4	2	1	V7/V/III		bb	i		V7/V/III		V		7		V/III			Mm7	1	1	-3, 1, -2, -5		-3	-3	0	4	0.0	0.0	1.0	0.0
8	7	0	0	3/4	2	1	V7(6^2)/III		bb	i		V7(6^2)/III		V		7	6^2	III			Mm7	1	1	-4, -2, -1, -6		-4	-4	0	5	0.0	0.0	1.625	0.0
8	7	3/8	3/8	3/4	2	1	V7(6)/III		bb	i		V7(6)/III		V		7	6	III			Mm7	1	1	-4, 0, -1, -6		-4	-4	0	5	0.0	0.0	1.125	0.0
9	8	0	0	3/4	2	1	III(7)		bb	i		III(7)		III			7				M	1	1	-5, -1, -4	0	-5	-5	0	3	0.0	0.0	1.1875	0.0
9	8	3/16	3/16	3/4	2	1	III		bb	i		III		III							M	1	1	-5, -1, -4		-5	-5	0	4	0.0	0.0	0.8125	0.0
9	8	1/2	1/2	3/4	2	1	ii%7/v		bb	i		ii%7/v		ii	%	7		v			%7	1	1	1, -2, -5, -1		1	1	0	4	0.0	0.0	1.0	0.0
10	9	0	0	3/4	2	1	V7(64^2)/v		bb	i		V7(64^2)/v		V		7	64^2	v			Mm7	1	1	0, -5, -1, -4, -2		0	0	0	6	0.0	0.0	1.875	0.0
10	9	3/8	3/8	3/4	2	1	V7(6)/v		bb	i		V7(6)/v		V		7	6	v			Mm7	1	1	0, 4, -4, -2		0	0	1	5	0.16666666666666666	0.25	1.125	0.18181818181818182
11	10	0	0	3/4	2	1	v(#7)		bb	i		v(#7)		v			#7				m	1	1	-1, -4, 0	4	-1	-1	0	3	0.0	0.0	1.4375	0.0
11	10	3/16	3/16	3/4	2	1	v		bb	i		v		v							m	1	1	-1, -4, 0		-1	-1	0	8	0.0	0.0	1.8125	0.0
12	11	0	0	3/4	2	1	V7		bb	i		V7		V		7					Mm7	1	1	-1, 3, 0, -3		-1	-1	0	4	0.0	0.0	1.125	0.0
12	11	3/16	3/16	3/4	2	1	V7(9)		bb	i		V7(9)		V		7	9				Mm7	1	1	-1, 3, 0, -3	-6	-1	-1	0	7	0.0	0.0	1.375	0.0
12	11	1/2	1/2	3/4	2	1	V7		bb	i		V7		V		7					Mm7	1	1	-1, 3, 0, -3		-1	-1	0	3	0.0	0.0	0.75	0.0
13	12	0	0	3/4	2	1	i[i(9)}		bb	i	i	i(9)		i			9			}	m	1	1	-2, -5, -1	0	-2	-2	0	5	0.0	0.0	1.5	0.0
13	12	3/8	3/8	3/4	2	1	i		bb	i	i	i		i							m	1	1	-2, -5, -1		-2	-2	2	4	0.3333333333333333	0.25	0.75	0.25
14	13	0	0	3/4	2	1	V7(6){		bb	i	i	V7(6)		V		7	6			{	Mm7	1	1	-1, 3, -5, -3		-1	-1	1	4	0.2	0.25	1.25	0.16666666666666666
