mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	.E.I{	E	I		I		I						{	M	0	0	4, 8, 5		4	4	0	24	0.0	0.0	6.0	0.0
5	5	0	0	3/4	2	1	I64	E	I		I64		I		64					M	0	0	5, 4, 8		4	5	1	3	0.25	0.125	0.625	0.16666666666666666
5	5	1/4	1/4	3/4	2	1	I6(4)	E	I		I6(4)		I		6	4				M	0	0	3, 5, 4		4	3	0	3	0.0	0.0	0.75	0.0
5	5	1/2	1/2	3/4	2	1	I6	E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	3	0.0	0.0	0.75	0.0
6	6	0	0	3/4	2	1	I	E	I		I		I							M	0	0	4, 8, 5		4	4	1	8	0.1111111111111111	0.0	2.25	0.0
7	7	0	0	3/4	2	1	I64	E	I		I64		I		64					M	0	0	5, 4, 8		4	5	1	3	0.25	0.125	0.5625	0.18181818181818182
7	7	1/4	1/4	3/4	2	1	I6(4)	E	I		I6(4)		I		6	4				M	0	0	3, 5, 4		4	3	0	3	0.0	0.0	0.75	0.0
7	7	1/2	1/2	3/4	2	1	I6	E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	3	0.0	0.0	0.75	0.0
8	8	0	0	3/4	2	1	I[I}	E	I	I	I		I						}	M	0	0	4, 8, 5		4	4	1	37	0.02631578947368421	0.0	8.0	0.0
11	11	0	0	3/4	2	1	V2	E	I	I	V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	8	16	0.3333333333333333	1.3333333333333333	3.1666666666666665	0.2962962962962963
12	12	0	0	3/4	2	1	I(1311)	E	I	I	I(1311)		I			1311				M	0	0	4, 8, 5	7, 3	4	4	0	6	0.0	0.0	1.25	0.0
12	12	3/16	3/16	3/4	2	1	I	E	I	I	I		I							M	0	0	4, 8, 5		4	4	0	12	0.0	0.0	3.125	0.0
13	13	0	0	3/4	2	1	V2	E	I	I	V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	8	16	0.3333333333333333	1.3333333333333333	3.1666666666666665	0.2962962962962963
14	14	0	0	3/4	2	1	I(1311)	E	I	I	I(1311)		I			1311				M	0	0	4, 8, 5	7, 3	4	4	0	6	0.0	0.0	1.25	0.0
14	14	3/16	3/16	3/4	2	1	I]	E	I	I	I		I							M	0	0	4, 8, 5		4	4	0	12	0.0	0.0	3.125	0.0
15	15	0	0	3/4	2	1	V(6)/V	E	I		V(6)/V		V			6	V			M	0	0	6, 10, 9		6	6	0	3	0.0	0.0	0.5	0.0
15	15	3/16	3/16	3/4	2	1	V7/V	E	I		V7/V		V		7		V			Mm7	0	0	6, 10, 7, 4		6	6	0	10	0.0	0.0	2.625	0.0
16	16	0	0	3/4	2	1	V|HC}	E	I		V		V					HC	}	M	0	0	5, 9, 6		5	5	0	10	0.0	0.0	2.5625	0.0
17	17	0	0	3/4	2	1	V64{	E	I		V64		V		64				{	M	0	0	6, 5, 9		5	6	1	3	0.25	0.125	0.625	0.16666666666666666
17	17	1/4	1/4	3/4	2	1	V6(4)	E	I		V6(4)		V		6	4				M	0	0	4, 6, 5		5	4	0	3	0.0	0.0	0.75	0.0
17	17	1/2	1/2	3/4	2	1	V6	E	I		V6		V		6					M	0	0	9, 6, 5		5	9	0	3	0.0	0.0	0.75	0.0
18	18	0	0	3/4	2	1	V	E	I		V		V							M	0	0	5, 9, 6		5	5	1	8	0.1111111111111111	0.0	2.25	0.0
