mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	a.i{	a	i		i		i						{	m	1	1	3, 0, 4		3.0	3.0	1	3	0.25	0.125	0.625	0.16666666666666666
2	2	0	0	3/4	2	1	V	a	i		V		V							M	1	1	4, 8, 5		4.0	4.0	0	3	0.0	0.0	0.75	0.0
2	2	1/2	1/2	3/4	2	1	V7	a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	1	4	0.2	0.125	0.875	0.125
3	3	1/4	1/4	3/4	2	1	V7(#94)	a	i		V7(#94)		V		7	#94				Mm7	1	1	4, 3, 5, 2	6	4.0	4.0	0	4	0.0	0.0	1.0	0.0
3	3	1/2	1/2	3/4	2	1	V7	a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	0	4	0.0	0.0	1.0	0.0
4	4	0	0	3/4	2	1	i	a	i		i		i							m	1	1	3, 0, 4		3.0	3.0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
4	4	1/2	1/2	3/4	2	1	bVI+/III	a	i		bVI+/III		bVI	+			III			+	1	1	-4, 0, 4		-4.0	-4.0	0	1	0.0	0.0	0.25	0.0
5	5	0	0	3/4	2	1	V(64)/III	a	i		V(64)/III		V			64	III			M	1	1	1, 0, 4		1.0	1.0	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
5	5	1/2	1/2	3/4	2	1	vi2/III	a	i		vi2/III		vi		2		III			mm7	1	1	1, 3, 0, 4		3.0	1.0	0	4	0.0	0.0	1.0	0.0
6	6	0	0	3/4	2	1	V/III	a	i		V/III		V				III			M	1	1	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.25	0.0
6	6	1/4	1/4	3/4	2	1	V7/III	a	i		V7/III		V		7		III			Mm7	1	1	1, 5, 2, -1		1.0	1.0	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
7	7	1/4	1/4	3/4	2	1	V7(94)	a	i		V7(94)		V		7	94				Mm7	1	1	4, 3, 5, 2	-1	4.0	4.0	2	2	0.5	0.5	0.5	0.5
7	7	1/2	1/2	3/4	2	1	V7/III	a	i		V7/III		V		7		III			Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	4	0.0	0.0	1.0	0.0
8	8	0	0	3/4	2	1	III	a	i		III		III							M	1	1	0, 4, 1		0.0	0.0	1	2	0.3333333333333333	0.0625	0.4375	0.125
8	8	1/4	1/4	3/4	2	1	Fr6/V	a	i		Fr6/V	Fr	V		43	b5	V/V			Fr	1	1	0, 4, 6, 10		6.0	0.0	0	9	0.0	0.0	1.5	0.0
9	9	0	0	3/4	2	1	V64/V	a	i		V64/V		V		64		V			M	1	1	6, 5, 9		5.0	6.0	4	3	0.5714285714285714	0.875	0.625	0.5833333333333334
9	9	1/2	1/2	3/4	2	1	V7/V	a	i		V7/V		V		7		V			Mm7	1	1	5, 9, 6, 3		5.0	5.0	1	4	0.2	0.125	0.875	0.125
10	10	0	0	3/4	2	1	V	a	i		V		V							M	1	1	4, 8, 5		4.0	4.0	0	8	0.0	0.0	1.9375	0.0
10	10	1/2	1/2	3/4	2	1	V7/iv	a	i		V7/iv		V		7		iv			Mm7	1	1	3, 7, 4, 1		3.0	3.0	0	3	0.0	0.0	0.75	0.0
11	11	0	0	3/4	2	1	iv	a	i		iv		iv							m	1	1	2, -1, 3		2.0	2.0	0	7	0.0	0.0	1.5	0.0
11	11	1/2	1/2	3/4	2	1	V7	a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	1	4	0.2	0.0625	0.9375	0.0625
12	12	0	0	3/4	2	1	i}	a	i		i		i						}	m	1	1	3, 0, 4		3.0	3.0	2	7	0.2222222222222222	0.0625	2.375	0.02564102564102564
13	13	0	0	3/4	2	1	V7/V{	a	i		V7/V		V		7		V		{	Mm7	1	1	5, 9, 6, 3		5.0	5.0	1	11	0.08333333333333333	0.125	2.375	0.05
14	14	0	0	3/4	2	1	V	a	i		V		V							M	1	1	4, 8, 5		4.0	4.0	1	9	0.1	0.125	2.375	0.05
15	15	0	0	3/4	2	1	V7/bV	a	i		V7/bV		V		7		bV			Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0	1	13	0.07142857142857142	0.125	2.375	0.05
16	16	0	0	3/4	2	1	bV	a	i		bV		bV							M	1	1	-3, 1, -2		-3.0	-3.0	2	9	0.18181818181818182	0.25	2.25	0.1
17	17	0	0	3/4	2	1	V7/IV	a	i		V7/IV		V		7		IV			Mm7	1	1	3, 7, 4, 1		3.0	3.0	1	13	0.07142857142857142	0.125	2.375	0.05
18	18	0	0	3/4	2	1	V(64)/IV	a	i		V(64)/IV		V			64	IV			M	1	1	3, 2, 6		3.0	3.0	2	6	0.25	0.25	1.25	0.16666666666666666
18	18	1/2	1/2	3/4	2	1	viio2/V/IV	a	i		viio2/V/IV		vii	o	2		V/IV			o7	1	1	-1, 8, 5, 2		8.0	-1.0	0	5	0.0	0.0	1.0	0.0
19	19	0	0	3/4	2	1	V/IV	a	i		V/IV		V				IV			M	1	1	3, 7, 4		3.0	3.0	1	2	0.3333333333333333	0.0625	0.4375	0.125
19	19	1/4	1/4	3/4	2	1	V7(#6)/IV	a	i		V7(#6)/IV		V		7	#6	IV			Mm7	1	1	3, 7, 4, 13		3.0	3.0	2	2	0.5	0.4375	0.5	0.4666666666666667
19	19	7/16	7/16	3/4	2	1	V7/IV	a	i		V7/IV		V		7		IV			Mm7	1	1	3, 7, 4, 1		3.0	3.0	1	5	0.16666666666666666	0.0625	1.0	0.058823529411764705
20	20	0	0	3/4	2	1	V(64)/IV	a	i		V(64)/IV		V			64	IV			M	1	1	3, 2, 6		3.0	3.0	3	9	0.25	0.1875	2.0625	0.08333333333333333
21	21	0	0	3/4	2	1	V7/IV	a	i		V7/IV		V		7		IV			Mm7	1	1	3, 7, 4, 1		3.0	3.0	2	11	0.15384615384615385	0.2708333333333333	1.9791666666666667	0.12037037037037036
