mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
28	28	1/2	1/2	3/4	2	1	vi.iv7	Ab	vi		iv7	iv		7						mm7	0	1	-2, -5, -1, -4		-2.0	-2.0	0	1	0.0	0.0	0.25	0.0
29	29	0	0	3/4	2	1	V7{	Ab	vi		V7	V		7					{	Mm7	0	1	0, 4, 1, -2		0.0	0.0	0	7	0.0	0.0	1.75	0.0
30	30	0	0	3/4	2	1	V(64)	Ab	vi		V(64)	V			64					M	0	1	0, -1, -4		0.0	0.0	2	4	0.3333333333333333	0.0625	0.9375	0.0625
30	30	1/2	1/2	3/4	2	1	VI6	Ab	vi		VI6	VI		6						M	0	1	-1, -4, -5		-5.0	-1.0	1	5	0.16666666666666666	0.125	1.125	0.1
31	31	1/4	1/4	3/4	2	1	iio6	Ab	vi		iio6	ii	o	6						o	0	1	-2, -5, 1		1.0	-2.0	0	3	0.0	0.0	1.0	0.0
31	31	1/2	1/2	3/4	2	1	V(9)	Ab	vi		V(9)	V			9					M	0	1	0, 4, 1	-5	0.0	0.0	1	2	0.3333333333333333	0.125	0.375	0.25
32	32	0	0	3/4	2	1	VI	Ab	vi		VI	VI								M	0	1	-5, -1, -4		-5.0	-5.0	2	3	0.4	0.125	0.375	0.25
32	32	1/4	1/4	3/4	2	1	viio2/V	Ab	vi		viio2/V	vii	o	2		V				o7	0	1	-4, 5, 2, -1		5.0	-4.0	0	3	0.0	0.0	0.75	0.0
32	32	1/2	1/2	3/4	2	1	V(#9#76)	Ab	vi		V(#9#76)	V			#9#76					M	0	1	0, 4, -4	2, 5	0.0	0.0	0	2	0.0	0.0	0.5	0.0
33	33	0	0	3/4	2	1	V	Ab	vi		V	V								M	0	1	0, 4, 1		0.0	0.0	0	6	0.0	0.0	1.375	0.0
33	33	5/8	5/8	3/4	2	1	V7	Ab	vi		V7	V		7						Mm7	0	1	0, 4, 1, -2		0.0	0.0	0	1	0.0	0.0	0.125	0.0
34	34	0	0	3/4	2	1	i	Ab	vi		i	i								m	0	1	-1, -4, 0		-1.0	-1.0	2	5	0.2857142857142857	0.0625	1.1875	0.05
34	34	1/2	1/2	3/4	2	1	iio64/V	Ab	vi		iio64/V	ii	o	64		V				o	0	1	-4, 2, -1		2.0	-4.0	0	3	0.0	0.0	0.75	0.0
35	35	0	0	3/4	2	1	V(64)/V	Ab	vi		V(64)/V	V			64	V				M	0	1	1, 0, 4		1.0	1.0	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
35	35	1/2	1/2	3/4	2	1	V7/V	Ab	vi		V7/V	V		7		V				Mm7	0	1	1, 5, 2, -1		1.0	1.0	1	4	0.2	0.125	0.875	0.125
36	36	0	0	3/4	2	1	V|HC	Ab	vi		V	V						HC		M	0	1	0, 4, 1		0.0	0.0	2	7	0.2222222222222222	0.0625	1.6875	0.03571428571428571
36	36	1/2	1/2	3/4	2	1	iv6/V	Ab	vi		iv6/V	iv		6		V				m	0	1	-4, 0, -1		-1.0	-4.0	2	8	0.2	0.0625	1.6875	0.03571428571428571
37	37	1/4	1/4	3/4	2	1	V64	Ab	vi		V64	V		64						M	0	1	1, 0, 4		0.0	1.0	0	4	0.0	0.0	1.25	0.0
37	37	1/2	1/2	3/4	2	1	iv6/V	Ab	vi		iv6/V	iv		6		V				m	0	1	-4, 0, -1		-1.0	-4.0	0	3	0.0	0.0	0.75	0.0
38	38	0	0	3/4	2	1	V}	Ab	vi		V	V							}	M	0	1	0, 4, 1		0.0	0.0	5	13	0.2777777777777778	0.5625	3.1875	0.15
