mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
32	31	0	0	3/4	2	1	V7					g#	III		V7	V		7					Mm7	1	0	6, 10, 7, 4		6	6	0	2	0.0	0.0	0.5	0.0
32	31	1/4	1/4	3/4	2	1	V					g#	III		V	V							M	1	0	6, 10, 7		6	6	0	8	0.0	0.0	2.0	0.0
33	32	0	0	3/4	2	1	I					g#	III		I	I							M	1	0	5, 9, 6		5	5	0	3	0.0	0.0	0.5	0.0
33	32	1/4	1/4	3/4	2	1	I(+6)					g#	III		I(+6)	I			+6				M	1	0	5, 9, 6	8	5	5	0	4	0.0	0.0	1.0	0.0
33	32	1/2	1/2	3/4	2	1	I					g#	III		I	I							M	1	0	5, 9, 6		5	5	0	4	0.0	0.0	1.0	0.0
34	33	0	0	3/4	2	1	V7					g#	III		V7	V		7					Mm7	1	0	6, 10, 7, 4		6	6	0	3	0.0	0.0	0.75	0.0
34	33	1/4	1/4	3/4	2	1	V					g#	III		V	V							M	1	0	6, 10, 7		6	6	0	10	0.0	0.0	2.5	0.0
35	34	0	0	3/4	2	1	I					g#	III		I	I							M	1	0	5, 9, 6		5	5	0	5	0.0	0.0	0.75	0.0
35	34	1/4	1/4	3/4	2	1	I(+6)					g#	III		I(+6)	I			+6				M	1	0	5, 9, 6	8	5	5	0	5	0.0	0.0	1.25	0.0
35	34	1/2	1/2	3/4	2	1	I					g#	III		I	I							M	1	0	5, 9, 6		5	5	0	5	0.0	0.0	1.25	0.0
36	35	0	0	3/4	2	1	V7					g#	III		V7	V		7					Mm7	1	0	6, 10, 7, 4		6	6	0	3	0.0	0.0	0.75	0.0
36	35	1/4	1/4	3/4	2	1	V					g#	III		V	V							M	1	0	6, 10, 7		6	6	0	10	0.0	0.0	2.5	0.0
37	36	0	0	3/4	2	1	I|IAC}					g#	III		I	I					IAC	}	M	1	0	5, 9, 6		5	5	0	5	0.0	0.0	2.0	0.0
37	36	1/2	1/2	3/4	2	1	i.V{					g#	i		V	V						{	M	1	1	9, 13, 10		9	9	1	2	0.3333333333333333	0.1875	0.3125	0.375
38	37	1/4	1/4	3/4	2	1	viio7/V					g#	i		viio7/V	vii	o	7		V			o7	1	1	14, 11, 8, 5		14	14	0	3	0.0	0.0	0.75	0.0
38	37	1/2	1/2	3/4	2	1	V7					g#	i		V7	V		7					Mm7	1	1	9, 13, 10, 7		9	9	0	4	0.0	0.0	1.0	0.0
39	38	0	0	3/4	2	1	i|PAC}					g#	i		i	i					PAC	}	m	1	1	8, 5, 9		8	8	2	9	0.18181818181818182	0.25	2.5	0.09090909090909091
40	39	1/2	1/2	3/4	2	1	i(6)	-2.29372	3.15594	/	iv	g#	i		i(6)	i			6				m	1	1	8, 5, 4		8	8	1	1	0.5	0.0	0.25	0.0
41	40	0	0	3/4	2	1	i					g#	i		i	i							m	1	1	8, 5, 9		8	8	1	12	0.07692307692307693	0.0625	2.875	0.02127659574468085
42	41	1/4	1/4	3/4	2	1	ii%65					g#	i		ii%65	ii	%	65					%7	1	1	7, 4, 8, 10		10	7	0	5	0.0	0.0	1.25	0.0
42	41	1/2	1/2	3/4	2	1	i					g#	i		i	i							m	1	1	8, 5, 9		8	8	2	6	0.25	0.0625	1.4375	0.041666666666666664
43	42	1/4	1/4	3/4	2	1	iv					g#	i		iv	iv							m	1	1	7, 4, 8		7	7	0	5	0.0	0.0	1.25	0.0
43	42	1/2	1/2	3/4	2	1	i					g#	i		i	i							m	1	1	8, 5, 9		8	8	1	6	0.14285714285714285	0.1875	1.3125	0.125
44	43	1/4	1/4	3/4	2	1	viio7/V					g#	i		viio7/V	vii	o	7		V			o7	1	1	14, 11, 8, 5		14	14	0	3	0.0	0.0	0.75	0.0
44	43	1/2	1/2	3/4	2	1	V7					g#	i		V7	V		7					Mm7	1	1	9, 13, 10, 7		9	9	0	4	0.0	0.0	1.0	0.0
45	44	0	0	3/4	2	1	i|PAC					g#	i		i	i					PAC		m	1	1	8, 5, 9		8	8	1	12	0.07692307692307693	0.0625	3.4375	0.017857142857142856
46	45	1/4	1/4	3/4	2	1	ii%65					g#	i		ii%65	ii	%	65					%7	1	1	7, 4, 8, 10		10	7	0	5	0.0	0.0	1.25	0.0
46	45	1/2	1/2	3/4	2	1	i					g#	i		i	i							m	1	1	8, 5, 9		8	8	2	6	0.25	0.0625	1.4375	0.041666666666666664
47	46	1/4	1/4	3/4	2	1	iv					g#	i		iv	iv							m	1	1	7, 4, 8		7	7	0	5	0.0	0.0	1.25	0.0
47	46	1/2	1/2	3/4	2	1	i					g#	i		i	i							m	1	1	8, 5, 9		8	8	3	6	0.3333333333333333	0.1875	1.3125	0.125
48	47	1/4	1/4	3/4	2	1	viio7/V					g#	i		viio7/V	vii	o	7		V			o7	1	1	14, 11, 8, 5		14	14	0	3	0.0	0.0	0.75	0.0
48	47	1/2	1/2	3/4	2	1	V7					g#	i		V7	V		7					Mm7	1	1	9, 13, 10, 7		9	9	0	4	0.0	0.0	1.0	0.0
49	48	0	0	3/4	2	1	i|PAC}					g#	i		i	i					PAC	}	m	1	1	8, 5, 9		8	8	0	6	0.0	0.0	3.5	0.0
