mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
58	58	0	0	3/4	2	1	V7/II				B	I		V7/II		V		7		II			Mm7	0	0	8, 12, 9, 6		8	8	0	5	0.0	0.0	1.5	0.0
58	58	1/4	1/4	3/4	2	1	II				B	I		II		II							M	0	0	7, 11, 8		7	7	0	3	0.0	0.0	1.5	0.0
59	59	0	0	3/4	2	1	V7/II				B	I		V7/II		V		7		II			Mm7	0	0	8, 12, 9, 6		8	8	0	7	0.0	0.0	1.5	0.0
59	59	1/4	1/4	3/4	2	1	II				B	I		II		II							M	0	0	7, 11, 8		7	7	2	6	0.25	0.25	1.25	0.16666666666666666
60	60	0	0	3/4	2	1	V7/II				B	I		V7/II		V		7		II			Mm7	0	0	8, 12, 9, 6		8	8	0	5	0.0	0.0	1.5	0.0
60	60	1/4	1/4	3/4	2	1	II				B	I		II		II							M	0	0	7, 11, 8		7	7	0	3	0.0	0.0	1.5	0.0
61	61	0	0	3/4	2	1	V7/V				B	I		V7/V		V		7		V			Mm7	0	0	7, 11, 8, 5		7	7	0	4	0.0	0.0	1.5	0.0
61	61	1/4	1/4	3/4	2	1	V				B	I		V		V							M	0	0	6, 10, 7		6	6	0	3	0.0	0.0	1.5	0.0
62	62	0	0	3/4	2	1	V7/V				B	I		V7/V		V		7		V			Mm7	0	0	7, 11, 8, 5		7	7	0	5	0.0	0.0	1.5	0.0
62	62	1/4	1/4	3/4	2	1	V				B	I		V		V							M	0	0	6, 10, 7		6	6	1	3	0.25	0.125	1.375	0.08333333333333333
63	63	0	0	3/4	2	1	V7/V				B	I		V7/V		V		7		V			Mm7	0	0	7, 11, 8, 5		7	7	0	7	0.0	0.0	1.5	0.0
63	63	1/4	1/4	3/4	2	1	V				B	I		V		V							M	0	0	6, 10, 7		6	6	2	6	0.25	0.25	1.25	0.16666666666666666
64	64	0	0	3/4	2	1	V7/V				B	I		V7/V		V		7		V			Mm7	0	0	7, 11, 8, 5		7	7	0	7	0.0	0.0	1.5	0.0
64	64	1/4	1/4	3/4	2	1	V				B	I		V		V							M	0	0	6, 10, 7		6	6	0	3	0.0	0.0	1.5	0.0
65	65	0	0	3/4	2	1	V7				B	I		V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	0	4	0.0	0.0	1.5	0.0
65	65	1/4	1/4	3/4	2	1	I				B	I		I		I							M	0	0	5, 9, 6		5	5	0	3	0.0	0.0	1.5	0.0
66	66	0	0	3/4	2	1	V7				B	I		V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	0	7	0.0	0.0	1.5	0.0
66	66	1/4	1/4	3/4	2	1	I}				B	I		I		I						}	M	0	0	5, 9, 6		5	5	1	3	0.25	0.125	0.875	0.125
67	67	0	0	3/4	2	1	V[V				B	I	V	V		V							M	0	0	6, 10, 7		6	6	7	6	0.5384615384615384	0.875	0.875	0.5
69	69	0	0	3/4	2	1	V(64){				B	I	V	V(64)		V			64			{	M	0	0	6, 5, 9		6	6	2	8	0.2	0.25	1.375	0.15384615384615385
70	70	0	0	3/4	2	1	V(9#7#5)				B	I	V	V(9#7#5)		V			9#7#5				M	0	0	6, 10, 14	8, 11	6	6	0	8	0.0	0.0	1.5625	0.0
70	70	1/2	1/2	3/4	2	1	V(64)				B	I	V	V(64)		V			64				M	0	0	6, 5, 9		6	6	0	5	0.0	0.0	1.25	0.0
