mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	Bb.I{		Bb	I		I	I						{	M	0	0	-2, 2, -1		-2	-2	0	8	0.0	0.0	1.4375	0.0
1	1	1/2	1/2	3/4	2	1	I(#2)		Bb	I		I(#2)	I			#2				M	0	0	-2, 7, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
2	2	0	0	3/4	2	1	V(64)		Bb	I		V(64)	V			64				M	0	0	-1, -2, 2		-1	-1	0	4	0.0	0.0	1.0	0.0
2	2	1/4	1/4	3/4	2	1	V(9#74)		Bb	I		V(9#74)	V			9#74				M	0	0	-1, -2, 0	1, 4	-1	-1	0	9	0.0	0.0	2.0	0.0
3	3	0	0	3/4	2	1	V		Bb	I		V	V							M	0	0	-1, 3, 0		-1	-1	0	5	0.0	0.0	0.9375	0.0
3	3	1/4	1/4	3/4	2	1	V7		Bb	I		V7	V		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	0	8	0.0	0.0	2.0	0.0
4	4	0	0	3/4	2	1	V(64)		Bb	I		V(64)	V			64				M	0	0	-1, -2, 2		-1	-1	0	2	0.0	0.0	0.5	0.0
4	4	1/4	1/4	3/4	2	1	V7|HC}		Bb	I		V7	V		7			HC	}	Mm7	0	0	-1, 3, 0, -3		-1	-1	0	9	0.0	0.0	2.0	0.0
5	5	0	0	3/4	2	1	I{		Bb	I		I	I						{	M	0	0	-2, 2, -1		-2	-2	0	8	0.0	0.0	1.4375	0.0
5	5	1/2	1/2	3/4	2	1	I(#2)		Bb	I		I(#2)	I			#2				M	0	0	-2, 7, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
